Team,Manager,Formation,Stadium,Referee,League
FC Tambov,Sergey Pervushin,3-4-2-1,Nizhny Novgorod Stadium,Sergey Karasev,empty
Krylya Sovetov Samara,Miodrag Bozovic,4-2-3-1,Rostov Arena,Mikhail Vilkov,Premier League (Russia)
empty,Valeri Karpin,4-3-3,VEB Arena,Nikolay Voloshin,Premier League (England)
FC Rostov,Yuri Semin,3-1-4-2,Fisht Olympic Stadium,Sergei Ivanov,Super Lig (Turkey)
Lokomotiv Moscow,Viktor Goncharenko,5-3-2,Arsenal Stadium,Sergei Lapochkin,
CSKA Moscow,Vadim Evseev,4-4-2,Saint Petersburg Stadium,Vladimir Moskalev,
FC Ufa,Vladimir Fedotov,4-4-1-1,Gazovik Stadium,Vasily Kazartsev,
PFC Sochi,Sergey Matveev,5-4-1,Akhmat-Arena,Vitaliy Meshkov,
FC Krasnodar,Igor Cherevchenko,3-5-2,Otkrytie Arena,Evgeny Turbin,
Arsenal Tula,Leonid Slutskiy,3-4-3,RZD Arena,Aleksei Suhoy,
Rubin Kazan,Sergei Semak,4-1-4-1,Centralniy Stadium,Vladislav Bezborodov,
Zenit,Dmitri Parfenov,3-4-1-2,VTB Arena,Kirill Levnikov,
Ural,Konstantin Yemelyanov,4-3-2-1,Krasnodar Stadium,Pavel Kukuyan,
FC Orenburg,Domenico Tedesco,4-1-2-1-2,Samara Arena,Stanislav Vasilyev,
Spartak Moscow,Igor Shalimov,4-1-3-2,Mordovia Arena,Aleksey Eskov,
FK Akhmat,Kirill Novikov,4-5-1,Central Stadium,Igor Panin,
Dinamo Moscow,Roman Berezovsky,4-3-1-2,Neftyanik Stadium,Aleksei Matyunin,
Anzhi,Eduardo Docampo,3-5-1-1,Kazan Arena,Roman Galimov,
FC Yenisey Krasnoyarsk,Aleksandr Tochilin,4-2-2-2,Anzhi Arena,Aleksei Nikolaev,
Amkar,Aleksandr Grigoryan,3-4-3-d,Geolog Stadium,Artem Chistyakov,
