Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
19:00,Avai FC,1,1,Fluminense,Des 1 2019
19:00,Goias,1,2,Fortaleza,Des 1 2019
19:00,Palmeiras,1,3,Flamengo,Des 1 2019
21:00,CS Alagoano,1,2,Bahia,Des 1 2019
21:00,Atletico MG,2,1,Corinthians,Des 1 2019
22:00,Gremio,3,0,Sao Paulo,Des 1 2019
22:00,Santos FC,2,0,Chapecoense AF,Des 1 2019
23:00,Vasco da Gama,1,0,Cruzeiro,Des 2 2019
22:00,Athletico Paranaense,1,0,Santos FC,Des 4 2019
22:30,Atletico MG,2,0,Botafogo RJ,Des 4 2019
22:30,Ceara,0,1,Corinthians,Des 4 2019
00:00,Chapecoense AF,3,0,CS Alagoano,Des 5 2019
00:30,Sao Paulo,2,1,Internacional,Des 5 2019
00:30,Fluminense,0,0,Fortaleza,Des 5 2019
22:15,Bahia,1,1,Vasco da Gama,Des 5 2019
22:15,Palmeiras,5,1,Goias,Des 5 2019
22:15,Gremio,2,0,Cruzeiro,Des 5 2019
23:00,Flamengo,6,1,Avai FC,Des 5 2019
19:00,CS Alagoano,1,2,Sao Paulo,Des 8 2019
19:00,Internacional,2,1,Atletico MG,Des 8 2019
19:00,Cruzeiro,0,2,Palmeiras,Des 8 2019
19:00,Fortaleza,2,1,Bahia,Des 8 2019
19:00,Corinthians,1,2,Fluminense,Des 8 2019
19:00,Santos FC,4,0,Flamengo,Des 8 2019
19:00,Vasco da Gama,1,1,Chapecoense AF,Des 8 2019
19:00,Botafogo RJ,1,1,Ceara,Des 8 2019
19:00,Avai FC,0,0,Athletico Paranaense,Des 8 2019
19:00,Goias,3,2,Gremio,Des 8 2019
23:00,Goias,2,2,Flamengo,Okt 31 2019
00:30,Botafogo RJ,0,2,Cruzeiro,Nov 1 2019
00:30,Internacional,1,1,Athletico Paranaense,Nov 1 2019
20:00,Fortaleza,2,2,Atletico MG,Nov 2 2019
22:00,Palmeiras,1,0,Ceara,Nov 2 2019
22:00,Fluminense,0,0,Vasco da Gama,Nov 2 2019
00:00,Chapecoense AF,0,3,Sao Paulo,Nov 3 2019
19:00,Flamengo,4,1,Corinthians,Nov 3 2019
21:00,Athletico Paranaense,1,0,CS Alagoano,Nov 3 2019
21:00,Gremio,2,0,Internacional,Nov 3 2019
22:00,Cruzeiro,1,1,Bahia,Nov 3 2019
22:00,Santos FC,4,1,Botafogo RJ,Nov 3 2019
22:30,Goias,2,0,Avai FC,Nov 3 2019
22:30,Corinthians,3,2,Fortaleza,Nov 6 2019
23:00,Atletico MG,2,0,Goias,Nov 6 2019
00:00,Avai FC,1,2,Santos FC,Nov 7 2019
00:30,Bahia,1,1,Chapecoense AF,Nov 7 2019
00:30,Athletico Paranaense,0,0,Cruzeiro,Nov 7 2019
00:30,Vasco da Gama,1,2,Palmeiras,Nov 7 2019
22:30,Ceara,2,0,Internacional,Nov 7 2019
22:30,Sao Paulo,0,2,Fluminense,Nov 7 2019
23:00,Botafogo RJ,0,1,Flamengo,Nov 7 2019
00:00,Gremio,2,1,CS Alagoano,Nov 8 2019
20:00,Goias,0,3,Santos FC,Nov 9 2019
22:00,Palmeiras,1,1,Corinthians,Nov 9 2019
19:00,Sao Paulo,0,1,Athletico Paranaense,Nov 10 2019
19:00,Internacional,2,1,Fluminense,Nov 10 2019
19:00,Cruzeiro,0,0,Atletico MG,Nov 10 2019
21:00,Flamengo,3,1,Bahia,Nov 10 2019
22:00,Chapecoense AF,0,1,Gremio,Nov 10 2019
22:00,CS Alagoano,0,3,Vasco da Gama,Nov 10 2019
22:00,Fortaleza,1,0,Ceara,Nov 10 2019
23:00,Botafogo RJ,2,0,Avai FC,Nov 11 2019
00:30,Flamengo,4,4,Vasco da Gama,Nov 14 2019
20:00,Santos FC,1,1,Sao Paulo,Nov 16 2019
22:00,Fluminense,1,1,Atletico MG,Nov 16 2019
19:00,Gremio,0,1,Flamengo,Nov 17 2019
19:00,Bahia,1,1,Palmeiras,Nov 17 2019
21:00,Athletico Paranaense,1,0,Botafogo RJ,Nov 17 2019
21:00,Corinthians,0,0,Internacional,Nov 17 2019
21:00,Chapecoense AF,1,0,Ceara,Nov 17 2019
22:00,Fortaleza,3,0,CS Alagoano,Nov 17 2019
22:30,Vasco da Gama,1,1,Goias,Nov 18 2019
23:00,Cruzeiro,0,0,Avai FC,Nov 18 2019
00:00,Santos FC,4,1,Cruzeiro,Nov 24 2019
19:00,Palmeiras,1,2,Gremio,Nov 24 2019
19:00,Atletico MG,0,1,Athletico Paranaense,Nov 24 2019
19:00,Goias,4,3,Bahia,Nov 24 2019
21:00,Botafogo RJ,1,0,Corinthians,Nov 24 2019
22:00,Avai FC,0,1,Chapecoense AF,Nov 24 2019
22:00,Ceara,1,1,Sao Paulo,Nov 24 2019
22:00,Internacional,2,2,Fortaleza,Nov 24 2019
23:00,CS Alagoano,0,1,Fluminense,Nov 25 2019
22:30,Internacional,1,2,Goias,Nov 27 2019
22:30,Chapecoense AF,0,1,Botafogo RJ,Nov 27 2019
00:00,Bahia,1,1,Atletico MG,Nov 28 2019
00:30,Athletico Paranaense,2,0,Gremio,Nov 28 2019
00:30,Corinthians,3,0,Avai FC,Nov 28 2019
00:30,Flamengo,4,1,Ceara,Nov 28 2019
22:30,Fluminense,1,0,Palmeiras,Nov 28 2019
23:00,Fortaleza,2,1,Santos FC,Nov 28 2019
23:30,Sao Paulo,1,0,Vasco da Gama,Nov 28 2019
00:30,Cruzeiro,0,1,CS Alagoano,Nov 29 2019
22:00,Ceara,1,1,Athletico Paranaense,Nov 30 2019
22:00,Botafogo RJ,0,1,Internacional,Nov 30 2019
00:00,Fortaleza,1,0,Botafogo RJ,Okt 1 2019
00:00,Avai FC,0,2,Bahia,Okt 1 2019
00:00,Goias,1,0,Cruzeiro,Okt 1 2019
23:15,Atletico MG,1,2,Vasco da Gama,Okt 2 2019
23:15,Chapecoense AF,0,1,Corinthians,Okt 2 2019
21:00,Sao Paulo,2,1,Fortaleza,Okt 5 2019
21:00,Vasco da Gama,0,1,Santos FC,Okt 5 2019
23:00,Bahia,1,2,Athletico Paranaense,Okt 5 2019
23:00,Gremio,0,0,Corinthians,Okt 5 2019
01:00,Cruzeiro,1,1,Internacional,Okt 6 2019
15:00,Chapecoense AF,0,1,Flamengo,Okt 6 2019
20:00,Botafogo RJ,0,1,Fluminense,Okt 6 2019
20:00,Palmeiras,1,1,Atletico MG,Okt 6 2019
20:00,Ceara,0,1,Goias,Okt 6 2019
23:00,CS Alagoano,3,1,Avai FC,Okt 6 2019
23:15,Botafogo RJ,3,1,Goias,Okt 9 2019
23:15,CS Alagoano,1,0,Internacional,Okt 9 2019
00:30,Fortaleza,2,0,Chapecoense AF,Okt 10 2019
01:00,Bahia,0,0,Sao Paulo,Okt 10 2019
01:00,Gremio,2,1,Ceara,Okt 10 2019
01:30,Cruzeiro,0,0,Fluminense,Okt 10 2019
01:30,Santos FC,2,0,Palmeiras,Okt 10 2019
23:15,Avai FC,0,0,Vasco da Gama,Okt 10 2019
23:15,Corinthians,2,2,Athletico Paranaense,Okt 10 2019
00:00,Flamengo,3,1,Atletico MG,Okt 11 2019
21:00,Goias,1,0,CS Alagoano,Okt 12 2019
23:00,Fluminense,2,0,Bahia,Okt 12 2019
01:00,Palmeiras,1,0,Botafogo RJ,Okt 13 2019
20:00,Ceara,1,0,Avai FC,Okt 13 2019
20:00,Vasco da Gama,1,0,Fortaleza,Okt 13 2019
20:00,Internacional,0,0,Santos FC,Okt 13 2019
20:00,Athletico Paranaense,0,2,Flamengo,Okt 13 2019
22:00,Sao Paulo,1,0,Corinthians,Okt 13 2019
23:00,Atletico MG,1,4,Gremio,Okt 13 2019
23:00,Chapecoense AF,1,1,Cruzeiro,Okt 13 2019
23:15,Gremio,0,1,Bahia,Okt 16 2019
23:15,CS Alagoano,2,2,Atletico MG,Okt 16 2019
00:00,Fortaleza,1,2,Flamengo,Okt 17 2019
01:00,Palmeiras,1,0,Chapecoense AF,Okt 17 2019
01:00,Cruzeiro,1,0,Sao Paulo,Okt 17 2019
01:30,Goias,2,2,Corinthians,Okt 17 2019
01:30,Vasco da Gama,2,1,Botafogo RJ,Okt 17 2019
23:15,Santos FC,2,1,Ceara,Okt 17 2019
23:15,Avai FC,0,2,Internacional,Okt 17 2019
01:00,Fluminense,1,2,Athletico Paranaense,Okt 18 2019
21:00,Fortaleza,2,1,Gremio,Okt 19 2019
23:00,Corinthians,1,2,Cruzeiro,Okt 19 2019
20:00,Sao Paulo,1,0,Avai FC,Okt 20 2019
20:00,Internacional,0,1,Vasco da Gama,Okt 20 2019
20:00,Atletico MG,2,0,Santos FC,Okt 20 2019
22:00,Flamengo,2,0,Fluminense,Okt 20 2019
23:00,Chapecoense AF,2,2,Goias,Okt 20 2019
23:00,Athletico Paranaense,1,1,Palmeiras,Okt 20 2019
23:30,Bahia,1,2,Ceara,Okt 21 2019
00:00,Botafogo RJ,2,1,CS Alagoano,Okt 22 2019
21:00,Ceara,1,1,Vasco da Gama,Okt 26 2019
21:00,Corinthians,0,0,Santos FC,Okt 26 2019
23:00,Bahia,2,3,Internacional,Okt 26 2019
23:30,Fluminense,1,1,Chapecoense AF,Okt 26 2019
01:00,Cruzeiro,1,1,Fortaleza,Okt 27 2019
19:00,Athletico Paranaense,4,1,Goias,Okt 27 2019
19:00,Gremio,3,0,Botafogo RJ,Okt 27 2019
19:00,Sao Paulo,2,0,Atletico MG,Okt 27 2019
21:00,Avai FC,1,2,Palmeiras,Okt 27 2019
22:00,Flamengo,1,0,CS Alagoano,Okt 27 2019
22:30,Avai FC,1,3,Fortaleza,Okt 30 2019
22:30,Atletico MG,0,2,Chapecoense AF,Okt 30 2019
22:30,Palmeiras,3,0,Sao Paulo,Okt 30 2019
00:30,Ceara,2,0,Fluminense,Okt 31 2019
00:30,Vasco da Gama,1,3,Gremio,Okt 31 2019
00:30,CS Alagoano,2,1,Corinthians,Okt 31 2019
22:15,Santos FC,1,0,Bahia,Okt 31 2019
01:00,Internacional,3,2,Botafogo RJ,Sep 1 2019
20:00,Fortaleza,2,0,Goias,Sep 1 2019
20:00,Flamengo,3,0,Palmeiras,Sep 1 2019
23:00,Corinthians,1,0,Atletico MG,Sep 1 2019
23:00,Cruzeiro,1,0,Vasco da Gama,Sep 1 2019
00:00,Fluminense,0,1,Avai FC,Sep 3 2019
15:00,Corinthians,2,2,Ceara,Sep 7 2019
15:00,Vasco da Gama,0,2,Bahia,Sep 7 2019
21:00,Fortaleza,0,1,Fluminense,Sep 7 2019
21:00,Avai FC,0,3,Flamengo,Sep 7 2019
23:00,Internacional,1,0,Sao Paulo,Sep 7 2019
01:00,Goias,1,2,Palmeiras,Sep 8 2019
15:00,Cruzeiro,1,4,Gremio,Sep 8 2019
20:00,Botafogo RJ,2,1,Atletico MG,Sep 8 2019
20:00,Santos FC,1,1,Athletico Paranaense,Sep 8 2019
23:00,CS Alagoano,2,0,Chapecoense AF,Sep 8 2019
01:00,Palmeiras,3,0,Fluminense,Sep 11 2019
21:00,Flamengo,1,0,Santos FC,Sep 14 2019
23:00,Chapecoense AF,1,2,Vasco da Gama,Sep 14 2019
23:00,Palmeiras,1,0,Cruzeiro,Sep 14 2019
01:00,Ceara,0,0,Botafogo RJ,Sep 15 2019
15:00,Atletico MG,1,3,Internacional,Sep 15 2019
15:00,Athletico Paranaense,0,1,Avai FC,Sep 15 2019
20:00,Bahia,1,1,Fortaleza,Sep 15 2019
20:00,Fluminense,1,0,Corinthians,Sep 15 2019
20:00,Gremio,3,0,Goias,Sep 15 2019
23:00,Sao Paulo,1,1,CS Alagoano,Sep 15 2019
15:00,Botafogo RJ,1,2,Sao Paulo,Sep 21 2019
21:00,Cruzeiro,1,2,Flamengo,Sep 21 2019
