Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
12:30,Union Berlin,2,2,Wolfsburg,Mac 1 2020
14:30,RasenBallsport Leipzig,1,1,Bayer Leverkusen,Mac 1 2020
19:00,Paderborn,1,2,FC Koln,Mac 6 2020
14:30,Freiburg,3,1,Union Berlin,Mac 7 2020
14:30,Schalke 04,1,1,Hoffenheim,Mac 7 2020
14:30,Bayer Leverkusen,4,0,Eintracht Frankfurt,Mac 7 2020
14:30,Wolfsburg,0,0,RasenBallsport Leipzig,Mac 7 2020
14:30,Hertha Berlin,2,2,Werder Bremen,Mac 7 2020
17:30,Borussia M.Gladbach,1,2,Borussia Dortmund,Mac 7 2020
14:30,Bayern Munich,2,0,Augsburg,Mac 8 2020
17:00,Mainz 05,1,1,Fortuna Duesseldorf,Mac 8 2020
17:30,Borussia M.Gladbach,2,1,FC Koln,Mac 11 2020
14:30,Mainz 05,1,3,Bayern Munich,Feb 1 2020
14:30,Augsburg,2,1,Werder Bremen,Feb 1 2020
14:30,Borussia Dortmund,5,0,Union Berlin,Feb 1 2020
14:30,Hoffenheim,2,1,Bayer Leverkusen,Feb 1 2020
14:30,Fortuna Duesseldorf,1,1,Eintracht Frankfurt,Feb 1 2020
17:30,RasenBallsport Leipzig,2,2,Borussia M.Gladbach,Feb 1 2020
14:30,FC Koln,4,0,Freiburg,Feb 2 2020
17:00,Paderborn,2,4,Wolfsburg,Feb 2 2020
19:30,Eintracht Frankfurt,5,0,Augsburg,Feb 7 2020
14:30,Werder Bremen,0,2,Union Berlin,Feb 8 2020
14:30,Hertha Berlin,1,3,Mainz 05,Feb 8 2020
14:30,Freiburg,1,0,Hoffenheim,Feb 8 2020
14:30,Schalke 04,1,1,Paderborn,Feb 8 2020
14:30,Wolfsburg,1,1,Fortuna Duesseldorf,Feb 8 2020
17:30,Bayer Leverkusen,4,3,Borussia Dortmund,Feb 8 2020
17:00,Bayern Munich,0,0,RasenBallsport Leipzig,Feb 9 2020
19:30,Borussia Dortmund,4,0,Eintracht Frankfurt,Feb 14 2020
14:30,RasenBallsport Leipzig,3,0,Werder Bremen,Feb 15 2020
14:30,Hoffenheim,2,3,Wolfsburg,Feb 15 2020
14:30,Paderborn,1,2,Hertha Berlin,Feb 15 2020
14:30,Union Berlin,2,3,Bayer Leverkusen,Feb 15 2020
14:30,Augsburg,1,1,Freiburg,Feb 15 2020
17:30,Fortuna Duesseldorf,1,4,Borussia M.Gladbach,Feb 15 2020
14:30,FC Koln,1,4,Bayern Munich,Feb 16 2020
17:00,Mainz 05,0,0,Schalke 04,Feb 16 2020
19:30,Bayern Munich,3,2,Paderborn,Feb 21 2020
14:30,Borussia M.Gladbach,1,1,Hoffenheim,Feb 22 2020
14:30,Werder Bremen,0,2,Borussia Dortmund,Feb 22 2020
14:30,Hertha Berlin,0,5,FC Koln,Feb 22 2020
14:30,Freiburg,0,2,Fortuna Duesseldorf,Feb 22 2020
17:30,Schalke 04,0,5,RasenBallsport Leipzig,Feb 22 2020
14:30,Bayer Leverkusen,2,0,Augsburg,Feb 23 2020
17:00,Wolfsburg,4,0,Mainz 05,Feb 23 2020
19:30,Eintracht Frankfurt,1,2,Union Berlin,Feb 24 2020
19:30,Fortuna Duesseldorf,3,3,Hertha Berlin,Feb 28 2020
14:30,Mainz 05,2,0,Paderborn,Feb 29 2020
