Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
11:15,RKC Waalwijk,2,1,FC Utrecht,Mac 1 2020
13:30,PSV Eindhoven,1,1,Feyenoord,Mac 1 2020
15:45,Sparta Rotterdam,5,1,FC Emmen,Mac 1 2020
19:00,Ajax,0,2,AZ Alkmaar,Mac 1 2020
19:00,Fortuna Sittard,1,1,PEC Zwolle,Mac 6 2020
17:30,AZ Alkmaar,4,0,ADO Den Haag,Mac 7 2020
18:45,Vitesse,1,0,Twente,Mac 7 2020
18:45,FC Emmen,3,0,VVV-Venlo,Mac 7 2020
19:45,SC Heerenveen,1,3,Ajax,Mac 7 2020
11:15,FC Utrecht,5,1,Sparta Rotterdam,Mac 8 2020
13:30,Heracles,4,2,RKC Waalwijk,Mac 8 2020
13:30,Feyenoord,2,0,Willem II,Mac 8 2020
15:45,FC Groningen,0,1,PSV Eindhoven,Mac 8 2020
17:30,ADO Den Haag,0,0,Vitesse,Feb 1 2020
18:45,Feyenoord,3,0,FC Emmen,Feb 1 2020
18:45,Twente,2,0,Sparta Rotterdam,Feb 1 2020
19:45,PEC Zwolle,1,0,FC Groningen,Feb 1 2020
11:15,Willem II,1,0,Heracles,Feb 2 2020
13:30,Fortuna Sittard,2,1,SC Heerenveen,Feb 2 2020
13:30,VVV-Venlo,1,1,FC Utrecht,Feb 2 2020
15:45,Ajax,1,0,PSV Eindhoven,Feb 2 2020
19:00,Heracles,2,0,Fortuna Sittard,Feb 7 2020
17:30,FC Groningen,1,0,Vitesse,Feb 8 2020
18:45,PSV Eindhoven,3,0,Willem II,Feb 8 2020
18:45,SC Heerenveen,1,1,VVV-Venlo,Feb 8 2020
19:45,RKC Waalwijk,0,0,PEC Zwolle,Feb 8 2020
17:30,FC Emmen,2,0,Twente,Feb 11 2020
19:45,Sparta Rotterdam,4,2,ADO Den Haag,Feb 11 2020
19:00,VVV-Venlo,1,0,Heracles,Feb 14 2020
17:30,Twente,2,0,AZ Alkmaar,Feb 15 2020
18:45,ADO Den Haag,0,3,PSV Eindhoven,Feb 15 2020
19:45,Fortuna Sittard,0,0,FC Emmen,Feb 15 2020
11:15,Vitesse,4,2,SC Heerenveen,Feb 16 2020
13:30,Sparta Rotterdam,1,2,FC Groningen,Feb 16 2020
13:30,Ajax,3,0,RKC Waalwijk,Feb 16 2020
15:45,PEC Zwolle,3,4,Feyenoord,Feb 16 2020
15:45,Willem II,1,1,FC Utrecht,Feb 16 2020
19:00,RKC Waalwijk,0,1,Sparta Rotterdam,Feb 21 2020
17:30,FC Emmen,4,2,Willem II,Feb 22 2020
18:45,Feyenoord,2,1,Fortuna Sittard,Feb 22 2020
18:45,SC Heerenveen,2,2,ADO Den Haag,Feb 22 2020
19:45,FC Groningen,0,1,VVV-Venlo,Feb 22 2020
11:15,FC Utrecht,2,1,Twente,Feb 23 2020
