Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
11:00,Sevilla,3,2,Osasuna,Mac 1 2020
13:00,Athletic Bilbao,1,0,Villarreal,Mac 1 2020
15:00,Espanyol,1,1,Atletico Madrid,Mac 1 2020
17:30,Mallorca,0,1,Getafe,Mac 1 2020
20:00,Real Madrid,2,0,Barcelona,Mac 1 2020
20:00,Deportivo Alaves,1,1,Valencia,Mac 6 2020
12:00,Eibar,1,2,Mallorca,Mac 7 2020
15:00,Atletico Madrid,2,2,Sevilla,Mac 7 2020
17:30,Barcelona,1,0,Real Sociedad,Mac 7 2020
20:00,Getafe,0,0,Celta Vigo,Mac 7 2020
11:00,Osasuna,1,0,Espanyol,Mac 8 2020
13:00,Real Valladolid,1,4,Athletic Bilbao,Mac 8 2020
15:00,Levante,1,1,Granada,Mac 8 2020
17:30,Villarreal,1,2,Leganes,Mac 8 2020
20:00,Real Betis,2,1,Real Madrid,Mac 8 2020
19:00,Eibar,1,2,Real Sociedad,Mac 10 2020
12:00,Granada,2,1,Espanyol,Feb 1 2020
15:00,Real Madrid,1,0,Atletico Madrid,Feb 1 2020
17:30,Mallorca,0,1,Real Valladolid,Feb 1 2020
20:00,Valencia,1,0,Celta Vigo,Feb 1 2020
11:00,Leganes,2,1,Real Sociedad,Feb 2 2020
13:00,Eibar,1,1,Real Betis,Feb 2 2020
15:00,Athletic Bilbao,0,2,Getafe,Feb 2 2020
17:30,Sevilla,1,1,Deportivo Alaves,Feb 2 2020
17:30,Villarreal,3,1,Osasuna,Feb 2 2020
20:00,Barcelona,2,1,Levante,Feb 2 2020
20:00,Deportivo Alaves,2,1,Eibar,Feb 7 2020
12:00,Levante,2,0,Leganes,Feb 8 2020
15:00,Getafe,3,0,Valencia,Feb 8 2020
17:30,Real Valladolid,1,1,Villarreal,Feb 8 2020
20:00,Atletico Madrid,1,0,Granada,Feb 8 2020
11:00,Espanyol,1,0,Mallorca,Feb 9 2020
13:00,Real Sociedad,2,1,Athletic Bilbao,Feb 9 2020
15:00,Osasuna,1,4,Real Madrid,Feb 9 2020
17:30,Celta Vigo,2,1,Sevilla,Feb 9 2020
20:00,Real Betis,2,3,Barcelona,Feb 9 2020
20:00,Valencia,2,2,Atletico Madrid,Feb 14 2020
12:00,Mallorca,1,0,Deportivo Alaves,Feb 15 2020
15:00,Barcelona,2,1,Getafe,Feb 15 2020
17:30,Villarreal,2,1,Levante,Feb 15 2020
20:00,Granada,2,1,Real Valladolid,Feb 15 2020
11:00,Sevilla,2,2,Espanyol,Feb 16 2020
13:00,Leganes,0,0,Real Betis,Feb 16 2020
17:30,Athletic Bilbao,0,1,Osasuna,Feb 16 2020
20:00,Real Madrid,2,2,Celta Vigo,Feb 16 2020
20:00,Real Betis,3,3,Mallorca,Feb 21 2020
12:00,Celta Vigo,1,0,Leganes,Feb 22 2020
15:00,Barcelona,5,0,Eibar,Feb 22 2020
17:30,Real Sociedad,3,0,Valencia,Feb 22 2020
20:00,Levante,1,0,Real Madrid,Feb 22 2020
11:00,Osasuna,0,3,Granada,Feb 23 2020
13:00,Deportivo Alaves,2,1,Athletic Bilbao,Feb 23 2020
15:00,Real Valladolid,2,1,Espanyol,Feb 23 2020
17:30,Getafe,0,3,Sevilla,Feb 23 2020
20:00,Atletico Madrid,3,1,Villarreal,Feb 23 2020
20:00,Real Sociedad,1,0,Real Valladolid,Feb 28 2020
12:00,Eibar,3,0,Levante,Feb 29 2020
15:00,Valencia,2,1,Real Betis,Feb 29 2020
17:30,Leganes,1,1,Deportivo Alaves,Feb 29 2020
20:00,Granada,0,0,Celta Vigo,Feb 29 2020
18:00,Real Valladolid,2,2,Leganes,Jan 3 2020
20:00,Sevilla,1,1,Athletic Bilbao,Jan 3 2020
12:00,Valencia,1,0,Eibar,Jan 4 2020
15:00,Getafe,0,3,Real Madrid,Jan 4 2020
17:30,Atletico Madrid,2,1,Levante,Jan 4 2020
20:00,Espanyol,2,2,Barcelona,Jan 4 2020
11:00,Granada,1,0,Mallorca,Jan 5 2020
13:00,Real Sociedad,1,2,Villarreal,Jan 5 2020
15:00,Deportivo Alaves,1,1,Real Betis,Jan 5 2020
20:00,Celta Vigo,1,1,Osasuna,Jan 5 2020
20:00,Leganes,0,3,Getafe,Jan 17 2020
12:00,Levante,0,1,Deportivo Alaves,Jan 18 2020
15:00,Real Madrid,2,1,Sevilla,Jan 18 2020
17:30,Osasuna,0,0,Real Valladolid,Jan 18 2020
20:00,Eibar,2,0,Atletico Madrid,Jan 18 2020
11:00,Mallorca,4,1,Valencia,Jan 19 2020
13:00,Real Betis,3,0,Real Sociedad,Jan 19 2020
15:00,Villarreal,1,2,Espanyol,Jan 19 2020
17:30,Athletic Bilbao,1,1,Celta Vigo,Jan 19 2020
20:00,Barcelona,1,0,Granada,Jan 19 2020
20:00,Osasuna,2,0,Levante,Jan 24 2020
12:00,Espanyol,1,1,Athletic Bilbao,Jan 25 2020
15:00,Valencia,2,0,Barcelona,Jan 25 2020
17:30,Deportivo Alaves,1,2,Villarreal,Jan 25 2020
20:00,Sevilla,2,0,Granada,Jan 25 2020
11:00,Atletico Madrid,0,0,Leganes,Jan 26 2020
13:00,Celta Vigo,0,0,Eibar,Jan 26 2020
15:00,Getafe,1,0,Real Betis,Jan 26 2020
17:30,Real Sociedad,3,0,Mallorca,Jan 26 2020
20:00,Real Valladolid,0,1,Real Madrid,Jan 26 2020
11:00,Sevilla,1,0,Leganes,Des 1 2019
13:00,Athletic Bilbao,2,0,Granada,Des 1 2019
15:00,Espanyol,2,4,Osasuna,Des 1 2019
17:30,Getafe,4,0,Levante,Des 1 2019
20:00,Atletico Madrid,0,1,Barcelona,Des 1 2019
20:00,Villarreal,0,0,Atletico Madrid,Des 6 2019
12:00,Real Madrid,2,0,Espanyol,Des 7 2019
15:00,Granada,3,0,Deportivo Alaves,Des 7 2019
