Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
12:00,Coventry,1,0,Sunderland,Mac 1 2020
19:45,Ipswich,0,1,Fleetwood,Mac 3 2020
15:00,Southend,3,1,Bristol Rovers,Mac 7 2020
15:00,Sunderland,2,2,Gillingham,Mac 7 2020
15:00,Accrington,1,2,Tranmere,Mac 7 2020
15:00,AFC Wimbledon,0,0,Bolton,Mac 7 2020
15:00,Fleetwood,0,0,Blackpool,Mac 7 2020
15:00,Ipswich,0,1,Coventry,Mac 7 2020
15:00,Lincoln City,3,2,Burton,Mac 7 2020
15:00,Milton Keynes Dons,0,1,Doncaster,Mac 7 2020
15:00,Peterborough,2,0,Portsmouth,Mac 7 2020
15:00,Rochdale,3,1,Rotherham,Mac 7 2020
15:00,Shrewsbury,2,3,Oxford,Mac 7 2020
19:45,Bristol Rovers,2,0,Sunderland,Mac 10 2020
19:45,Blackpool,1,2,Tranmere,Mac 10 2020
19:45,Burton,2,2,Bolton,Mac 10 2020
19:45,Portsmouth,2,2,Fleetwood,Mac 10 2020
15:00,Bristol Rovers,1,2,Coventry,Feb 1 2020
15:00,Fleetwood,2,1,Doncaster,Feb 1 2020
15:00,Ipswich,1,4,Peterborough,Feb 1 2020
15:00,Milton Keynes Dons,2,0,Wycombe,Feb 1 2020
15:00,Oxford,2,1,Blackpool,Feb 1 2020
15:00,Portsmouth,2,0,Sunderland,Feb 1 2020
15:00,Rochdale,1,0,Shrewsbury,Feb 1 2020
15:00,Rotherham,3,2,Burton,Feb 1 2020
15:00,Southend,2,1,Lincoln City,Feb 1 2020
15:00,Accrington,2,1,AFC Wimbledon,Feb 1 2020
15:00,Bolton,2,0,Tranmere,Feb 1 2020
19:45,Tranmere,0,3,Doncaster,Feb 4 2020
19:45,Lincoln City,0,1,Rotherham,Feb 7 2020
15:00,Peterborough,4,0,Oxford,Feb 8 2020
15:00,Shrewsbury,1,1,Milton Keynes Dons,Feb 8 2020
15:00,Burton,0,0,Gillingham,Feb 8 2020
15:00,Coventry,2,1,Bolton,Feb 8 2020
15:00,Doncaster,1,1,Rochdale,Feb 8 2020
15:00,AFC Wimbledon,1,2,Fleetwood,Feb 8 2020
15:00,Blackpool,2,1,Southend,Feb 8 2020
15:00,Wycombe,3,1,Bristol Rovers,Feb 8 2020
15:00,Sunderland,1,0,Ipswich,Feb 8 2020
15:00,Tranmere,0,2,Portsmouth,Feb 8 2020
19:45,AFC Wimbledon,0,0,Ipswich,Feb 11 2020
19:45,Doncaster,2,1,Bolton,Feb 11 2020
19:45,Coventry,1,0,Portsmouth,Feb 11 2020
19:45,Burton,2,2,Oxford,Feb 11 2020
19:45,Blackpool,2,3,Gillingham,Feb 11 2020
19:45,Sunderland,3,0,Rochdale,Feb 11 2020
19:45,Shrewsbury,0,2,Accrington,Feb 11 2020
19:45,Peterborough,4,0,Southend,Feb 11 2020
19:45,Lincoln City,1,1,Milton Keynes Dons,Feb 11 2020
19:45,Tranmere,0,0,Bristol Rovers,Feb 11 2020
19:45,Wycombe,0,1,Fleetwood,Feb 11 2020
15:00,Accrington,4,3,Lincoln City,Feb 15 2020
15:00,Bolton,0,2,Wycombe,Feb 15 2020
15:00,Bristol Rovers,2,1,Blackpool,Feb 15 2020
15:00,Fleetwood,2,1,Peterborough,Feb 15 2020
15:00,Gillingham,2,1,Doncaster,Feb 15 2020
15:00,Ipswich,4,1,Burton,Feb 15 2020
15:00,Oxford,0,1,Sunderland,Feb 15 2020
15:00,Portsmouth,2,0,Shrewsbury,Feb 15 2020
15:00,Rotherham,2,2,AFC Wimbledon,Feb 15 2020
15:00,Southend,0,2,Coventry,Feb 15 2020
