Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
11:00,FC Tambov,0,0,Rubin Kazan,Mac 1 2020
13:30,FC Krasnodar,2,0,FC Ufa,Mac 1 2020
16:00,PFC Sochi,1,2,Arsenal Tula,Mac 1 2020
11:00,FC Orenburg,2,0,Arsenal Tula,Mac 7 2020
13:30,Dinamo Moscow,1,0,FC Tambov,Mac 7 2020
11:00,Rubin Kazan,0,1,Krylya Sovetov Samara,Mac 8 2020
13:30,PFC Sochi,2,0,Ural,Mac 8 2020
16:00,Lokomotiv Moscow,1,0,FK Akhmat,Mac 8 2020
11:00,FC Rostov,3,2,CSKA Moscow,Mac 9 2020
13:30,Spartak Moscow,0,1,FC Krasnodar,Mac 9 2020
16:00,Zenit St. Petersburg,0,0,FC Ufa,Mac 9 2020
16:30,PFC Sochi,5,1,FC Orenburg,Mac 11 2020
16:30,FK Akhmat,2,3,Dinamo Moscow,Mac 13 2020
11:00,FC Orenburg,1,3,Spartak Moscow,Mac 14 2020
13:30,Zenit St. Petersburg,7,1,Ural,Mac 14 2020
16:00,Arsenal Tula,0,1,Rubin Kazan,Mac 14 2020
11:00,PFC Sochi,2,0,FC Krasnodar,Mac 15 2020
13:30,CSKA Moscow,0,0,FC Ufa,Mac 15 2020
16:00,FC Rostov,1,3,Lokomotiv Moscow,Mac 15 2020
16:30,FC Tambov,3,0,Krylya Sovetov Samara,Mac 16 2020
15:30,Krylya Sovetov Samara,1,1,FC Orenburg,Feb 28 2020
11:00,CSKA Moscow,1,1,Ural,Feb 29 2020
13:30,Dinamo Moscow,0,2,Spartak Moscow,Feb 29 2020
16:00,FK Akhmat,1,1,FC Rostov,Feb 29 2020
16:00,Zenit St. Petersburg,0,0,Lokomotiv Moscow,Feb 29 2020
13:30,Lokomotiv Moscow,1,2,Dinamo Moscow,Des 1 2019
16:00,Zenit St. Petersburg,1,0,Spartak Moscow,Des 1 2019
16:30,FC Krasnodar,0,0,FC Tambov,Des 2 2019
16:30,CSKA Moscow,0,1,Arsenal Tula,Des 2 2019
16:30,Zenit St. Petersburg,3,0,Dinamo Moscow,Des 6 2019
16:30,Arsenal Tula,4,0,Lokomotiv Moscow,Des 6 2019
11:00,FC Tambov,3,0,FC Orenburg,Des 7 2019
13:30,FC Krasnodar,1,1,CSKA Moscow,Des 7 2019
16:00,FK Akhmat,0,1,FC Ufa,Des 7 2019
11:00,Krylya Sovetov Samara,2,3,Ural,Des 8 2019
13:30,PFC Sochi,1,1,Rubin Kazan,Des 8 2019
16:00,Spartak Moscow,1,4,FC Rostov,Des 8 2019
11:00,Dinamo Moscow,1,1,FK Akhmat,Nov 2 2019
11:00,FC Ufa,1,1,Lokomotiv Moscow,Nov 2 2019
13:30,PFC Sochi,1,2,FC Tambov,Nov 2 2019
16:00,Zenit St. Petersburg,1,1,CSKA Moscow,Nov 2 2019
13:30,FC Krasnodar,2,2,FC Rostov,Nov 3 2019
11:00,Ural,1,2,FC Orenburg,Nov 4 2019
13:30,Krylya Sovetov Samara,0,0,Rubin Kazan,Nov 4 2019
16:00,Spartak Moscow,0,1,Arsenal Tula,Nov 4 2019
16:30,FK Akhmat,0,0,Ural,Nov 8 2019
11:00,Rubin Kazan,0,1,Dinamo Moscow,Nov 9 2019
13:30,FC Rostov,1,2,FC Tambov,Nov 9 2019
