Result,League,Time,TeamHome,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,Stadium,Referee,RatingStartTeamHome,RatingSubstitutionHome,RatingStartTeamAway,RatingSubstitutionAway,RatingStartTeamHome3,RatingSubstitutionHome3,RatingStartTeamAway3,RatingSubstitutionAway3,GPP_StartHome,GPP_SubsHome,GPP_StartAway,GPP_SubsAway,GoalsTeamHome,AssistsTeamHome,GoalsTeamAway,AssistsTeamAway,FormTeamHome3,FormTeamAway3,FormTeamHome6,FormTeamAway6,RatingTeamHome,RatingTeamAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway,RatingTeamHomeA,RatingTeamAwayA,TotalShotsHomeA,TotalShotsAwayA,PossessionHomeA,PossessionAwayA,PassAccuracyHomeA,PassAccuracyAwayA,DribblesHomeA,DribblesAwayA,AerialsWonHomeA,AerialsWonAwayA,TacklesHomeA,TacklesAwayA,CornersHomeA,CornersAwayA,DispossessedHomeA,DispossessedAwayA,YellowCardHomeA,YellowCardAwayA,RedCardHomeA,RedCardAwayA,RatingTeamHome3,RatingTeamAway3,TotalShotsHome3,TotalShotsAway3,PossessionHome3,PossessionAway3,PassAccuracyHome3,PassAccuracyAway3,DribblesHome3,DribblesAway3,AerialsWonHome3,AerialsWonAway3,TacklesHome3,TacklesAway3,CornersHome3,CornersAway3,DispossessedHome3,DispossessedAway3,YellowCardHome3,YellowCardAway3,RedCardHome3,RedCardAway3,RatingTeamHome3A,RatingTeamAway3A,TotalShotsHome3A,TotalShotsAway3A,PossessionHome3A,PossessionAway3A,PassAccuracyHome3A,PassAccuracyAway3A,DribblesHome3A,DribblesAway3A,AerialsWonHome3A,AerialsWonAway3A,TacklesHome3A,TacklesAway3A,CornersHome3A,CornersAway3A,DispossessedHome3A,DispossessedAway3A,YellowCardHome3A,YellowCardAway3A,RedCardHome3A,RedCardAway3A,PHome,WHome,DHome,LHome,GFHome,GAHome,GDHome,PointsHome,PlaceHome,PAway,WAway,DAway,LAway,GFAway,GAAway,GDAway,PointsAway,PlaceAway,FutureTeamHome,FuturePlaceTeamHome,FutureStatusTeamHome,FutureTeamAway,FuturePlaceTeamAway,FutureStatusTeamAway
1,1,16.5,0,1,0,1,0,1,0,0,6.123,4.796,6.175,4.666,6.473,4.490,6.832,4.147,16.182,14.500,14.636,15.500,20,16,12,6,55.56,55.56,55.56,27.78,6.695,6.708,13.000,12.800,41.773,47.520,72.545,76.500,5.727,6.500,17.909,19.500,16.182,16.300,3.545,3.900,10.909,10.700,25.000,23.000,2.000,5.000,6.655,6.725,11.000,12.128,40.767,46.528,71.472,76.614,6.014,6.204,18.054,19.386,16.541,15.741,3.322,4.041,11.255,10.078,28.000,27.000,1.500,3.000,6.883,6.577,13.667,11.000,38.300,44.667,70.333,79.000,7.333,8.333,15.000,17.333,17.667,22.333,3.333,2.667,7.667,12.667,4.000,9.000,0.000,3.000,6.773,6.660,10.834,11.334,38.784,46.800,68.333,78.334,5.833,7.000,19.666,19.500,15.834,19.166,3.500,3.667,10.000,9.834,6.500,7.500,0.000,2.000,21,6,4,11,23,27,-4,22,15,21,6,4,11,22,26,-4,22,14,2,-1,0,2,-1,0
-1,1,16.0,3,4,2,3,2,1,1,1,6.519,4.479,6.364,4.108,7.097,4.530,6.530,4.045,18.818,13.444,17.545,17.364,36,27,23,12,88.89,55.56,55.56,55.56,6.883,6.827,19.600,14.909,54.300,51.109,74.800,77.091,6.300,7.727,26.100,21.000,11.700,16.182,6.800,4.273,7.800,10.182,23.000,37.000,0.000,2.000,6.804,6.832,16.846,15.405,50.832,51.690,72.263,78.145,5.922,8.713,25.913,20.500,13.305,16.091,5.172,3.986,8.172,10.841,26.500,31.000,0.000,1.500,6.790,6.593,20.333,11.000,58.900,52.833,73.333,77.667,9.333,9.000,27.667,25.000,11.667,13.667,7.000,3.667,10.000,13.000,10.000,10.000,0.000,2.000,6.830,6.638,17.166,11.166,53.617,53.533,71.666,78.834,8.333,9.666,26.334,23.000,13.834,14.667,5.500,3.333,10.166,12.000,8.000,10.000,0.000,1.500,21,11,5,5,38,31,7,38,4,21,11,5,5,29,24,5,38,3,2,-1,0,2,-1,0
0,1,13.5,5,6,4,5,3,4,2,2,6.312,4.773,6.387,4.417,6.194,4.279,6.602,4.167,16.727,15.375,17.909,14.583,25,13,13,10,44.44,55.56,55.56,66.67,6.800,6.609,17.300,9.091,58.560,38.045,78.800,67.545,8.600,4.182,23.300,20.818,13.700,15.182,5.900,3.273,13.400,8.091,17.000,24.000,0.000,0.000,6.771,6.658,16.559,10.595,55.385,40.722,77.082,68.623,7.663,5.091,21.059,21.359,14.168,14.891,5.495,4.237,11.973,8.645,25.000,23.000,1.500,0.500,6.703,6.537,19.667,7.000,60.233,27.767,81.667,60.667,10.000,3.333,20.667,17.000,13.333,13.667,4.000,3.333,13.667,8.000,2.000,10.000,0.000,0.000,6.631,6.588,16.000,10.834,53.766,39.417,77.334,66.834,8.334,5.833,20.667,16.500,11.833,12.667,4.000,4.500,11.334,8.666,8.500,8.000,1.000,0.000,21,10,5,6,29,22,7,35,5,21,6,8,7,16,19,-3,26,9,2,-1,0,2,-1,0
1,1,11.0,7,8,6,7,0,1,3,3,6.575,5.100,6.455,5.000,7.003,4.515,6.912,5.129,14.727,19.333,15.909,15.429,24,10,24,14,66.67,88.89,55.56,83.33,6.705,6.715,13.545,15.500,50.200,58.400,77.455,80.800,5.727,7.300,25.727,17.100,14.273,13.200,5.000,4.000,9.818,9.100,27.000,32.000,0.000,0.000,6.703,6.784,13.372,16.704,45.470,59.255,73.528,80.809,5.514,7.741,24.014,18.141,15.236,12.600,4.050,4.772,9.209,8.505,26.500,29.500,1.000,2.000,7.013,6.753,14.333,13.000,47.267,52.733,74.667,80.333,6.667,7.333,32.333,20.667,13.000,11.000,7.000,3.667,9.000,11.333,3.000,13.000,0.000,0.000,6.837,6.781,13.500,13.666,43.034,58.450,71.167,80.833,5.333,7.667,27.166,21.000,12.334,13.000,4.500,4.000,7.333,9.000,6.000,10.000,0.500,0.000,21,5,6,10,24,28,-4,21,15,21,11,8,2,36,20,16,41,2,2,-1,0,2,-1,0
-1,1,16.0,9,10,8,9,0,1,4,4,6.264,3.551,6.242,4.465,6.582,3.585,6.245,4.174,19.455,13.273,15.364,9.111,19,17,7,8,66.67,44.44,50.0,33.33,6.850,6.587,16.600,11.909,52.850,53.800,75.800,80.455,9.100,6.273,20.200,16.364,13.600,14.455,4.700,4.182,10.400,9.273,17.000,30.000,0.000,1.000,6.737,6.662,13.755,12.805,50.184,54.645,75.763,80.328,7.322,8.886,18.145,15.182,15.073,16.427,4.304,3.991,10.882,10.236,25.500,31.500,0.500,1.500,6.893,6.743,15.000,14.667,48.867,59.033,75.667,82.000,7.000,6.000,14.333,20.000,16.000,13.667,3.000,5.667,8.333,8.667,6.000,5.000,0.000,0.000,6.825,6.645,12.000,12.667,49.733,55.233,75.167,81.500,7.667,9.500,17.666,15.334,15.666,16.167,4.167,4.833,8.333,8.667,8.500,8.000,0.500,1.000,21,8,4,9,25,26,-1,28,8,21,4,8,9,11,22,-11,20,16,2,-1,0,2,-1,0
1,1,13.5,11,12,10,11,5,6,5,5,6.948,4.390,5.343,4.617,6.806,4.536,5.524,4.870,17.091,14.636,17.818,16.400,33,24,15,11,77.78,55.56,88.89,61.11,6.978,6.700,17.273,12.091,61.582,47.064,83.909,72.636,7.455,7.364,19.364,20.818,14.000,18.545,5.545,4.091,9.273,10.364,24.000,26.000,1.000,0.000,6.975,6.682,16.236,13.595,58.551,47.087,82.905,74.568,6.877,7.182,18.882,20.059,15.350,17.073,5.623,4.245,8.386,10.532,23.000,20.500,0.500,0.500,6.917,6.700,16.000,11.000,66.800,50.567,86.000,76.000,7.000,7.667,18.667,18.333,14.000,18.000,6.333,3.333,8.667,6.333,7.000,7.000,0.000,0.000,6.983,6.655,17.166,13.666,60.633,51.050,83.834,77.500,5.333,8.667,17.500,18.500,15.334,18.500,6.167,3.667,7.000,9.333,5.500,5.000,0.000,0.000,21,14,5,2,37,9,28,47,1,21,6,7,8,25,34,-9,25,10,2,-1,0,2,-1,0
-1,1,11.0,13,14,12,13,0,3,6,6,6.460,4.701,6.280,4.167,6.330,4.294,6.061,3.872,16.636,16.000,17.273,15.167,25,14,28,13,55.56,33.33,38.89,44.44,6.705,6.794,18.400,16.200,48.790,55.530,77.400,79.600,4.500,10.500,20.000,14.600,12.800,16.200,5.400,5.200,9.200,11.900,22.000,34.000,0.000,1.000,6.661,6.755,15.473,17.191,45.572,54.174,75.064,79.072,5.568,10.750,21.046,16.891,13.945,15.372,4.609,5.282,9.782,12.041,27.000,31.500,1.500,1.500,6.790,6.803,15.333,16.000,50.233,53.067,76.667,79.667,7.333,8.667,22.333,14.333,13.000,15.667,4.333,5.333,10.333,14.667,9.000,7.000,0.000,0.000,6.535,6.697,15.000,17.500,51.533,50.933,77.000,77.834,8.333,8.667,20.833,15.666,13.166,15.500,4.500,5.000,10.500,10.834,10.500,8.500,0.500,0.500,21,6,5,10,25,33,-8,23,11,21,7,4,10,21,22,-1,25,9,2,-1,0,2,-1,0
-1,1,16.5,15,16,14,15,1,1,7,7,6.021,4.483,5.907,5.327,5.918,4.322,6.245,4.686,15.545,16.778,15.636,16.417,18,4,19,9,22.22,33.33,50.0,66.67,6.709,6.685,13.273,13.400,50.236,48.050,77.273,76.900,10.091,8.000,21.364,17.100,17.182,18.700,4.455,4.300,10.091,7.700,31.000,29.000,2.000,3.000,6.630,6.684,12.037,13.973,49.273,50.166,76.436,75.859,8.245,8.000,21.532,19.459,15.641,18.986,4.627,4.741,9.546,8.578,28.500,29.500,2.000,2.500,6.737,6.653,13.333,11.000,51.967,40.933,76.667,76.667,7.000,8.667,28.667,13.000,14.000,19.333,2.000,4.667,8.000,12.667,8.000,8.000,0.000,1.000,6.732,6.653,12.666,10.666,51.000,47.633,76.834,76.167,6.500,8.000,26.667,15.834,14.500,20.333,3.667,4.667,7.833,11.167,9.500,7.000,0.000,0.500,21,4,8,9,14,26,-12,20,15,21,7,6,8,17,23,-6,27,7,2,-1,0,2,-1,0
1,1,16.5,7,13,6,12,0,7,3,8,6.483,4.712,6.546,4.766,6.715,4.352,6.536,4.450,13.727,16.667,16.818,14.182,20,6,22,13,55.56,55.56,38.89,55.56,6.646,6.673,13.500,12.600,50.210,41.600,77.700,72.500,5.400,6.400,25.500,22.000,14.400,15.400,4.800,3.900,10.100,10.200,27.000,31.000,0.000,3.000,6.673,6.689,13.350,15.500,45.475,45.195,73.650,74.950,5.350,5.450,23.900,21.000,15.300,14.100,3.950,4.650,9.350,9.700,26.500,26.500,1.000,1.500,6.840,6.580,13.333,15.333,47.300,46.033,76.667,74.333,6.000,7.667,30.333,17.333,12.000,14.000,5.333,4.667,10.333,10.333,4.000,13.000,0.000,1.000,6.750,6.685,13.000,15.333,43.050,48.133,72.167,75.500,5.000,7.500,26.166,19.833,11.834,13.500,3.667,4.500,8.000,10.333,6.500,11.000,0.500,0.500,20,4,6,10,19,27,-8,18,16,20,6,5,9,24,28,-4,23,11,8,2,1,14,9,1
0,1,16.0,11,6,10,5,1,7,5,9,6.436,4.909,6.226,4.660,6.406,5.224,6.442,4.473,14.818,14.909,16.182,13.727,31,24,13,8,88.89,66.67,88.89,66.67,7.002,6.600,17.100,9.300,59.760,39.830,83.400,69.200,7.300,4.400,18.700,21.100,14.900,15.100,5.400,3.500,9.200,8.800,22.000,20.000,1.000,0.000,6.987,6.653,16.150,10.700,57.640,41.615,82.650,69.450,6.800,5.200,18.550,21.500,15.800,14.850,5.550,4.350,8.350,9.000,22.000,21.000,0.500,0.500,6.983,6.643,15.000,9.667,55.933,35.233,82.333,68.333,7.667,3.333,17.000,17.000,21.000,12.667,5.667,5.667,7.667,12.333,8.000,9.000,1.000,0.000,7.016,6.641,16.666,12.167,55.200,43.150,82.000,70.666,5.667,5.833,16.666,16.500,18.834,12.167,5.833,5.667,6.500,10.833,6.000,7.500,0.500,0.000,20,14,4,2,37,9,28,46,1,20,6,7,7,16,19,-3,25,10,12,9,1,5,5,2
