Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
12:30,Bochum,4,4,Sandhausen,Mac 1 2020
12:30,Arminia Bielefeld,1,0,Wehen,Mac 1 2020
12:30,St. Pauli,3,1,Osnabrueck,Mac 1 2020
19:30,Hannover 96,3,1,Holstein Kiel,Mac 2 2020
17:30,Nuernberg,0,3,Hannover 96,Mac 6 2020
17:30,Osnabrueck,2,6,Wehen,Mac 6 2020
12:00,Hamburger SV,2,1,Jahn Regensburg,Mac 7 2020
12:00,FC Heidenheim,3,1,Karlsruher SC,Mac 7 2020
12:00,Darmstadt,0,0,Bochum,Mac 7 2020
12:30,Dynamo Dresden,2,1,Erzgebirge Aue,Mac 8 2020
12:30,Holstein Kiel,1,1,Greuther Fuerth,Mac 8 2020
12:30,Sandhausen,2,2,St. Pauli,Mac 8 2020
19:30,VfB Stuttgart,1,1,Arminia Bielefeld,Mac 9 2020
12:00,Karlsruher SC,0,2,Holstein Kiel,Feb 1 2020
12:00,St. Pauli,1,1,VfB Stuttgart,Feb 1 2020
12:00,Hannover 96,2,2,Wehen,Feb 1 2020
12:30,Nuernberg,2,0,Sandhausen,Feb 2 2020
12:30,FC Heidenheim,0,0,Dynamo Dresden,Feb 2 2020
12:30,Darmstadt,2,2,Osnabrueck,Feb 2 2020
19:30,Bochum,1,3,Hamburger SV,Feb 3 2020
17:30,Sandhausen,0,1,FC Heidenheim,Feb 7 2020
17:30,Dynamo Dresden,2,3,Darmstadt,Feb 7 2020
12:00,VfB Stuttgart,3,0,Erzgebirge Aue,Feb 8 2020
12:00,Hamburger SV,2,0,Karlsruher SC,Feb 8 2020
12:00,Osnabrueck,0,1,Nuernberg,Feb 8 2020
12:30,Wehen,0,1,Bochum,Feb 9 2020
12:30,Greuther Fuerth,1,3,Hannover 96,Feb 9 2020
12:30,Arminia Bielefeld,6,0,Jahn Regensburg,Feb 9 2020
19:30,Holstein Kiel,2,1,St. Pauli,Feb 10 2020
17:30,FC Heidenheim,2,2,Nuernberg,Feb 14 2020
17:30,St. Pauli,0,0,Dynamo Dresden,Feb 14 2020
12:00,Greuther Fuerth,2,4,Arminia Bielefeld,Feb 15 2020
12:00,Jahn Regensburg,1,0,Wehen,Feb 15 2020
12:00,Hannover 96,1,1,Hamburger SV,Feb 15 2020
12:30,Erzgebirge Aue,1,2,Holstein Kiel,Feb 16 2020
12:30,Darmstadt,1,0,Sandhausen,Feb 16 2020
12:30,Karlsruher SC,1,1,Osnabrueck,Feb 16 2020
19:30,Bochum,0,1,VfB Stuttgart,Feb 17 2020
17:30,Osnabrueck,0,0,Erzgebirge Aue,Feb 21 2020
17:30,Wehen,1,1,Greuther Fuerth,Feb 21 2020
12:00,VfB Stuttgart,2,0,Jahn Regensburg,Feb 22 2020
12:00,Hamburger SV,0,2,St. Pauli,Feb 22 2020
12:00,Dynamo Dresden,1,2,Bochum,Feb 22 2020
12:00,Holstein Kiel,0,1,FC Heidenheim,Feb 22 2020
12:30,Nuernberg,1,2,Darmstadt,Feb 23 2020
12:30,Sandhausen,0,2,Karlsruher SC,Feb 23 2020
13:00,Arminia Bielefeld,1,0,Hannover 96,Feb 23 2020
17:30,Karlsruher SC,0,1,Nuernberg,Feb 28 2020
17:30,Jahn Regensburg,1,2,Dynamo Dresden,Feb 28 2020
12:00,Darmstadt,2,0,FC Heidenheim,Feb 29 2020
12:00,Greuther Fuerth,2,0,VfB Stuttgart,Feb 29 2020
12:00,Erzgebirge Aue,3,0,Hamburger SV,Feb 29 2020
17:30,Arminia Bielefeld,2,0,Bochum,Jan 28 2020
19:30,Jahn Regensburg,1,0,Hannover 96,Jan 28 2020
19:30,Greuther Fuerth,3,0,St. Pauli,Jan 28 2020
