Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
19:45,Middlesbrough,2,2,Nottingham Forest,Mac 2 2020
19:45,Nottingham Forest,0,3,Millwall,Mac 6 2020
12:30,Bristol City,1,1,Fulham,Mac 7 2020
15:00,Charlton,0,1,Middlesbrough,Mac 7 2020
15:00,Barnsley,0,2,Cardiff,Mac 7 2020
15:00,Birmingham,1,3,Reading,Mac 7 2020
15:00,Brentford,5,0,Sheffield Wednesday,Mac 7 2020
15:00,Leeds,2,0,Huddersfield,Mac 7 2020
15:00,Stoke,5,1,Hull,Mac 7 2020
15:00,Preston,1,3,Queens Park Rangers,Mac 7 2020
15:00,Wigan,0,0,Luton,Mac 7 2020
15:00,Swansea,0,0,West Bromwich Albion,Mac 7 2020
15:00,Derby,3,0,Blackburn,Mac 8 2020
12:30,Hull,1,5,Brentford,Feb 1 2020
15:00,Fulham,3,2,Huddersfield,Feb 1 2020
15:00,Charlton,2,1,Barnsley,Feb 1 2020
15:00,Birmingham,2,1,Nottingham Forest,Feb 1 2020
15:00,Leeds,0,1,Wigan,Feb 1 2020
15:00,Middlesbrough,1,1,Blackburn,Feb 1 2020
15:00,Preston,1,1,Swansea,Feb 1 2020
15:00,Queens Park Rangers,0,1,Bristol City,Feb 1 2020
15:00,Sheffield Wednesday,0,0,Millwall,Feb 1 2020
15:00,West Bromwich Albion,2,0,Luton,Feb 1 2020
19:45,Bristol City,1,3,Birmingham,Feb 7 2020
12:30,Wigan,1,2,Preston,Feb 8 2020
13:30,Barnsley,1,1,Sheffield Wednesday,Feb 8 2020
15:00,Blackburn,0,1,Fulham,Feb 8 2020
15:00,Huddersfield,2,0,Queens Park Rangers,Feb 8 2020
15:00,Brentford,3,2,Middlesbrough,Feb 8 2020
15:00,Luton,0,1,Cardiff,Feb 8 2020
15:00,Reading,1,1,Hull,Feb 8 2020
15:00,Stoke,3,1,Charlton,Feb 8 2020
15:00,Swansea,2,3,Derby,Feb 8 2020
17:30,Nottingham Forest,2,0,Leeds,Feb 8 2020
13:30,Millwall,0,2,West Bromwich Albion,Feb 9 2020
19:45,Wigan,2,2,Middlesbrough,Feb 11 2020
19:45,Swansea,0,0,Queens Park Rangers,Feb 11 2020
19:45,Nottingham Forest,0,1,Charlton,Feb 11 2020
19:45,Barnsley,0,1,Birmingham,Feb 11 2020
19:45,Brentford,1,1,Leeds,Feb 11 2020
19:45,Blackburn,3,0,Hull,Feb 11 2020
19:45,Bristol City,3,2,Derby,Feb 12 2020
19:45,Huddersfield,0,3,Cardiff,Feb 12 2020
19:45,Luton,1,0,Sheffield Wednesday,Feb 12 2020
19:45,Millwall,1,1,Fulham,Feb 12 2020
20:00,Reading,1,2,West Bromwich Albion,Feb 12 2020
20:00,Stoke,0,2,Preston,Feb 12 2020
19:45,Hull,4,4,Swansea,Feb 14 2020
12:30,West Bromwich Albion,2,2,Nottingham Forest,Feb 15 2020
15:00,Queens Park Rangers,4,2,Stoke,Feb 15 2020
15:00,Middlesbrough,0,1,Luton,Feb 15 2020
15:00,Preston,0,1,Millwall,Feb 15 2020
15:00,Leeds,1,0,Bristol City,Feb 15 2020
15:00,Derby,1,1,Huddersfield,Feb 15 2020
15:00,Fulham,0,3,Barnsley,Feb 15 2020
15:00,Sheffield Wednesday,0,3,Reading,Feb 15 2020
15:00,Birmingham,1,1,Brentford,Feb 15 2020
15:00,Cardiff,2,2,Wigan,Feb 15 2020
15:00,Charlton,0,2,Blackburn,Feb 15 2020
19:45,Derby,1,1,Fulham,Feb 21 2020
12:30,Brentford,2,2,Blackburn,Feb 22 2020
15:00,Birmingham,3,3,Sheffield Wednesday,Feb 22 2020
15:00,Charlton,3,1,Luton,Feb 22 2020
15:00,Bristol City,0,3,West Bromwich Albion,Feb 22 2020
15:00,Leeds,1,0,Reading,Feb 22 2020
15:00,Preston,2,1,Hull,Feb 22 2020
15:00,Nottingham Forest,0,0,Queens Park Rangers,Feb 22 2020
15:00,Swansea,3,1,Huddersfield,Feb 22 2020
15:00,Stoke,2,0,Cardiff,Feb 22 2020
15:00,Wigan,1,0,Millwall,Feb 22 2020
15:00,Barnsley,1,0,Middlesbrough,Feb 22 2020
19:45,Luton,2,1,Brentford,Feb 25 2020
19:45,Huddersfield,2,1,Bristol City,Feb 25 2020
19:45,Cardiff,0,1,Nottingham Forest,Feb 25 2020
19:45,Queens Park Rangers,2,1,Derby,Feb 25 2020
20:00,West Bromwich Albion,2,0,Preston,Feb 25 2020
19:45,Blackburn,0,0,Stoke,Feb 26 2020
19:45,Hull,0,1,Barnsley,Feb 26 2020
19:45,Middlesbrough,0,1,Leeds,Feb 26 2020
19:45,Millwall,0,0,Birmingham,Feb 26 2020
19:45,Sheffield Wednesday,1,0,Charlton,Feb 26 2020
19:45,Fulham,1,0,Swansea,Feb 26 2020
20:00,Reading,0,3,Wigan,Feb 26 2020
12:30,Hull,0,4,Leeds,Feb 29 2020
15:00,Luton,1,1,Stoke,Feb 29 2020
15:00,Millwall,1,1,Bristol City,Feb 29 2020
15:00,Queens Park Rangers,2,2,Birmingham,Feb 29 2020
15:00,West Bromwich Albion,0,1,Wigan,Feb 29 2020
15:00,Sheffield Wednesday,1,3,Derby,Feb 29 2020
15:00,Blackburn,2,2,Swansea,Feb 29 2020
15:00,Cardiff,2,2,Brentford,Feb 29 2020
15:00,Fulham,2,0,Preston,Feb 29 2020
15:00,Huddersfield,4,0,Charlton,Feb 29 2020
15:00,Reading,2,0,Barnsley,Feb 29 2020
12:45,Millwall,3,1,Luton,Jan 1 2020
15:00,Nottingham Forest,3,2,Blackburn,Jan 1 2020
15:00,Preston,0,2,Middlesbrough,Jan 1 2020
15:00,Queens Park Rangers,6,1,Cardiff,Jan 1 2020
15:00,Sheffield Wednesday,0,1,Hull,Jan 1 2020
15:00,Birmingham,2,3,Wigan,Jan 1 2020
15:00,Bristol City,0,4,Brentford,Jan 1 2020
15:00,Fulham,1,2,Reading,Jan 1 2020
15:00,Huddersfield,2,5,Stoke,Jan 1 2020
17:15,West Bromwich Albion,1,1,Leeds,Jan 1 2020
19:45,Derby,2,1,Barnsley,Jan 2 2020
19:45,Swansea,1,0,Charlton,Jan 2 2020
12:30,Brentford,3,1,Queens Park Rangers,Jan 11 2020
15:00,Barnsley,2,1,Huddersfield,Jan 11 2020
15:00,Blackburn,1,1,Preston,Jan 11 2020
15:00,Charlton,2,2,West Bromwich Albion,Jan 11 2020
15:00,Hull,0,1,Fulham,Jan 11 2020
15:00,Leeds,0,2,Sheffield Wednesday,Jan 11 2020
15:00,Luton,1,2,Birmingham,Jan 11 2020
15:00,Middlesbrough,2,2,Derby,Jan 11 2020
15:00,Reading,1,1,Nottingham Forest,Jan 11 2020
15:00,Stoke,0,0,Millwall,Jan 11 2020
15:00,Wigan,0,2,Bristol City,Jan 11 2020
12:00,Cardiff,0,0,Swansea,Jan 12 2020
19:45,Fulham,1,0,Middlesbrough,Jan 17 2020
12:30,Queens Park Rangers,1,0,Leeds,Jan 18 2020
15:00,Sheffield Wednesday,0,5,Blackburn,Jan 18 2020
15:00,Swansea,2,1,Wigan,Jan 18 2020
15:00,Huddersfield,0,0,Brentford,Jan 18 2020
15:00,Millwall,2,0,Reading,Jan 18 2020
15:00,Birmingham,1,1,Cardiff,Jan 18 2020
15:00,Bristol City,1,0,Barnsley,Jan 18 2020
15:00,Derby,1,0,Hull,Jan 18 2020
15:00,Preston,2,1,Charlton,Jan 18 2020
12:00,Nottingham Forest,3,1,Luton,Jan 19 2020
20:00,West Bromwich Albion,0,1,Stoke,Jan 20 2020
19:45,Barnsley,0,3,Preston,Jan 21 2020
19:45,Middlesbrough,1,1,Birmingham,Jan 21 2020
19:45,Nottingham Forest,1,1,Reading,Jan 22 2020
19:45,Charlton,0,0,Fulham,Jan 22 2020
15:00,Stoke,2,0,Swansea,Jan 25 2020
19:45,Wigan,2,1,Sheffield Wednesday,Jan 28 2020
19:45,Hull,1,2,Huddersfield,Jan 28 2020
19:45,Leeds,3,2,Millwall,Jan 28 2020
19:45,Luton,3,2,Derby,Jan 28 2020
19:45,Blackburn,2,1,Queens Park Rangers,Jan 28 2020
19:45,Brentford,0,1,Nottingham Forest,Jan 28 2020
19:45,Cardiff,2,1,West Bromwich Albion,Jan 28 2020
20:00,Reading,0,1,Bristol City,Jan 28 2020
19:45,Cardiff,1,1,Reading,Jan 31 2020
19:45,Derby,4,0,Stoke,Jan 31 2020
19:45,Preston,0,1,West Bromwich Albion,Des 2 2019
19:45,Millwall,2,2,Nottingham Forest,Des 6 2019
12:30,Huddersfield,0,2,Leeds,Des 7 2019
15:00,Hull,2,1,Stoke,Des 7 2019
15:00,Cardiff,3,2,Barnsley,Des 7 2019
15:00,Fulham,1,2,Bristol City,Des 7 2019
15:00,Blackburn,1,0,Derby,Des 7 2019
15:00,Luton,2,1,Wigan,Des 7 2019
15:00,Middlesbrough,1,0,Charlton,Des 7 2019
15:00,Queens Park Rangers,2,0,Preston,Des 7 2019
15:00,Reading,2,3,Birmingham,Des 7 2019
15:00,Sheffield Wednesday,2,1,Brentford,Des 7 2019
12:00,West Bromwich Albion,5,1,Swansea,Des 8 2019
19:45,Bristol City,1,2,Millwall,Des 10 2019
19:45,Leeds,2,0,Hull,Des 10 2019
19:45,Nottingham Forest,1,1,Middlesbrough,Des 10 2019
19:45,Preston,2,1,Fulham,Des 10 2019
19:55,Charlton,0,1,Huddersfield,Des 10 2019
20:00,Stoke,3,0,Luton,Des 10 2019
19:45,Barnsley,1,1,Reading,Des 11 2019
19:45,Birmingham,0,2,Queens Park Rangers,Des 11 2019
19:45,Brentford,2,1,Cardiff,Des 11 2019
19:45,Derby,1,1,Sheffield Wednesday,Des 11 2019
19:45,Swansea,1,1,Blackburn,Des 11 2019
19:45,Wigan,1,1,West Bromwich Albion,Des 11 2019
19:45,Charlton,2,2,Hull,Des 13 2019
12:30,Birmingham,2,3,West Bromwich Albion,Des 14 2019
15:00,Brentford,1,0,Fulham,Des 14 2019
15:00,Bristol City,0,2,Blackburn,Des 14 2019
15:00,Derby,0,1,Millwall,Des 14 2019
15:00,Leeds,3,3,Cardiff,Des 14 2019
15:00,Nottingham Forest,0,4,Sheffield Wednesday,Des 14 2019
15:00,Preston,2,1,Luton,Des 14 2019
15:00,Stoke,0,0,Reading,Des 14 2019
15:00,Swansea,3,1,Middlesbrough,Des 14 2019
15:00,Wigan,1,1,Huddersfield,Des 14 2019
15:00,Barnsley,5,3,Queens Park Rangers,Des 14 2019
19:45,Middlesbrough,2,1,Stoke,Des 20 2019
12:30,Cardiff,0,0,Preston,Des 21 2019
15:00,Fulham,2,1,Leeds,Des 21 2019
15:00,Huddersfield,2,1,Nottingham Forest,Des 21 2019
15:00,Hull,3,0,Birmingham,Des 21 2019
15:00,Luton,0,1,Swansea,Des 21 2019
15:00,Millwall,1,2,Barnsley,Des 21 2019
15:00,Queens Park Rangers,2,2,Charlton,Des 21 2019
15:00,Reading,3,0,Derby,Des 21 2019
15:00,West Bromwich Albion,1,1,Brentford,Des 21 2019
12:00,Sheffield Wednesday,1,0,Bristol City,Des 22 2019
19:45,Blackburn,0,0,Wigan,Des 23 2019
