Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
17:55,Sporting CP,3,1,Istanbul Basaksehir,Feb 20 2020
17:55,Getafe,2,0,Ajax,Feb 20 2020
17:55,FC Copenhagen,1,1,Celtic,Feb 20 2020
17:55,CFR Cluj,1,1,Sevilla,Feb 20 2020
17:55,Shakhtar Donetsk,2,1,Benfica,Feb 20 2020
17:55,Club Brugge,1,1,Manchester United,Feb 20 2020
17:55,Ludogorets Razgrad,0,2,Inter,Feb 20 2020
17:55,Eintracht Frankfurt,4,1,Salzburg,Feb 20 2020
20:00,Rangers,3,2,Braga,Feb 20 2020
20:00,Roma,1,0,Gent,Feb 20 2020
20:00,AZ Alkmaar,1,1,LASK,Feb 20 2020
20:00,Wolfsburg,2,1,Malmoe FF,Feb 20 2020
20:00,Olympiacos,0,1,Arsenal,Feb 20 2020
20:00,APOEL Nicosia,0,3,FC Basel 1893,Feb 20 2020
20:00,Bayer Leverkusen,2,1,FC Porto,Feb 20 2020
20:00,Wolverhampton Wanderers,4,0,Espanyol,Feb 20 2020
17:00,Braga,0,1,Rangers,Feb 26 2020
17:55,Istanbul Basaksehir,4,1,Sporting CP,Feb 27 2020
17:55,FC Porto,1,3,Bayer Leverkusen,Feb 27 2020
17:55,Espanyol,3,2,Wolverhampton Wanderers,Feb 27 2020
17:55,FC Basel 1893,1,0,APOEL Nicosia,Feb 27 2020
17:55,Malmoe FF,0,3,Wolfsburg,Feb 27 2020
17:55,LASK,2,0,AZ Alkmaar,Feb 27 2020
17:55,Gent,1,1,Roma,Feb 27 2020
20:00,Manchester United,5,0,Club Brugge,Feb 27 2020
20:00,Sevilla,0,0,CFR Cluj,Feb 27 2020
20:00,Benfica,3,3,Shakhtar Donetsk,Feb 27 2020
20:00,Arsenal,1,2,Olympiacos,Feb 27 2020
20:00,Ajax,2,1,Getafe,Feb 27 2020
20:00,Celtic,1,3,FC Copenhagen,Feb 27 2020
20:00,Inter,2,1,Ludogorets Razgrad,Feb 27 2020
17:00,Salzburg,2,2,Eintracht Frankfurt,Feb 28 2020
17:55,Istanbul Basaksehir,1,0,FC Copenhagen,Mac 12 2020
17:55,LASK,0,5,Manchester United,Mac 12 2020
17:55,Eintracht Frankfurt,0,3,FC Basel 1893,Mac 12 2020
20:00,Olympiacos,1,1,Wolverhampton Wanderers,Mac 12 2020
20:00,Rangers,1,3,Bayer Leverkusen,Mac 12 2020
20:00,Wolfsburg,1,2,Shakhtar Donetsk,Mac 12 2020
17:55,Fenerbahce,1,0,Zenit St. Petersburg,Feb 12 2019
17:55,BATE Borisov,1,0,Arsenal,Feb 14 2019
17:55,Galatasaray,1,2,Benfica,Feb 14 2019
17:55,Rapid Wien,0,1,Inter,Feb 14 2019
17:55,Slavia Prague,0,0,Genk,Feb 14 2019
17:55,FC Krasnodar,0,0,Bayer Leverkusen,Feb 14 2019
17:55,Rennes,3,3,Real Betis,Feb 14 2019
17:55,Olympiacos,2,2,Dynamo Kyiv,Feb 14 2019
17:55,Lazio,0,1,Sevilla,Feb 14 2019
20:00,Viktoria Plzen,2,1,Dinamo Zagreb,Feb 14 2019
20:00,Club Brugge,2,1,Salzburg,Feb 14 2019
20:00,FC Zuerich,1,3,Napoli,Feb 14 2019
20:00,Malmoe FF,1,2,Chelsea,Feb 14 2019
20:00,Shakhtar Donetsk,2,2,Eintracht Frankfurt,Feb 14 2019
20:00,Celtic,0,2,Valencia,Feb 14 2019
20:00,Sporting CP,0,1,Villarreal,Feb 14 2019
17:00,Sevilla,2,0,Lazio,Feb 20 2019
17:55,Zenit St. Petersburg,3,1,Fenerbahce,Feb 21 2019
17:55,Villarreal,1,1,Sporting CP,Feb 21 2019
17:55,Arsenal,3,0,BATE Borisov,Feb 21 2019
17:55,Eintracht Frankfurt,4,1,Shakhtar Donetsk,Feb 21 2019
17:55,Valencia,1,0,Celtic,Feb 21 2019
17:55,Napoli,2,0,FC Zuerich,Feb 21 2019
17:55,Dinamo Zagreb,3,0,Viktoria Plzen,Feb 21 2019
17:55,Salzburg,4,0,Club Brugge,Feb 21 2019
20:00,Inter,4,0,Rapid Wien,Feb 21 2019
20:00,Genk,1,4,Slavia Prague,Feb 21 2019
20:00,Bayer Leverkusen,1,1,FC Krasnodar,Feb 21 2019
20:00,Chelsea,3,0,Malmoe FF,Feb 21 2019
20:00,Real Betis,1,3,Rennes,Feb 21 2019
20:00,Dynamo Kyiv,1,0,Olympiacos,Feb 21 2019
20:00,Benfica,0,0,Galatasaray,Feb 21 2019
17:55,Eintracht Frankfurt,0,0,Inter,Mac 7 2019
17:55,Dinamo Zagreb,1,0,Benfica,Mac 7 2019
17:55,Zenit St. Petersburg,1,3,Villarreal,Mac 7 2019
17:55,Sevilla,2,2,Slavia Prague,Mac 7 2019
17:55,Rennes,3,1,Arsenal,Mac 7 2019
20:00,Napoli,3,0,Salzburg,Mac 7 2019
20:00,Valencia,2,1,FC Krasnodar,Mac 7 2019
20:00,Chelsea,3,0,Dynamo Kyiv,Mac 7 2019
17:55,Dynamo Kyiv,0,5,Chelsea,Mac 14 2019
17:55,Salzburg,3,1,Napoli,Mac 14 2019
17:55,FC Krasnodar,1,1,Valencia,Mac 14 2019
20:00,Slavia Prague,4,3,Sevilla,Mac 14 2019
20:00,Arsenal,3,0,Rennes,Mac 14 2019
20:00,Villarreal,2,1,Zenit St. Petersburg,Mac 14 2019
20:00,Inter,0,1,Eintracht Frankfurt,Mac 14 2019
20:00,Benfica,3,0,Dinamo Zagreb,Mac 14 2019
20:00,Arsenal,2,0,Napoli,Apr 11 2019
20:00,Villarreal,1,3,Valencia,Apr 11 2019
20:00,Benfica,4,2,Eintracht Frankfurt,Apr 11 2019
20:00,Slavia Prague,0,1,Chelsea,Apr 11 2019
20:00,Chelsea,4,3,Slavia Prague,Apr 18 2019
20:00,Eintracht Frankfurt,2,0,Benfica,Apr 18 2019
20:00,Valencia,2,0,Villarreal,Apr 18 2019
20:00,Napoli,0,1,Arsenal,Apr 18 2019
20:00,Arsenal,3,1,Valencia,Mei 2 2019
20:00,Eintracht Frankfurt,1,1,Chelsea,Mei 2 2019
20:00,Chelsea,1,1,Eintracht Frankfurt,Mei 9 2019
20:00,Valencia,2,4,Arsenal,Mei 9 2019
20:00,Chelsea,4,1,Arsenal,Mei 29 2019
17:00,FK Crvena Zvezda,0,0,CSKA Moscow,Feb 13 2018
16:00,FC Astana,1,3,Sporting CP,Feb 15 2018
18:00,Oestersunds FK,0,3,Arsenal,Feb 15 2018
18:00,Marseille,3,0,Braga,Feb 15 2018
18:00,Real Sociedad,2,2,Salzburg,Feb 15 2018
18:00,Borussia Dortmund,3,2,Atalanta,Feb 15 2018
18:00,Nice,2,3,Lokomotiv Moscow,Feb 15 2018
18:00,Spartak Moscow,1,3,Athletic Bilbao,Feb 15 2018
18:00,Ludogorets Razgrad,0,3,AC Milan,Feb 15 2018
20:05,AEK Athens,1,1,Dynamo Kyiv,Feb 15 2018
20:05,Celtic,1,0,Zenit St. Petersburg,Feb 15 2018
20:05,Napoli,1,3,RasenBallsport Leipzig,Feb 15 2018
20:05,FC Copenhagen,1,4,Atletico Madrid,Feb 15 2018
20:05,Lyon,3,1,Villarreal,Feb 15 2018
20:05,Partizan Belgrade,1,1,Viktoria Plzen,Feb 15 2018
20:05,FC FCSB,1,0,Lazio,Feb 15 2018
17:00,CSKA Moscow,1,0,FK Crvena Zvezda,Feb 21 2018
16:00,Lokomotiv Moscow,1,0,Nice,Feb 22 2018
18:00,Atletico Madrid,1,0,FC Copenhagen,Feb 22 2018
18:00,Villarreal,0,1,Lyon,Feb 22 2018
18:00,Dynamo Kyiv,0,0,AEK Athens,Feb 22 2018
18:00,Zenit St. Petersburg,3,0,Celtic,Feb 22 2018
18:00,RasenBallsport Leipzig,0,2,Napoli,Feb 22 2018
18:00,Sporting CP,3,3,FC Astana,Feb 22 2018
18:00,Viktoria Plzen,2,0,Partizan Belgrade,Feb 22 2018
18:00,Lazio,5,1,FC FCSB,Feb 22 2018
20:05,AC Milan,1,0,Ludogorets Razgrad,Feb 22 2018
20:05,Arsenal,1,2,Oestersunds FK,Feb 22 2018
20:05,Braga,1,0,Marseille,Feb 22 2018
20:05,Salzburg,2,1,Real Sociedad,Feb 22 2018
20:05,Athletic Bilbao,1,2,Spartak Moscow,Feb 22 2018
20:05,Atalanta,1,1,Borussia Dortmund,Feb 22 2018
18:00,Atletico Madrid,3,0,Lokomotiv Moscow,Mac 8 2018
18:00,CSKA Moscow,0,1,Lyon,Mac 8 2018
18:00,Borussia Dortmund,1,2,Salzburg,Mac 8 2018
18:00,AC Milan,0,2,Arsenal,Mac 8 2018
20:05,Lazio,2,2,Dynamo Kyiv,Mac 8 2018
20:05,RasenBallsport Leipzig,2,1,Zenit St. Petersburg,Mac 8 2018
20:05,Marseille,3,1,Athletic Bilbao,Mac 8 2018
20:05,Sporting CP,2,0,Viktoria Plzen,Mac 8 2018
16:00,Lokomotiv Moscow,1,5,Atletico Madrid,Mac 15 2018
18:00,Athletic Bilbao,1,2,Marseille,Mac 15 2018
18:00,Viktoria Plzen,2,1,Sporting CP,Mac 15 2018
18:00,Dynamo Kyiv,0,2,Lazio,Mac 15 2018
18:00,Zenit St. Petersburg,1,1,RasenBallsport Leipzig,Mac 15 2018
20:05,Salzburg,0,0,Borussia Dortmund,Mac 15 2018
20:05,Arsenal,3,1,AC Milan,Mac 15 2018
20:05,Lyon,2,3,CSKA Moscow,Mac 15 2018
20:05,RasenBallsport Leipzig,1,0,Marseille,Apr 5 2018
20:05,Arsenal,4,1,CSKA Moscow,Apr 5 2018
20:05,Atletico Madrid,2,0,Sporting CP,Apr 5 2018
20:05,Lazio,4,2,Salzburg,Apr 5 2018
20:05,Marseille,5,2,RasenBallsport Leipzig,Apr 12 2018
20:05,CSKA Moscow,2,2,Arsenal,Apr 12 2018
20:05,Sporting CP,1,0,Atletico Madrid,Apr 12 2018
20:05,Salzburg,4,1,Lazio,Apr 12 2018
20:05,Marseille,2,0,Salzburg,Apr 26 2018
20:05,Arsenal,1,1,Atletico Madrid,Apr 26 2018
20:05,Salzburg,2,1,Marseille,Mei 3 2018
20:05,Atletico Madrid,1,0,Arsenal,Mei 3 2018
19:45,Marseille,0,3,Atletico Madrid,Mei 16 2018
16:00,FC Krasnodar,1,0,Fenerbahce,Feb 16 2017
18:00,Astra Giurgiu,2,2,Genk,Feb 16 2017
18:00,AZ Alkmaar,1,4,Lyon,Feb 16 2017
18:00,Borussia M.Gladbach,0,1,Fiorentina,Feb 16 2017
18:00,Celta Vigo,0,1,Shakhtar Donetsk,Feb 16 2017
18:00,Gent,1,0,Tottenham,Feb 16 2017
18:00,Ludogorets Razgrad,1,2,FC Copenhagen,Feb 16 2017
18:00,Olympiacos,0,0,Osmanlispor FK,Feb 16 2017
18:00,FC Rostov,4,0,Sparta Prague,Feb 16 2017
20:05,Villarreal,0,4,Roma,Feb 16 2017
20:05,PAOK Thessaloniki FC,0,3,Schalke 04,Feb 16 2017
20:05,Manchester United,3,0,Saint-Etienne,Feb 16 2017
20:05,Hapoel Beer Sheva,1,3,Besiktas,Feb 16 2017
20:05,Athletic Bilbao,3,2,APOEL Nicosia,Feb 16 2017
20:05,Legia Warszawa,0,0,Ajax,Feb 16 2017
20:05,Anderlecht,2,0,Zenit St. Petersburg,Feb 16 2017
17:00,Fenerbahce,1,1,FC Krasnodar,Feb 22 2017
17:00,Saint-Etienne,0,1,Manchester United,Feb 22 2017
17:00,Schalke 04,1,1,PAOK Thessaloniki FC,Feb 22 2017
16:00,Osmanlispor FK,0,3,Olympiacos,Feb 23 2017
18:00,Roma,0,1,Villarreal,Feb 23 2017
18:00,Ajax,1,0,Legia Warszawa,Feb 23 2017
18:00,Besiktas,2,1,Hapoel Beer Sheva,Feb 23 2017
18:00,APOEL Nicosia,2,0,Athletic Bilbao,Feb 23 2017
18:00,Zenit St. Petersburg,3,1,Anderlecht,Feb 23 2017
20:05,Genk,1,0,Astra Giurgiu,Feb 23 2017
20:05,Lyon,7,1,AZ Alkmaar,Feb 23 2017
20:05,Fiorentina,2,4,Borussia M.Gladbach,Feb 23 2017
20:05,Shakhtar Donetsk,0,2,Celta Vigo,Feb 23 2017
20:05,Tottenham,2,2,Gent,Feb 23 2017
20:05,FC Copenhagen,0,0,Ludogorets Razgrad,Feb 23 2017
20:05,Sparta Prague,1,1,FC Rostov,Feb 23 2017
18:00,APOEL Nicosia,0,1,Anderlecht,Mac 9 2017
18:00,FC Copenhagen,2,1,Ajax,Mac 9 2017
18:00,FC Rostov,1,1,Manchester United,Mac 9 2017
20:05,Olympiacos,1,1,Besiktas,Mac 9 2017
20:05,Gent,2,5,Genk,Mac 9 2017
20:05,Schalke 04,1,1,Borussia M.Gladbach,Mac 9 2017
20:05,Lyon,4,2,Roma,Mac 9 2017
20:05,Celta Vigo,2,1,FC Krasnodar,Mac 9 2017
18:00,FC Krasnodar,0,2,Celta Vigo,Mac 16 2017
18:00,Besiktas,4,1,Olympiacos,Mac 16 2017
18:00,Genk,1,1,Gent,Mac 16 2017
20:05,Ajax,2,0,FC Copenhagen,Mac 16 2017
20:05,Anderlecht,1,0,APOEL Nicosia,Mac 16 2017
20:05,Borussia M.Gladbach,2,2,Schalke 04,Mac 16 2017
20:05,Roma,2,1,Lyon,Mac 16 2017
20:05,Manchester United,1,0,FC Rostov,Mac 16 2017
20:05,Anderlecht,1,1,Manchester United,Apr 13 2017
20:05,Celta Vigo,3,2,Genk,Apr 13 2017
20:05,Ajax,2,0,Schalke 04,Apr 13 2017
20:05,Lyon,2,1,Besiktas,Apr 13 2017
20:05,Manchester United,2,1,Anderlecht,Apr 20 2017
20:05,Genk,1,1,Celta Vigo,Apr 20 2017
20:05,Schalke 04,3,2,Ajax,Apr 20 2017
20:05,Besiktas,2,1,Lyon,Apr 20 2017
17:45,Ajax,4,1,Lyon,Mei 3 2017
20:05,Celta Vigo,0,1,Manchester United,Mei 4 2017
20:05,Lyon,3,1,Ajax,Mei 11 2017
20:05,Manchester United,1,1,Celta Vigo,Mei 11 2017
19:45,Ajax,0,2,Manchester United,Mei 24 2017
17:00,Fenerbahce,2,0,Lokomotiv Moscow,Feb 16 2016
18:00,Anderlecht,1,0,Olympiacos,Feb 18 2016
18:00,FC Midtjylland,2,1,Manchester United,Feb 18 2016
18:00,Fiorentina,1,1,Tottenham,Feb 18 2016
18:00,Borussia Dortmund,2,0,FC Porto,Feb 18 2016
18:00,Sevilla,3,0,Molde,Feb 18 2016
18:00,Villarreal,1,0,Napoli,Feb 18 2016
18:00,Saint-Etienne,3,2,FC Basel 1893,Feb 18 2016
20:05,Sporting CP,0,1,Bayer Leverkusen,Feb 18 2016
20:05,Augsburg,0,0,Liverpool,Feb 18 2016
20:05,Sparta Prague,1,0,FC Krasnodar,Feb 18 2016
20:05,Galatasaray,1,1,Lazio,Feb 18 2016
20:05,FC Sion,1,2,Braga,Feb 18 2016
20:05,Shakhtar Donetsk,0,0,Schalke 04,Feb 18 2016
20:05,Marseille,0,1,Athletic Bilbao,Feb 18 2016
20:05,Valencia,6,0,Rapid Wien,Feb 18 2016
17:00,Braga,2,2,FC Sion,Feb 24 2016
16:00,Lokomotiv Moscow,1,1,Fenerbahce,Feb 25 2016
18:00,Liverpool,1,0,Augsburg,Feb 25 2016
18:00,FC Krasnodar,0,3,Sparta Prague,Feb 25 2016
18:00,Lazio,3,1,Galatasaray,Feb 25 2016
18:00,Schalke 04,0,3,Shakhtar Donetsk,Feb 25 2016
18:00,Athletic Bilbao,1,1,Marseille,Feb 25 2016
18:00,Bayer Leverkusen,3,1,Sporting CP,Feb 25 2016
18:00,Rapid Wien,0,4,Valencia,Feb 25 2016
20:05,Tottenham,3,0,Fiorentina,Feb 25 2016
20:05,FC Porto,0,1,Borussia Dortmund,Feb 25 2016
20:05,Napoli,1,1,Villarreal,Feb 25 2016
20:05,FC Basel 1893,2,1,Saint-Etienne,Feb 25 2016
20:05,Molde,1,0,Sevilla,Feb 25 2016
20:05,Olympiacos,1,2,Anderlecht,Feb 25 2016
20:05,Manchester United,5,1,FC Midtjylland,Feb 25 2016
18:00,Shakhtar Donetsk,3,1,Anderlecht,Mac 10 2016
18:00,FC Basel 1893,0,0,Sevilla,Mac 10 2016
18:00,Borussia Dortmund,3,0,Tottenham,Mac 10 2016
18:00,Fenerbahce,1,0,Braga,Mac 10 2016
20:05,Athletic Bilbao,1,0,Valencia,Mac 10 2016
20:05,Liverpool,2,0,Manchester United,Mac 10 2016
20:05,Sparta Prague,1,1,Lazio,Mac 10 2016
20:05,Villarreal,2,0,Bayer Leverkusen,Mac 10 2016
