Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
19:45,Exeter,1,1,Crewe,Mac 3 2020
19:45,Swindon,2,0,Scunthorpe,Mac 3 2020
19:45,Plymouth,3,0,Grimsby,Mac 3 2020
13:00,Scunthorpe,0,2,Grimsby,Mac 7 2020
15:00,Swindon,0,2,Forest Green,Mac 7 2020
15:00,Carlisle,0,3,Colchester,Mac 7 2020
15:00,Cheltenham,0,0,Port Vale,Mac 7 2020
15:00,Crawley,3,0,Oldham,Mac 7 2020
15:00,Crewe,3,1,Stevenage,Mac 7 2020
15:00,Newport,1,0,Morecambe,Mac 7 2020
15:00,Northampton,1,2,Mansfield,Mac 7 2020
15:00,Plymouth,3,0,Macclesfield,Mac 7 2020
15:00,Salford City,2,0,Bradford,Mac 7 2020
15:00,Walsall,3,1,Exeter,Mac 7 2020
15:00,Leyton Orient,2,1,Cambridge U,Mac 7 2020
19:45,Carlisle,2,0,Newport,Mac 10 2020
15:00,Plymouth,1,0,Newport,Feb 1 2020
15:00,Port Vale,1,1,Salford City,Feb 1 2020
15:00,Stevenage,0,3,Leyton Orient,Feb 1 2020
15:00,Swindon,2,1,Exeter,Feb 1 2020
15:00,Walsall,1,2,Crewe,Feb 1 2020
15:00,Mansfield,2,2,Carlisle,Feb 1 2020
15:00,Cambridge U,2,1,Colchester,Feb 1 2020
15:00,Cheltenham,2,1,Morecambe,Feb 1 2020
15:00,Crawley,3,1,Scunthorpe,Feb 1 2020
15:00,Grimsby,2,2,Forest Green,Feb 1 2020
15:00,Macclesfield,0,1,Northampton,Feb 1 2020
15:30,Oldham,3,0,Bradford,Feb 1 2020
15:00,Forest Green,1,2,Walsall,Feb 8 2020
15:00,Leyton Orient,1,1,Macclesfield,Feb 8 2020
15:00,Bradford,1,1,Grimsby,Feb 8 2020
15:00,Carlisle,1,1,Swindon,Feb 8 2020
15:00,Colchester,3,0,Plymouth,Feb 8 2020
15:00,Crewe,2,1,Oldham,Feb 8 2020
15:00,Exeter,2,1,Stevenage,Feb 8 2020
15:00,Morecambe,1,1,Mansfield,Feb 8 2020
15:00,Newport,0,1,Cambridge U,Feb 8 2020
15:00,Northampton,0,1,Port Vale,Feb 8 2020
15:00,Salford City,0,0,Crawley,Feb 8 2020
15:00,Scunthorpe,1,0,Cheltenham,Feb 8 2020
19:45,Bradford,3,1,Stevenage,Feb 11 2020
19:45,Carlisle,0,1,Cheltenham,Feb 11 2020
19:45,Colchester,2,3,Grimsby,Feb 11 2020
