Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
15:00,Aves,1,3,Pacos de Ferreira,Mac 1 2020
17:30,Maritimo,1,2,Braga,Mac 1 2020
20:00,Vitoria de Guimaraes,2,0,Tondela,Mac 1 2020
19:30,Santa Clara,0,2,FC Porto,Mac 2 2020
20:45,Benfica,1,1,Moreirense,Mac 2 2020
20:00,Famalicao,3,1,Sporting CP,Mac 3 2020
20:30,Braga,3,1,Portimonense,Mac 6 2020
15:30,Tondela,1,1,Boavista,Mac 7 2020
18:00,Vitoria de Setubal,1,1,Benfica,Mac 7 2020
20:30,FC Porto,1,1,Rio Ave,Mac 7 2020
15:00,Moreirense,2,0,Maritimo,Mac 8 2020
15:00,Belenenses SAD,0,0,Famalicao,Mac 8 2020
17:00,Gil Vicente,1,1,Santa Clara,Mac 8 2020
17:30,Sporting CP,2,0,Aves,Mac 8 2020
20:00,Pacos de Ferreira,1,2,Vitoria de Guimaraes,Mac 8 2020
15:30,Portimonense,0,1,Tondela,Feb 1 2020
18:00,Vitoria de Setubal,0,4,FC Porto,Feb 1 2020
15:00,Gil Vicente,1,5,Moreirense,Feb 2 2020
15:00,Maritimo,1,2,Aves,Feb 2 2020
17:30,Santa Clara,2,1,Pacos de Ferreira,Feb 2 2020
17:30,Braga,1,0,Sporting CP,Feb 2 2020
20:00,Boavista,2,0,Vitoria de Guimaraes,Feb 2 2020
20:30,Pacos de Ferreira,0,1,Boavista,Feb 7 2020
15:30,Belenenses SAD,0,2,Santa Clara,Feb 8 2020
15:30,Famalicao,0,7,Vitoria de Guimaraes,Feb 8 2020
18:00,Braga,2,2,Gil Vicente,Feb 8 2020
20:30,FC Porto,3,2,Benfica,Feb 8 2020
15:00,Tondela,0,0,Maritimo,Feb 9 2020
15:00,Moreirense,1,1,Vitoria de Setubal,Feb 9 2020
17:30,Sporting CP,2,1,Portimonense,Feb 9 2020
20:00,Aves,0,4,Rio Ave,Feb 9 2020
20:30,Vitoria de Setubal,1,2,Gil Vicente,Feb 14 2020
15:30,Santa Clara,1,0,Tondela,Feb 15 2020
15:30,Portimonense,1,1,Moreirense,Feb 15 2020
18:00,Benfica,0,1,Braga,Feb 15 2020
20:30,Rio Ave,1,1,Sporting CP,Feb 15 2020
15:00,Boavista,1,2,Belenenses SAD,Feb 16 2020
15:00,Maritimo,3,0,Pacos de Ferreira,Feb 16 2020
17:30,Vitoria de Guimaraes,1,2,FC Porto,Feb 16 2020
20:00,Famalicao,1,1,Aves,Feb 16 2020
20:30,Aves,0,2,Vitoria de Guimaraes,Feb 21 2020
18:00,Tondela,1,2,Rio Ave,Feb 22 2020
20:30,Belenenses SAD,1,0,Maritimo,Feb 22 2020
15:00,Pacos de Ferreira,2,1,Famalicao,Feb 23 2020
15:00,Moreirense,2,1,Santa Clara,Feb 23 2020
17:30,Sporting CP,2,0,Boavista,Feb 23 2020
20:00,Braga,3,1,Vitoria de Setubal,Feb 23 2020
20:30,FC Porto,1,0,Portimonense,Feb 23 2020
19:30,Gil Vicente,0,1,Benfica,Feb 24 2020
20:30,Portimonense,0,0,Vitoria de Setubal,Feb 28 2020
18:00,Rio Ave,0,0,Belenenses SAD,Feb 29 2020
20:30,Boavista,0,1,Gil Vicente,Feb 29 2020
15:30,Aves,0,1,Santa Clara,Jan 4 2020
15:30,Boavista,1,1,Portimonense,Jan 4 2020
18:00,Belenenses SAD,1,7,Braga,Jan 4 2020
20:30,Vitoria de Guimaraes,0,1,Benfica,Jan 4 2020
15:00,Rio Ave,0,1,Maritimo,Jan 5 2020
15:00,Tondela,1,1,Gil Vicente,Jan 5 2020
15:00,Pacos de Ferreira,1,0,Moreirense,Jan 5 2020
17:30,Sporting CP,1,2,FC Porto,Jan 5 2020
20:00,Famalicao,3,0,Vitoria de Setubal,Jan 5 2020
19:00,Benfica,2,1,Aves,Jan 10 2020
19:00,Santa Clara,0,1,Rio Ave,Jan 10 2020
21:15,Moreirense,2,4,FC Porto,Jan 10 2020
15:30,Portimonense,0,0,Pacos de Ferreira,Jan 11 2020
18:00,Boavista,0,1,Famalicao,Jan 11 2020
20:30,Vitoria de Setubal,1,3,Sporting CP,Jan 11 2020
15:00,Gil Vicente,2,0,Belenenses SAD,Jan 12 2020
17:30,Maritimo,0,0,Vitoria de Guimaraes,Jan 12 2020
20:00,Braga,2,1,Tondela,Jan 12 2020
19:00,FC Porto,1,2,Braga,Jan 17 2020
21:15,Sporting CP,0,2,Benfica,Jan 17 2020
15:30,Vitoria de Guimaraes,1,0,Santa Clara,Jan 18 2020
15:30,Aves,3,0,Portimonense,Jan 18 2020
18:00,Tondela,1,1,Moreirense,Jan 18 2020
20:30,Belenenses SAD,0,1,Vitoria de Setubal,Jan 18 2020
15:00,Pacos de Ferreira,0,0,Gil Vicente,Jan 19 2020
17:30,Famalicao,1,1,Maritimo,Jan 19 2020
20:00,Rio Ave,2,0,Boavista,Jan 19 2020
15:00,Famalicao,0,1,Santa Clara,Jan 26 2020
15:00,Tondela,0,3,Vitoria de Setubal,Jan 26 2020
15:00,Belenenses SAD,2,1,Portimonense,Jan 26 2020
17:30,Pacos de Ferreira,0,2,Benfica,Jan 26 2020
20:00,Aves,0,1,Boavista,Jan 26 2020
18:45,Vitoria de Guimaraes,1,2,Rio Ave,Jan 27 2020
21:00,Sporting CP,1,0,Maritimo,Jan 27 2020
20:15,FC Porto,2,1,Gil Vicente,Jan 28 2020
20:15,Moreirense,1,2,Braga,Jan 29 2020
19:00,Benfica,3,2,Belenenses SAD,Jan 31 2020
21:15,Rio Ave,2,2,Famalicao,Jan 31 2020
15:00,Tondela,0,1,Belenenses SAD,Des 1 2019
17:30,Vitoria de Setubal,1,1,Vitoria de Guimaraes,Des 1 2019
20:00,Gil Vicente,3,1,Sporting CP,Des 1 2019
18:45,Braga,2,0,Rio Ave,Des 2 2019
20:45,FC Porto,2,0,Pacos de Ferreira,Des 2 2019
20:30,Boavista,1,4,Benfica,Des 6 2019
15:00,Maritimo,2,2,Santa Clara,Des 7 2019
18:00,Famalicao,2,3,Tondela,Des 7 2019
20:30,Aves,1,0,Braga,Des 7 2019
15:00,Vitoria de Guimaraes,2,0,Portimonense,Des 8 2019
15:00,Pacos de Ferreira,2,3,Vitoria de Setubal,Des 8 2019
17:30,Sporting CP,1,0,Moreirense,Des 8 2019
20:00,Belenenses SAD,1,1,FC Porto,Des 8 2019
20:15,Rio Ave,1,0,Gil Vicente,Des 9 2019
20:30,Portimonense,1,1,Rio Ave,Des 13 2019
15:30,Maritimo,1,0,Boavista,Des 14 2019
18:00,Benfica,4,0,Famalicao,Des 14 2019
20:30,Vitoria de Setubal,1,0,Aves,Des 14 2019
15:00,Moreirense,2,1,Belenenses SAD,Des 15 2019
17:30,Gil Vicente,2,2,Vitoria de Guimaraes,Des 15 2019
20:00,Braga,0,1,Pacos de Ferreira,Des 15 2019
19:00,Santa Clara,0,4,Sporting CP,Des 16 2019
20:15,FC Porto,3,0,Tondela,Des 16 2019
18:00,Benfica,2,0,Rio Ave,Nov 2 2019
20:30,Moreirense,1,1,Vitoria de Guimaraes,Nov 2 2019
15:00,Gil Vicente,2,0,Maritimo,Nov 3 2019
17:30,Tondela,1,0,Sporting CP,Nov 3 2019
20:00,FC Porto,1,0,Aves,Nov 3 2019
20:15,Braga,2,2,Famalicao,Nov 3 2019
19:00,Belenenses SAD,1,0,Pacos de Ferreira,Nov 4 2019
21:00,Vitoria de Setubal,1,0,Boavista,Nov 4 2019
21:00,Portimonense,1,1,Santa Clara,Nov 4 2019
20:30,Aves,1,2,Gil Vicente,Nov 8 2019
15:30,Rio Ave,1,0,Vitoria de Setubal,Nov 9 2019
18:00,Santa Clara,1,2,Benfica,Nov 9 2019
20:30,Famalicao,3,3,Moreirense,Nov 9 2019
15:00,Pacos de Ferreira,1,0,Tondela,Nov 10 2019
15:00,Maritimo,1,1,Portimonense,Nov 10 2019
18:30,Sporting CP,2,0,Belenenses SAD,Nov 10 2019
20:00,Vitoria de Guimaraes,0,2,Braga,Nov 10 2019
21:00,Boavista,0,1,FC Porto,Nov 10 2019
20:30,Santa Clara,1,2,Boavista,Nov 29 2019
15:30,Moreirense,3,2,Aves,Nov 30 2019
18:00,Benfica,4,0,Maritimo,Nov 30 2019
20:30,Portimonense,2,1,Famalicao,Nov 30 2019
15:30,Aves,0,1,Tondela,Okt 5 2019
20:30,Pacos de Ferreira,0,0,Rio Ave,Okt 25 2019
15:30,Gil Vicente,1,1,Portimonense,Okt 26 2019
15:30,Belenenses SAD,3,2,Aves,Okt 26 2019
18:00,Vitoria de Setubal,0,0,Maritimo,Okt 26 2019
20:30,Moreirense,1,1,Boavista,Okt 26 2019
15:00,Tondela,0,1,Benfica,Okt 27 2019
17:30,FC Porto,3,0,Famalicao,Okt 27 2019
20:00,Sporting CP,3,1,Vitoria de Guimaraes,Okt 27 2019
20:15,Braga,2,0,Santa Clara,Okt 28 2019
17:00,Rio Ave,1,1,Moreirense,Okt 30 2019
18:45,Maritimo,1,1,FC Porto,Okt 30 2019
20:00,Vitoria de Guimaraes,5,0,Belenenses SAD,Okt 30 2019
20:15,Benfica,4,0,Portimonense,Okt 30 2019
21:00,Famalicao,2,1,Gil Vicente,Okt 30 2019
19:45,Pacos de Ferreira,1,2,Sporting CP,Okt 31 2019
20:15,Santa Clara,1,1,Vitoria de Setubal,Okt 31 2019
20:15,Boavista,2,0,Braga,Okt 31 2019
16:00,Tondela,0,0,Santa Clara,Sep 1 2019
18:30,FC Porto,3,0,Vitoria de Guimaraes,Sep 1 2019
21:00,Braga,0,4,Benfica,Sep 1 2019
15:00,Rio Ave,1,1,Vitoria de Guimaraes,Sep 8 2019
20:30,Vitoria de Setubal,1,0,Braga,Sep 13 2019
16:30,Famalicao,4,2,Pacos de Ferreira,Sep 14 2019
19:00,Benfica,2,0,Gil Vicente,Sep 14 2019
21:30,Vitoria de Guimaraes,5,1,Aves,Sep 14 2019
16:00,Maritimo,1,3,Belenenses SAD,Sep 15 2019
16:00,Santa Clara,2,0,Moreirense,Sep 15 2019
16:00,Rio Ave,2,4,Tondela,Sep 15 2019
18:00,Portimonense,2,3,FC Porto,Sep 15 2019
20:00,Boavista,1,1,Sporting CP,Sep 15 2019
20:30,Pacos de Ferreira,2,1,Aves,Sep 20 2019
18:00,Belenenses SAD,0,2,Rio Ave,Sep 21 2019
20:30,Moreirense,1,2,Benfica,Sep 21 2019
15:30,Gil Vicente,0,0,Boavista,Sep 22 2019
18:00,Tondela,1,3,Vitoria de Guimaraes,Sep 22 2019
18:00,Vitoria de Setubal,0,0,Portimonense,Sep 22 2019
20:30,FC Porto,2,0,Santa Clara,Sep 22 2019
19:00,Braga,2,2,Maritimo,Sep 23 2019
21:00,Sporting CP,1,2,Famalicao,Sep 23 2019
20:30,Boavista,0,0,Tondela,Sep 27 2019
16:30,Maritimo,2,1,Moreirense,Sep 28 2019
19:00,Benfica,1,0,Vitoria de Setubal,Sep 28 2019
21:30,Famalicao,3,1,Belenenses SAD,Sep 28 2019
16:00,Vitoria de Guimaraes,1,0,Pacos de Ferreira,Sep 29 2019
16:00,Santa Clara,1,0,Gil Vicente,Sep 29 2019
18:00,Portimonense,0,1,Braga,Sep 29 2019
