Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
14:00,Nantes,0,1,Lille,Mac 1 2020
16:05,Bordeaux,1,1,Nice,Mac 1 2020
20:00,Lyon,2,0,Saint-Etienne,Mac 1 2020
20:00,Marseille,2,2,Amiens,Mac 6 2020
19:00,Metz,2,1,Nimes,Mac 7 2020
19:00,Reims,1,0,Brest,Mac 7 2020
19:00,Nice,2,1,Monaco,Mac 7 2020
19:00,Dijon,2,1,Toulouse,Mac 7 2020
19:00,Angers,2,0,Nantes,Mac 7 2020
14:00,Saint-Etienne,1,1,Bordeaux,Mac 8 2020
16:00,Rennes,5,0,Montpellier,Mac 8 2020
20:00,Lille,1,0,Lyon,Mac 8 2020
16:30,Paris Saint-Germain,5,0,Montpellier,Feb 1 2020
19:00,Angers,1,4,Reims,Feb 1 2020
19:00,Strasbourg,1,2,Lille,Feb 1 2020
19:00,Amiens,0,0,Toulouse,Feb 1 2020
19:00,Dijon,3,0,Brest,Feb 1 2020
19:00,Nimes,3,1,Monaco,Feb 1 2020
14:00,Nice,2,1,Lyon,Feb 2 2020
16:00,Metz,3,1,Saint-Etienne,Feb 2 2020
20:00,Bordeaux,0,0,Marseille,Feb 2 2020
18:00,Lille,1,0,Rennes,Feb 4 2020
18:00,Monaco,1,0,Angers,Feb 4 2020
20:05,Nantes,1,2,Paris Saint-Germain,Feb 4 2020
18:00,Toulouse,0,1,Strasbourg,Feb 5 2020
18:00,Lyon,0,0,Amiens,Feb 5 2020
18:00,Brest,1,1,Bordeaux,Feb 5 2020
18:00,Reims,1,1,Nice,Feb 5 2020
18:00,Nimes,2,0,Dijon,Feb 5 2020
18:00,Montpellier,1,1,Metz,Feb 5 2020
20:15,Saint-Etienne,0,2,Marseille,Feb 5 2020
19:45,Angers,0,2,Lille,Feb 7 2020
16:30,Marseille,1,0,Toulouse,Feb 8 2020
19:00,Metz,1,2,Bordeaux,Feb 8 2020
19:00,Dijon,3,3,Nantes,Feb 8 2020
19:00,Amiens,1,2,Monaco,Feb 8 2020
19:00,Nice,1,3,Nimes,Feb 8 2020
