Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
23:00,FC Dallas,2,0,Philadelphia Union,Feb 29 2020
23:00,Orlando City,0,0,Real Salt Lake,Feb 29 2020
01:00,Nashville SC,1,2,Atlanta United,Mac 1 2020
03:30,Vancouver Whitecaps,1,3,Sporting Kansas City,Mac 1 2020
17:30,Columbus Crew,1,0,New York City FC,Mac 1 2020
18:00,New York Red Bulls,3,2,FC Cincinnati,Mac 1 2020
20:00,Seattle Sounders FC,2,1,Chicago Fire,Mac 1 2020
22:30,Los Angeles FC,1,0,Inter Miami CF,Mac 1 2020
00:30,Portland Timbers,1,3,Minnesota United,Mac 2 2020
18:30,New England Revolution,1,1,Chicago Fire,Mac 7 2020
19:00,Real Salt Lake,1,1,New York Red Bulls,Mac 7 2020
20:00,FC Dallas,2,2,Montreal Impact,Mac 7 2020
20:30,DC United,2,1,Inter Miami CF,Mac 7 2020
22:00,Toronto FC,1,0,New York City FC,Mac 7 2020
00:00,Atlanta United,2,1,FC Cincinnati,Mac 8 2020
01:00,San Jose Earthquakes,2,5,Minnesota United,Mac 8 2020
01:30,Sporting Kansas City,4,0,Houston Dynamo,Mac 8 2020
02:00,Colorado Rapids,2,1,Orlando City,Mac 8 2020
03:00,LA Galaxy,0,1,Vancouver Whitecaps,Mac 8 2020
03:00,Seattle Sounders FC,1,1,Columbus Crew,Mac 8 2020
23:00,Portland Timbers,1,0,Nashville SC,Mac 8 2020
02:30,Los Angeles FC,3,3,Philadelphia Union,Mac 9 2020
20:00,Seattle Sounders FC,3,1,Toronto FC,Nov 10 2019
01:00,Atlanta United,2,0,Portland Timbers,Des 9 2018
23:00,New York City FC,3,1,Philadelphia Union,Okt 31 2018
01:30,FC Dallas,1,2,Portland Timbers,Nov 1 2018
00:00,DC United,2,2,Columbus Crew,Nov 2 2018
03:00,Los Angeles FC,2,3,Real Salt Lake,Nov 2 2018
20:00,Columbus Crew,1,0,New York Red Bulls,Nov 4 2018
22:30,Portland Timbers,2,1,Seattle Sounders FC,Nov 4 2018
00:30,New York City FC,0,1,Atlanta United,Nov 5 2018
03:00,Real Salt Lake,1,1,Sporting Kansas City,Nov 5 2018
03:30,Seattle Sounders FC,3,2,Portland Timbers,Nov 9 2018
20:00,Sporting Kansas City,4,2,Real Salt Lake,Nov 11 2018
22:30,Atlanta United,3,1,New York City FC,Nov 11 2018
00:30,New York Red Bulls,3,0,Columbus Crew,Nov 12 2018
22:00,Atlanta United,3,0,New York Red Bulls,Nov 25 2018
00:30,Portland Timbers,0,0,Sporting Kansas City,Nov 26 2018
00:30,New York Red Bulls,1,0,Atlanta United,Nov 30 2018
02:30,Sporting Kansas City,2,3,Portland Timbers,Nov 30 2018
03:30,Seattle Sounders FC,3,0,Houston Dynamo,Des 1 2017
21:00,Toronto FC,2,0,Seattle Sounders FC,Des 9 2017
00:00,Columbus Crew,4,1,New York City FC,Nov 1 2017
02:30,Seattle Sounders FC,2,0,Vancouver Whitecaps,Nov 3 2017
20:00,Toronto FC,0,1,New York Red Bulls,Nov 5 2017
22:00,New York City FC,2,0,Columbus Crew,Nov 5 2017
00:30,Portland Timbers,1,2,Houston Dynamo,Nov 6 2017
01:00,Columbus Crew,0,0,Toronto FC,Nov 22 2017
02:30,Houston Dynamo,0,2,Seattle Sounders FC,Nov 22 2017
00:30,Toronto FC,1,0,Columbus Crew,Nov 30 2017
00:00,Toronto FC,5,2,Montreal Impact,Des 1 2016
01:00,Toronto FC,0,0,Seattle Sounders FC,Des 11 2016
19:00,Colorado Rapids,1,0,LA Galaxy,Nov 6 2016
21:00,New York Red Bulls,1,2,Montreal Impact,Nov 6 2016
23:30,New York City FC,0,5,Toronto FC,Nov 6 2016
02:00,FC Dallas,2,1,Seattle Sounders FC,Nov 7 2016
01:30,Montreal Impact,3,2,Toronto FC,Nov 23 2016
03:35,Seattle Sounders FC,2,1,Colorado Rapids,Nov 23 2016
21:00,Colorado Rapids,0,1,Seattle Sounders FC,Nov 27 2016
