Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
14:00,Lecce,2,7,Atalanta,Mac 1 2020
17:00,Cagliari,3,4,Roma,Mac 1 2020
12:45,Parma Calcio 1913,0,1,SPAL 2013,Mac 8 2020
14:00,Sampdoria,2,1,Verona,Mac 8 2020
14:00,AC Milan,1,2,Genoa,Mac 8 2020
17:00,Udinese,0,0,Fiorentina,Mac 8 2020
19:45,Juventus,2,0,Inter,Mac 8 2020
17:30,Sassuolo,3,0,Brescia,Mac 9 2020
14:00,Bologna,2,1,Brescia,Feb 1 2020
17:00,Cagliari,2,2,Parma Calcio 1913,Feb 1 2020
19:45,Sassuolo,4,2,Roma,Feb 1 2020
11:30,Juventus,3,0,Fiorentina,Feb 2 2020
14:00,Lazio,5,1,SPAL 2013,Feb 2 2020
14:00,AC Milan,1,1,Verona,Feb 2 2020
14:00,Atalanta,2,2,Genoa,Feb 2 2020
17:00,Lecce,4,0,Torino,Feb 2 2020
19:45,Udinese,0,2,Inter,Feb 2 2020
19:45,Sampdoria,2,4,Napoli,Feb 3 2020
19:45,Lazio,0,0,Verona,Feb 5 2020
19:45,Roma,2,3,Bologna,Feb 7 2020
14:00,Fiorentina,1,2,Atalanta,Feb 8 2020
17:00,Torino,1,3,Sampdoria,Feb 8 2020
19:45,Verona,2,1,Juventus,Feb 8 2020
11:30,SPAL 2013,1,2,Sassuolo,Feb 9 2020
14:00,Napoli,2,3,Lecce,Feb 9 2020
14:00,Genoa,1,0,Cagliari,Feb 9 2020
14:00,Brescia,1,1,Udinese,Feb 9 2020
17:00,Parma Calcio 1913,0,1,Lazio,Feb 9 2020
19:45,Inter,4,2,AC Milan,Feb 9 2020
14:00,Lecce,2,1,SPAL 2013,Feb 15 2020
17:00,Bologna,0,3,Genoa,Feb 15 2020
19:45,Atalanta,2,1,Roma,Feb 15 2020
11:30,Udinese,0,0,Verona,Feb 16 2020
14:00,Sampdoria,1,5,Fiorentina,Feb 16 2020
14:00,Sassuolo,0,1,Parma Calcio 1913,Feb 16 2020
14:00,Juventus,2,0,Brescia,Feb 16 2020
