Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
00:50,Godoy Cruz,1,3,Union,Mac 1 2020
00:50,Central Cordoba de Santiago,1,1,Banfield,Mac 1 2020
20:35,Aldosivi,1,3,San Lorenzo,Mac 1 2020
22:40,Lanus,1,1,Estudiantes,Mac 1 2020
22:45,Rosario Central,3,1,Arsenal Sarandi,Mac 1 2020
00:50,Velez Sarsfield,2,0,Argentinos Juniors,Mac 2 2020
22:00,Patronato de Parana,3,2,Talleres,Mac 2 2020
00:10,Huracan,1,0,Independiente,Mac 3 2020
22:00,Velez Sarsfield,0,1,Godoy Cruz,Mac 4 2020
22:00,Arsenal Sarandi,4,0,Aldosivi,Mac 6 2020
00:10,Argentinos Juniors,2,1,Rosario Central,Mac 7 2020
21:00,Banfield,0,3,Huracan,Mac 7 2020
21:00,Defensa y Justicia,2,0,Patronato de Parana,Mac 7 2020
00:00,Boca Juniors,1,0,Gimnasia LP,Mac 8 2020
00:00,Atletico Tucuman,1,1,River Plate,Mac 8 2020
20:35,San Lorenzo,4,3,Lanus,Mac 8 2020
22:40,Independiente,3,0,Central Cordoba de Santiago,Mac 8 2020
00:45,Newell's Old Boys,0,2,Godoy Cruz,Mac 9 2020
00:50,Talleres,2,0,Colon,Mac 9 2020
22:00,Union,0,3,Velez Sarsfield,Mac 9 2020
00:10,Estudiantes,1,2,Racing Club,Mac 10 2020
00:10,Huracan,1,1,Gimnasia LP,Feb 1 2020
20:35,Independiente,5,0,Rosario Central,Feb 1 2020
22:40,Estudiantes,3,1,Union,Feb 1 2020
22:40,Atletico Tucuman,1,1,Defensa y Justicia,Feb 1 2020
00:45,Argentinos Juniors,1,1,Racing Club,Feb 2 2020
20:35,River Plate,2,0,Central Cordoba de Santiago,Feb 2 2020
22:40,Colon,0,1,Banfield,Feb 2 2020
22:40,Lanus,2,0,Godoy Cruz,Feb 2 2020
00:45,Talleres,1,2,Boca Juniors,Feb 3 2020
22:00,Patronato de Parana,2,2,Arsenal Sarandi,Feb 3 2020
00:10,Newell's Old Boys,1,0,San Lorenzo,Feb 4 2020
22:00,Aldosivi,0,2,Central Cordoba de Santiago,Feb 7 2020
00:10,Argentinos Juniors,0,0,Lanus,Feb 8 2020
20:35,Gimnasia LP,1,1,Patronato de Parana,Feb 8 2020
20:35,Defensa y Justicia,0,0,Colon,Feb 8 2020
