League,Team,Place,Score,Points,Form,Discipline,Goal per game,Possession,Pass Accuracy,Shots per game,Tackles per game,Dribbles per game,P,W,D,L,GF,GA,GD
Premier League (England) ,Liverpool,1,7.00,82,83.33,28,2.3,59%,83.9%,15.6,14.9,10.3,29,27,1,1,66,21,+45
Premier League (England) ,Manchester City,2,7.01,57,61.11,57,2.4,61.6%,88.9%,19.4,14,12.8,28,18,3,7,68,31,+37
Premier League (England) ,Leicester,3,6.93,53,55.56,33,2,54.4%,82.4%,14,19.6,10.7,29,16,5,8,58,28,+30
Premier League (England) ,Chelsea,4,6.89,48,66.67,53,1.8,57.4%,84.8%,16.6,17.6,13,29,14,6,9,51,39,+12
Premier League (England) ,Manchester United,5,6.79,45,72.22,56,1.5,53.3%,82.4%,14.8,15.8,11.7,29,12,9,8,44,30,+14
Premier League (England) ,Wolverhampton Wanderers,6,6.84,43,66.67,49,1.4,47.6%,78.6%,12.8,17.9,14,29,10,13,6,41,34,+7
Premier League (England) ,Sheffield United,7,6.76,43,72.22,53,1.1,44.9%,74.2%,10.2,16.8,9.6,28,11,10,7,30,25,+5
Premier League (England) ,Tottenham,8,6.78,41,61.11,69,1.6,51.9%,81.1%,12.1,17.8,12.5,29,11,8,10,47,40,+7
Premier League (England) ,Arsenal,9,6.74,40,83.33,69,1.4,54.2%,83.8%,11.1,16.2,11.8,28,9,13,6,40,36,+4
Premier League (England) ,Burnley,10,6.73,39,83.33,58,1.2,43.1%,68.4%,10.4,14.7,6.9,29,11,6,12,34,40,-6
Premier League (England) ,Crystal Palace,11,6.75,39,50.0,50,0.9,46.4%,75.9%,9.9,17.7,11.6,29,10,9,10,26,32,-6
Premier League (England) ,Everton,12,6.68,37,55.56,59,1.3,49.4%,77.4%,13.3,18.3,9.9,29,10,7,12,37,46,-9
Premier League (England) ,Newcastle United,13,6.67,35,50.0,58,0.9,40.8%,74.2%,10.3,16.1,10.7,29,9,8,12,25,41,-16
Premier League (England) ,Southampton,14,6.64,34,33.33,48,1.2,48.1%,71.7%,12.8,19.1,11.2,29,10,4,15,35,52,-17
Premier League (England) ,Brighton,15,6.68,29,44.44,49,1.1,54.2%,81.5%,13,17.7,9.4,29,6,11,12,32,40,-8
Premier League (England) ,West Ham,16,6.71,27,27.78,55,1.2,45.5%,75.9%,10.4,18.9,11,29,7,6,16,35,50,-15
Premier League (England) ,Watford,17,6.63,27,27.78,67,0.9,44.5%,74.1%,11.4,17.8,8.9,29,6,9,14,27,44,-17
Premier League (England) ,Bournemouth,18,6.64,27,44.44,63,1,46.3%,75.9%,10.2,13.1,8.5,29,7,6,16,29,47,-18
Premier League (England) ,Aston Villa,19,6.65,25,27.78,55,1.2,47.1%,77.5%,12.3,15.3,10.1,28,7,4,17,34,56,-22
Premier League (England) ,Norwich,20,6.62,21,27.78,55,0.9,50.5%,80.6%,11.6,16.9,12,29,5,6,18,25,52,-27
Serie A (Italy) ,Juventus,1,6.92,63,66.67,60,1.9,57.1%,87.8%,17.5,14.3,11.2,26,20,3,3,50,24,+26
Serie A (Italy) ,Lazio,2,6.96,62,94.44,71,2.3,50.1%,84.4%,15.8,15,9.8,26,19,5,2,60,23,+37
Serie A (Italy) ,Inter,3,6.86,54,55.56,73,2,51.6%,85%,16.2,14.2,8.5,25,16,6,3,49,24,+25
Serie A (Italy) ,Atalanta,4,6.98,48,77.78,57,2.8,55.7%,83.4%,20.1,16.8,9.1,25,14,6,5,70,34,+36
Serie A (Italy) ,Roma,5,6.82,45,44.44,85,2,52.9%,84.1%,17.3,12.8,12.4,26,13,6,7,51,35,+16
Serie A (Italy) ,Napoli,6,6.75,39,83.33,62,1.6,57.2%,87.6%,18.5,13.6,9.9,26,11,6,9,41,36,+5
Serie A (Italy) ,AC Milan,7,6.73,36,55.56,83,1.1,53.4%,83.7%,15.9,16.1,11.5,26,10,6,10,28,34,-6
Serie A (Italy) ,Verona,8,6.71,35,66.67,71,1.2,49.2%,76.6%,11.6,13.8,8.4,25,9,8,8,29,26,+3
Serie A (Italy) ,Parma Calcio 1913,9,6.72,35,44.44,56,1.3,44.2%,77.6%,12,17.2,7.9,25,10,5,10,32,31,+1
Serie A (Italy) ,Bologna,10,6.64,34,61.11,94,1.5,52.4%,81.2%,14.6,15.6,8.6,26,9,7,10,38,42,-4
Serie A (Italy) ,Sassuolo,11,6.79,32,77.78,72,1.6,55.7%,86.3%,14.5,15,13.3,25,9,5,11,41,39,+2
Serie A (Italy) ,Cagliari,12,6.66,32,33.33,79,1.6,48.2%,80.7%,12,14.8,8.7,25,8,8,9,41,40,+1
Serie A (Italy) ,Fiorentina,13,6.66,30,50.0,74,1.2,47.6%,80.5%,14.5,15.7,11,26,7,9,10,32,36,-4
Serie A (Italy) ,Udinese,14,6.63,28,44.44,60,0.8,46.3%,80.1%,13.1,16.2,10.2,26,7,7,12,21,37,-16
Serie A (Italy) ,Torino,15,6.69,27,0.0,75,1.1,48.5%,78.5%,10.9,15.3,12.7,25,8,3,14,28,45,-17
Serie A (Italy) ,Sampdoria,16,6.58,26,44.44,81,1.1,44.3%,76.7%,14.8,17,8.4,25,7,5,13,28,44,-16
Serie A (Italy) ,Genoa,17,6.58,25,72.22,90,1.2,50.2%,81.3%,12,15.1,9.2,26,6,7,13,31,47,-16
Serie A (Italy) ,Lecce,18,6.56,25,50.0,77,1.3,45.3%,80.1%,13.4,14.2,8,26,6,7,13,34,56,-22
Serie A (Italy) ,SPAL 2013,19,6.54,18,16.67,78,0.8,47.7%,80.3%,13.3,15,9.5,26,5,3,18,20,44,-24
Serie A (Italy) ,Brescia,20,6.50,16,11.11,74,0.8,42.3%,74.3%,10.7,14.2,7.6,26,4,4,18,22,49,-27
LaLiga (Spain) ,Barcelona,1,6.94,58,83.33,72,2.3,62.1%,88.4%,12.7,14.7,14,27,18,4,5,63,31,+32
LaLiga (Spain) ,Real Madrid,2,6.99,56,61.11,62,1.8,56.4%,86.5%,16.1,16,12.5,27,16,8,3,49,19,+30
LaLiga (Spain) ,Sevilla,3,6.79,47,66.67,76,1.4,55.7%,82.2%,13.1,16,11.2,27,13,8,6,39,29,+10
LaLiga (Spain) ,Real Sociedad,4,6.75,46,66.67,53,1.7,54.5%,81%,11.6,14.3,9.6,27,14,4,9,45,33,+12
LaLiga (Spain) ,Getafe,5,6.66,46,61.11,99,1.4,45%,62.1%,10.7,14.5,7.6,27,13,7,7,37,25,+12
LaLiga (Spain) ,Atletico Madrid,6,6.77,45,66.67,67,1.1,48.6%,78.2%,12.1,16.9,9.5,27,11,12,4,31,21,+10
LaLiga (Spain) ,Valencia,7,6.66,42,55.56,69,1.4,48.8%,81.5%,9.2,14,9.3,27,11,9,7,38,39,-1
LaLiga (Spain) ,Villarreal,8,6.76,38,44.44,61,1.6,53%,82.1%,14.1,15.3,12,27,11,5,11,44,38,+6
LaLiga (Spain) ,Granada,9,6.65,38,72.22,79,1.2,45.4%,72.1%,10.3,16.1,7.9,27,11,5,11,33,32,+1
LaLiga (Spain) ,Athletic Bilbao,10,6.72,37,33.33,69,1.1,49.4%,76%,11.1,14.5,8.7,27,9,10,8,29,23,+6
LaLiga (Spain) ,Osasuna,11,6.63,34,33.33,86,1.3,49.1%,71.7%,13.2,15.7,8.5,27,8,10,9,34,38,-4
LaLiga (Spain) ,Real Betis,12,6.65,33,50.0,89,1.4,54.1%,82.7%,12.3,13.4,11.6,27,8,9,10,38,43,-5
LaLiga (Spain) ,Levante,13,6.60,33,44.44,63,1.2,48.3%,76.8%,11.5,13.3,9.5,27,10,3,14,32,40,-8
LaLiga (Spain) ,Deportivo Alaves,14,6.59,32,66.67,88,1.1,44.4%,70.7%,8.7,15.9,6.9,27,8,8,11,29,37,-8
LaLiga (Spain) ,Real Valladolid,15,6.57,29,44.44,59,0.9,47.3%,75%,9.9,14.9,9.3,27,6,11,10,23,33,-10
LaLiga (Spain) ,Eibar,16,6.58,27,27.78,75,1,47.7%,70.6%,11.3,14.8,7.5,27,7,6,14,27,41,-14
LaLiga (Spain) ,Celta Vigo,17,6.61,26,66.67,82,0.8,51.7%,80.6%,9.6,15.1,10.1,27,5,11,11,22,34,-12
LaLiga (Spain) ,Mallorca,18,6.52,25,44.44,65,1,46%,76.2%,10.3,14.9,9.1,27,7,4,16,28,44,-16
LaLiga (Spain) ,Leganes,19,6.55,23,55.56,93,0.8,44.9%,71.5%,11.3,16.5,8.7,27,5,8,14,21,39,-18
LaLiga (Spain) ,Espanyol,20,6.46,20,38.89,80,0.9,47.6%,73.5%,11,17.3,7.5,27,4,8,15,23,46,-23
