Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Lionel Messi,"Barcelona, 32, AM(CR),FW",21(1),1891,19,12,3,-,4.8,82.9,0.3,13,8.61
Neymar,"Paris Saint-Germain, 28, AM(CLR),FW",15,1322,13,6,2,1,4.7,80.6,0.1,8,8.58
Robert Lewandowski,"Bayern Munich, 31, FW",23,2042,25,3,4,-,4.7,71,2.1,5,8.16
Kylian Mbappé,"Paris Saint-Germain, 21, AM(LR),FW",17(3),1516,18,5,-,-,4.4,80.4,0.2,6,8.14
Josip Ilicic,"Atalanta, 32, AM(CLR),FW",19(2),1492,15,5,1,1,3.6,81.4,0.1,7,7.95
Kevin De Bruyne,"Manchester City, 28, M(CLR),FW",25(1),2156,8,16,2,-,2.9,81.7,0.4,7,7.92
Cristiano Ronaldo,"Juventus, 35, M(L),FW",22,1945,21,3,2,-,5.9,84.1,1.3,9,7.90
Jadon Sancho,"Borussia Dortmund, 20, AM(LR)",21(2),1807,14,15,1,-,2,84.4,-,6,7.90
Ángel Di María,"Paris Saint-Germain, 32, M(CLR),FW",23(3),2005,8,14,2,-,2.8,78.5,-,6,7.75
Dimitri Payet,"Marseille, 33, M(CLR)",22,1937,9,4,5,1,2.9,76.6,0.4,8,7.73
Ciro Immobile,"Lazio, 30, FW",25(1),2186,27,7,4,-,3.9,76.8,0.6,8,7.70
Luis Alberto,"Lazio, 27, AM(CL),FW",25,2152,4,12,4,-,2.8,85.4,0.4,8,7.69
Adama Traoré,"Wolverhampton Wanderers, 24, M(LR),FW",22(6),2073,4,7,-,-,1.2,73.6,1.2,6,7.61
Serge Gnabry,"Bayern Munich, 24, AM(CLR),FW",19(4),1619,11,9,-,-,3.3,83.1,0.3,7,7.60
Riyad Mahrez,"Manchester City, 29, AM(CLR)",15(8),1386,7,8,-,-,2.3,89.4,0.4,3,7.59
Timo Werner,"RasenBallsport Leipzig, 24, AM(L),FW",24(1),2052,21,7,3,-,3.8,76.4,0.2,8,7.58
Duván Zapata,"Atalanta, 29, FW",13(2),1064,11,5,1,-,3.5,78.5,1.8,2,7.58
Luis Suárez,"Barcelona, 33, AM(CLR),FW",15(2),1279,11,7,4,-,3.1,74.7,0.5,3,7.56
Filip Kostic,"Eintracht Frankfurt, 27, M(LR),FW",23,2059,4,8,2,-,2.7,63.4,0.7,5,7.55
Thiago,"Bayern Munich, 28, M(C)",19(3),1666,3,-,7,-,0.8,90.8,1.5,1,7.54
Casemiro,"Real Madrid, 28, DMC",25,2220,3,2,9,-,1.4,83.8,3,2,7.54
Alphonso Davies,"Bayern Munich, 19, D(L),M(LR)",17(4),1592,1,4,-,-,0.5,87.3,1.1,-,7.54
Christopher Nkunku,"RasenBallsport Leipzig, 22, M(CLR),FW",15(8),1451,4,12,1,-,1.7,86.3,0.8,4,7.52
Alejandro Gómez,"Atalanta, 32, M(CL),FW",23(1),1905,6,10,2,-,2.9,84.7,0.1,1,7.52
Edin Dzeko,"Roma, 34, FW",23(2),2154,12,4,4,-,3.7,69.9,3.8,2,7.50
Marco Reus,"Borussia Dortmund, 30, M(CLR),FW",18(1),1502,11,5,1,-,2.5,82.5,0.4,2,7.50
Ricardo Pereira,"Leicester, 26, D(LR),M(R)",28,2520,3,2,1,-,0.6,78.9,1.5,2,7.50
Sadio Mané,"Liverpool, 28, AM(CLR),FW",24(2),2085,14,7,2,-,2.3,81,1.2,7,7.50
Domenico Berardi,"Sassuolo, 25, AM(R),FW",19(1),1614,9,5,4,1,4.1,78.1,0.7,3,7.49
Mohamed Salah,"Liverpool, 27, AM(CLR),FW",26,2250,16,6,1,-,3.8,76.1,0.5,5,7.45
Téji Savanier,"Montpellier, 28, DMC",18(1),1532,6,2,5,-,1.6,79,1.2,3,7.45
Romelu Lukaku,"Inter, 26, AM(R),FW",24(1),2143,17,2,2,-,2.9,69.5,2.8,3,7.43
Suat Serdar,"Schalke 04, 22, M(C)",17(1),1475,7,-,2,-,1.8,75.5,1.2,4,7.41
Virgil van Dijk,"Liverpool, 28, D(C)",29,2610,4,1,1,-,0.8,89.2,4.9,4,7.40
Nabil Fekir,"Real Betis, 26, AM(CR),FW",21(1),1822,7,3,5,1,3.3,82.1,0.9,8,7.39
Karim Benzema,"Real Madrid, 32, FW",25(1),2221,14,6,-,-,3.7,85,1.1,7,7.39
Paulo Dybala,"Juventus, 26, AM(CR),FW",17(7),1525,7,4,4,-,3.1,87.9,0.1,1,7.37
Raphael Guerreiro,"Borussia Dortmund, 26, D(L),M(CL)",17(3),1602,5,2,2,-,1.4,88.8,0.4,1,7.36
Wilfred Ndidi,"Leicester, 23, DMC",20(3),1892,2,1,3,-,0.8,84.1,2.6,3,7.36
Achraf Hakimi,"Borussia Dortmund, 21, D(LR),M(R)",22(3),2045,3,10,3,-,1,84.7,0.4,2,7.36
Mikel Merino,"Real Sociedad, 23, M(C)",25(1),2252,3,1,5,-,1.1,77.3,5.3,4,7.36
Wissam Ben Yedder,"Monaco, 29, AM(C),FW",25(1),2173,18,4,2,-,2.5,74.9,0.5,5,7.35
James Maddison,"Leicester, 23, AM(CLR)",27(1),2404,6,3,4,-,2.2,83,0.3,4,7.34
Joshua Kimmich,"Bayern Munich, 25, D(CR),DMC",24,2097,2,4,6,-,0.7,90.1,0.9,-,7.34
Marcus Rashford,"Manchester United, 22, AM(LR),FW",22,1882,14,4,2,-,3.4,76.4,0.6,6,7.34
Idrissa Gueye,"Paris Saint-Germain, 30, M(C)",19(1),1655,1,2,2,-,0.6,92.7,0.9,1,7.33
Thomas Müller,"Bayern Munich, 30, M(CLR),FW",18(7),1558,6,16,3,-,1.5,79.1,0.8,-,7.33
Jack Grealish,"Aston Villa, 24, AM(CL)",26,2334,7,6,7,-,2.1,84.4,0.6,3,7.33
Marcus Thuram,"Borussia M.Gladbach, 22, AM(L),FW",22(3),1801,6,8,3,-,1.8,69,2.6,4,7.33
Sergej Milinkovic-Savic,"Lazio, 25, AM(C)",24(1),2051,4,4,6,-,2,77.9,3.6,5,7.33
Gerard Moreno,"Villarreal, 28, AM(CR),FW",24(1),2063,11,3,4,-,2.8,74.6,1.9,4,7.32
Marco Verratti,"Paris Saint-Germain, 27, DMC",15(5),1482,-,5,6,-,0.1,92.5,0.4,-,7.32
Marcel Sabitzer,"RasenBallsport Leipzig, 26, M(CLR),FW",24(1),2047,8,5,3,-,2.4,75.9,0.8,1,7.32
Richarlison,"Everton, 22, AM(CLR),FW",27,2388,10,3,5,-,2.7,66,2.3,5,7.32
Jeremie Boga,"Sassuolo, 23, AM(CLR),FW",21(3),1876,8,2,-,-,1.9,86.1,0.2,2,7.31
Harry Kane,"Tottenham, 26, AM(C),FW",20,1780,11,2,2,-,2.8,67.2,2.8,3,7.30
Trent Alexander-Arnold,"Liverpool, 21, D(R),M(R)",28(1),2550,2,12,4,-,1.2,75.8,0.5,3,7.30
Marcel Halstenberg,"RasenBallsport Leipzig, 28, D(CL),M(L)",21,1875,3,2,4,-,1.1,83.2,2,1,7.30
Mounir Chouiar,"Dijon, 21, AM(CL)",18(2),1514,4,-,3,1,2,76.2,0.7,4,7.30
Alassane Pléa,"Borussia M.Gladbach, 27, AM(LR),FW",20(2),1724,8,7,-,1,2.8,73.3,1.2,3,7.29
Raúl Jiménez,"Wolverhampton Wanderers, 28, FW",28(1),2465,13,6,3,-,3.4,72.4,2.2,1,7.29
Martin Ødegaard,"Real Sociedad, 21, AM(CR)",22(1),2013,4,5,3,-,1.8,84.7,0.3,3,7.29
Joselu,"Deportivo Alaves, 30, FW",23(3),2059,9,2,5,-,2.3,53.1,8.3,8,7.29
Kai Havertz,"Bayer Leverkusen, 20, M(CR),FW",22,1860,6,5,3,-,1.6,87.1,1.5,2,7.28
Son Heung-Min,"Tottenham, 27, M(CLR),FW",20(1),1750,9,7,-,2,3,85.1,0.3,3,7.28
Thorgan Hazard,"Borussia Dortmund, 27, AM(CLR),FW",19(5),1676,5,10,1,-,1.5,80.8,0.5,2,7.28
Daniel Carvajal,"Real Madrid, 28, D(R)",22,1980,1,5,8,-,0.6,86.5,1.3,3,7.28
Radja Nainggolan,"Cagliari, 31, M(C)",20(1),1746,5,6,5,-,2.8,80.8,0.7,4,7.28
Philippe Coutinho,"Bayern Munich, 27, M(CLR)",15(7),1386,8,6,-,-,2.6,84,0.2,4,7.27
Lucas Ocampos,"Sevilla, 25, M(CLR),FW",22,1917,10,2,6,1,2.5,77.6,0.9,3,7.26
Toni Kroos,"Real Madrid, 30, M(C)",23(1),1880,3,5,1,-,1.8,93.6,0.5,2,7.26
Roberto Firmino,"Liverpool, 28, M(CLR),FW",27(2),2422,8,7,-,-,3,79.7,0.8,2,7.26
John McGinn,"Aston Villa, 25, M(C)",18,1538,3,2,2,-,2.1,82.1,0.6,4,7.26
Jamie Vardy,"Leicester, 33, AM(L),FW",25(1),2224,19,4,2,-,2.3,69.8,1.5,3,7.25
Willian,"Chelsea, 31, AM(CLR)",21(7),1930,5,5,3,-,1.9,83,0.3,3,7.25
Joaquín Correa,"Lazio, 25, AM(CL),FW",17(5),1568,7,1,-,-,2.9,82.6,0.5,1,7.24
Emiliano Buendía,"Norwich, 23, M(R)",22(6),2016,-,7,4,-,1.1,81,0.9,6,7.24
Robin Gosens,"Atalanta, 25, D(L),M(CL)",21(1),1768,7,5,2,-,1.7,78.4,1.4,-,7.24
Sebastian Andersson,"Union Berlin, 28, FW",24(1),2093,11,1,4,-,2.1,59.6,7.8,5,7.24
Santi Cazorla,"Villarreal, 35, M(CLR)",21(3),1830,8,6,3,-,1.6,86.4,0.4,2,7.24
Marcelo Brozovic,"Inter, 27, M(CR)",22(1),1991,3,5,6,-,1.9,89.5,0.8,2,7.24
Saúl Ñíguez,"Atletico Madrid, 25, D(CL),M(CLR)",26,2340,3,-,6,-,1.4,77.9,3.9,4,7.23
Dayot Upamecano,"RasenBallsport Leipzig, 21, D(C)",21,1852,-,-,5,-,0.6,88.8,2,1,7.23
Hassane Kamara,"Reims, 26, D(L),M(L)",18(5),1706,2,-,5,-,1.3,83.8,1.2,7,7.23
Kevin Volland,"Bayer Leverkusen, 27, AM(CLR),FW",21(1),1817,9,7,3,-,3.1,73.1,1.5,4,7.22
Christopher Trimmel,"Union Berlin, 33, D(CR),M(R)",23,2054,-,7,5,-,0.1,70.6,1.3,3,7.22
Sébastien Haller,"West Ham, 25, FW",24(3),2148,7,1,1,-,1.9,64.7,7.6,3,7.21
Lorenzo Pellegrini,"Roma, 23, M(C)",18,1508,1,8,4,1,2.7,81.2,0.9,2,7.21
Manuel Locatelli,"Sassuolo, 22, M(C)",19(1),1583,-,4,8,-,1.2,85.9,0.8,2,7.21
Aaron Wan-Bissaka,"Manchester United, 22, D(R),M(R)",26,2361,-,2,5,-,0.2,79.9,0.7,3,7.21
Jordan Henderson,"Liverpool, 29, M(CLR)",22(3),1891,3,5,1,-,0.6,84.5,1,1,7.20
Sergio Agüero,"Manchester City, 31, AM(CL),FW",17(5),1402,16,3,1,-,3.3,80.7,0.1,2,7.20
Raheem Sterling,"Manchester City, 25, M(CLR),FW",23(1),2025,11,1,5,-,3,81.8,0.8,-,7.19
Nicolas Pépé,"Arsenal, 24, AM(R),FW",17(7),1594,4,6,3,-,1.8,80.7,0.7,4,7.19
Benjamin Pavard,"Bayern Munich, 24, D(CLR)",23,2070,2,3,5,-,0.4,89.7,2.5,1,7.19
Marquinhos,"Paris Saint-Germain, 25, D(CR),DMC",15(4),1474,3,1,1,-,0.6,93.4,1.9,1,7.19
Gabriel Jesus,"Manchester City, 23, AM(LR),FW",13(11),1338,10,4,2,-,2.8,86.5,1.5,2,7.19
Theo Hernández,"AC Milan, 22, D(L)",21(1),1908,5,2,8,-,1.5,82.8,1.7,2,7.18
Serge Aurier,"Tottenham, 27, D(CLR),M(R)",22(2),1915,1,4,1,1,0.5,78.3,1.8,2,7.18
Miguel Veloso,"Verona, 33, M(C)",20(1),1724,2,3,5,-,1,78.8,1.6,4,7.18
Allan Saint-Maximin,"Newcastle United, 23, AM(CLR),FW",15(3),1274,2,1,-,-,1.7,76.6,0.3,-,7.18
Daniel Parejo,"Valencia, 30, M(C)",25,2211,8,3,4,1,1.1,85.9,0.5,6,7.17
Anthony Martial,"Manchester United, 24, AM(LR),FW",22(1),1885,11,3,1,-,2.6,80.5,0.7,2,7.17
Raúl García,"Athletic Bilbao, 33, M(CLR),FW",24(1),2093,9,1,8,-,2.3,55.5,6,2,7.17
Rodrigo Bentancur,"Juventus, 22, M(C)",15(4),1323,-,6,7,-,0.4,90.1,1.3,-,7.17
João Pedro,"Cagliari, 28, AM(C),FW",25,2280,16,2,5,-,2.3,78.5,2.3,2,7.16
Filippo Falco,"Lecce, 28, FW",15(4),1368,3,3,-,-,2,87,0.3,3,7.16
Florian Niederlechner,"Augsburg, 29, AM(CR),FW",25,2174,11,6,1,-,2.6,75.8,1.3,3,7.16
Chimy Avila,"Osasuna, 26, AM(LR),FW",18(2),1593,9,2,6,-,3.5,57.2,3.1,5,7.16
Mauro Icardi,"Paris Saint-Germain, 27, FW",14(6),1268,12,2,-,-,1.8,86.4,0.5,-,7.15
Denis Zakaria,"Borussia M.Gladbach, 23, DMC",22(1),1947,2,2,7,-,1,86.7,0.9,-,7.15
Aleksandar Kolarov,"Roma, 34, D(CL),M(L)",22(1),2017,6,3,6,-,2.3,82.2,1.3,1,7.15
Andy Delort,"Montpellier, 28, AM(R),FW",26,2286,9,3,5,-,3.2,62,3.2,4,7.15
David Silva,"Manchester City, 34, M(CLR)",16(3),1262,3,7,-,-,1.7,87.3,0.2,1,7.15
Sergio Reguilón,"Sevilla, 23, D(L)",22,1873,1,4,7,-,1,80.5,1.2,1,7.14
Victor Osimhen,"Lille, 21, FW",25(2),2289,13,4,4,-,3.2,61.4,4.4,4,7.14
Troy Deeney,"Watford, 31, FW",17(1),1506,6,2,3,-,1.8,52.9,7.6,2,7.14
Wojciech Szczesny,"Juventus, 29, GK",19,1710,-,-,1,-,-,82.4,0.3,2,7.14
Pierre Lees-Melou,"Nice, 26, M(CLR)",25(1),2253,5,6,5,-,2.1,86.1,0.6,1,7.14
Júlio Tavares,"Dijon, 31, AM(LR),FW",22(1),1997,5,2,-,-,2.2,65.2,7.7,2,7.14
Raphinha,"Rennes, 23, AM(LR)",20(2),1695,5,3,4,-,2,71.3,0.7,2,7.13
Zinedine Ferhat,"Nimes, 27, AM(R)",25(1),2249,3,4,1,-,1.7,70.2,2.8,2,7.13
Rafinha,"Celta Vigo, 27, M(CLR)",17(2),1457,2,1,2,-,1.1,86.9,1.2,2,7.13
Renato Sanches,"Lille, 22, M(CR)",16(3),1482,3,1,3,-,1.6,86.7,0.3,5,7.13
Sergio Busquets,"Barcelona, 31, DMC",20(3),1800,2,2,8,-,0.3,89.4,0.9,1,7.13
Francesco Acerbi,"Lazio, 32, D(C)",24,2116,2,2,4,-,0.5,90.2,1.5,1,7.12
Rodrigo,"Manchester City, 23, DMC",22(4),1957,3,1,7,-,0.7,92.2,1.9,1,7.12
Andrew Robertson,"Liverpool, 26, D(L),M(L)",27(1),2445,1,7,1,-,0.6,83.4,0.9,2,7.12
