Date;TeamHomeStr;TeamAwayStr;StartTeamHome;StartTeamAway;SubsTeamHome;SubsTeamAway;Result;Total2.5;Total1.5;League;Time;TeamHome;TeamAway;ManagerHome;ManagerAway;FormationHome;FormationAway;Stadium;Referee;RatingStartTeamHome;RatingSubstitutionHome;RatingStartTeamAway;RatingSubstitutionAway;RatingStartTeamHome3;RatingSubstitutionHome3;RatingStartTeamAway3;RatingSubstitutionAway3;GPP_StartHome;GPP_SubsHome;GPP_StartAway;GPP_SubsAway;GoalsTeamHome;AssistsTeamHome;GoalsTeamAway;AssistsTeamAway;FormTeamHome3;FormTeamAway3;FormTeamHome6;FormTeamAway6;RatingTeamHome;RatingTeamAway;TotalShotsHome;TotalShotsAway;PossessionHome;PossessionAway;PassAccuracyHome;PassAccuracyAway;DribblesHome;DribblesAway;AerialsWonHome;AerialsWonAway;TacklesHome;TacklesAway;CornersHome;CornersAway;DispossessedHome;DispossessedAway;YellowCardHome;YellowCardAway;RedCardHome;RedCardAway;RatingTeamHomeA;RatingTeamAwayA;TotalShotsHomeA;TotalShotsAwayA;PossessionHomeA;PossessionAwayA;PassAccuracyHomeA;PassAccuracyAwayA;DribblesHomeA;DribblesAwayA;AerialsWonHomeA;AerialsWonAwayA;TacklesHomeA;TacklesAwayA;CornersHomeA;CornersAwayA;DispossessedHomeA;DispossessedAwayA;YellowCardHomeA;YellowCardAwayA;RedCardHomeA;RedCardAwayA;RatingTeamHome3;RatingTeamAway3;TotalShotsHome3;TotalShotsAway3;PossessionHome3;PossessionAway3;PassAccuracyHome3;PassAccuracyAway3;DribblesHome3;DribblesAway3;AerialsWonHome3;AerialsWonAway3;TacklesHome3;TacklesAway3;CornersHome3;CornersAway3;DispossessedHome3;DispossessedAway3;YellowCardHome3;YellowCardAway3;RedCardHome3;RedCardAway3;RatingTeamHome3A;RatingTeamAway3A;TotalShotsHome3A;TotalShotsAway3A;PossessionHome3A;PossessionAway3A;PassAccuracyHome3A;PassAccuracyAway3A;DribblesHome3A;DribblesAway3A;AerialsWonHome3A;AerialsWonAway3A;TacklesHome3A;TacklesAway3A;CornersHome3A;CornersAway3A;DispossessedHome3A;DispossessedAway3A;YellowCardHome3A;YellowCardAway3A;RedCardHome3A;RedCardAway3A;PHome;WHome;DHome;LHome;GFHome;GAHome;GDHome;PointsHome;PlaceHome;PAway;WAway;DAway;LAway;GFAway;GAAway;GDAway;PointsAway;PlaceAway;FutureTeamHome;FuturePlaceTeamHome;FutureStatusTeamHome;FutureTeamAway;FuturePlaceTeamAway;FutureStatusTeamAway
10-Mar-20;Eibar;Real Sociedad;Marko Dmitrovic, Rober Correa, Pedro Bigas, Anaitz Arbilla, Cote, Gonzalo Escalante, Sergio Álvarez, Fabián Orellana, Edu Expósito, Takashi Inui, Kike García;Álex Remiro, Joseba Zaldua, Robin Le Normand, Aritz Elustondo, Aihen Muñoz, Igor Zubeldia, Mikel Merino, Adnan Januzaj, Luca Sangalli, Mikel Oyarzabal, Willian José;Quique González, Charles, Esteban Burgos, Pablo De Blasis, Rafa Soares, Yoel Rodríguez, Sebastián Cristóforo;Alexander Isak, Ander Guevara, Portu, Diego Llorente, Miguel Ángel Moyá, Nacho Monreal, Ander Barrenetxea;2;1;1;3;19.0;82;83;215;216;5;5;104;113;5.875;4.892;6.076;5.757;5.594;5.186;6.430;5.438;22.727;15.857;22.545;22.429;21;15;39;22;33.33;66.67;38.89;66.67;6.665;6.619;12.692;9.000;47.769;55.554;70.154;81.000;7.538;9.923;24.538;20.077;14.846;13.077;5.000;3.385;9.769;9.385;34.000;28.000;1.000;0.000;6.587;6.743;11.154;11.769;47.281;56.981;69.615;81.077;7.385;9.692;25.038;20.731;15.000;14.346;4.808;4.923;9.962;9.462;35.000;25.500;1.500;0.500;6.843;6.290;12.000;6.000;48.533;51.467;72.000;79.667;8.333;8.000;22.000;19.667;19.333;15.667;3.000;2.333;4.667;10.667;11.000;7.000;0.000;0.000;6.617;6.662;9.666;10.666;45.350;53.250;70.000;80.000;8.000;8.666;20.000;23.000;18.166;16.834;3.667;4.167;7.833;11.167;7.500;5.500;0.000;0.000;26;7;6;13;26;39;-13;27;16;26;13;4;9;43;32;11;43;6;2;-1;0;2;-1;0
08-Mar-20;Real Betis;Real Madrid;Joel Robles, Emerson, Sidnei, Marc Bartra, Álex Moreno, Joaquín, Andrés Guardado, Edgar González, Sergio Canales, Nabil Fekir, Loren Morón;Thibaut Courtois, Eder Militão, Raphael Varane, Sergio Ramos, Marcelo, Casemiro, Lucas Vázquez, Luka Modric, Toni Kroos, Vinícius Júnior, Karim Benzema;Alfonso Pedraza, Cristian Tello, Guido Rodríguez, Aissa Mandi, Borja Iglesias, Carles Aleñá, Dani Martín;Federico Valverde, Mariano, Ferland Mendy, Rodrygo, James Rodríguez, Alphonse Areola, Gareth Bale;1;1;1;3;20.0;84;85;217;218;13;0;105;114;6.346;5.476;6.430;5.558;6.218;5.562;6.488;4.669;22.000;18.000;22.727;15.714;36;19;41;30;44.44;55.56;33.33;77.78;6.720;6.925;14.231;14.154;54.638;56.454;82.769;85.308;12.462;11.000;15.385;17.462;12.769;16.000;5.077;5.077;9.462;8.692;41.000;31.000;4.000;3.000;6.641;7.008;12.270;16.154;55.427;58.316;82.462;86.269;11.500;12.462;15.654;15.885;13.346;16.038;4.654;5.692;9.692;8.308;38.500;29.500;3.500;2.000;6.753;6.940;13.333;16.000;49.167;59.867;84.000;85.000;12.000;14.333;16.667;16.000;15.667;15.667;4.333;5.000;8.667;9.333;11.000;7.000;1.000;0.000;6.658;6.976;11.833;15.334;57.150;59.067;84.500;86.500;11.000;13.833;15.834;13.334;14.667;17.500;4.833;6.167;9.500;10.000;9.500;6.500;1.000;0.000;26;7;9;10;36;42;-6;30;14;26;16;8;2;48;17;31;56;2;2;-1;0;2;-1;0
08-Mar-20;Villarreal;Leganes;Sergio Asenjo, Rubén Peña, Pau Torres, Raúl Albiol, Alberto Moreno, Santi Cazorla, Vicente Iborra, Manu Trigueros, Gerard Moreno, Paco Alcácer, Moi Gómez;Iván Cuéllar, Roberto Rosales, Dimitrios Siovas, Chidozie Awaziem, Jonathan Silva, Aitor Ruibal, Ibrahim Amadou, Roque Mesa, Kévin Rodrigues, Guido Carrillo, Óscar Rodríguez;Javier Ontiveros, Samuel Chukwueze, André-Frank Zambo Anguissa, Ramiro Funes Mori, Carlos Bacca, Andrés Fernández, Mario Gaspar;Roger Assalé, Unai Bustinza, Kenneth Omeruo, Rubén Pérez, Miguel Ángel Guerrero, Bryan Gil, Juan Soriano;2;1;1;3;17.5;86;87;219;220;2;3;106;115;6.652;5.195;5.762;5.483;6.773;4.624;5.652;6.100;21.091;25.429;19.636;15.286;36;21;10;8;33.33;44.44;61.11;50.0;6.878;6.483;15.000;10.083;56.017;42.017;82.500;70.833;11.500;8.583;16.417;22.333;14.667;16.833;4.750;4.000;7.667;7.583;26.000;47.000;0.000;2.000;6.781;6.525;14.107;11.149;53.498;43.484;81.428;70.238;12.000;8.470;15.959;21.738;15.548;16.595;4.410;4.393;8.155;7.506;29.000;44.500;0.500;1.500;6.733;6.453;14.667;11.000;58.033;51.167;81.000;75.667;9.000;8.000;19.333;24.333;10.333;16.000;4.333;5.667;6.667;4.667;7.000;12.000;0.000;1.000;6.673;6.537;12.000;12.500;59.250;47.817;82.500;70.667;12.334;8.500;17.333;23.166;15.166;14.334;4.000;5.000;8.667;7.333;9.000;12.000;0.500;0.500;26;11;5;10;43;36;7;38;9;26;4;8;14;19;38;-19;20;20;2;-1;0;2;-1;0
08-Mar-20;Levante;Granada;Aitor Fernández, Jorge Miramón, Rúben Vezo, Bruno González, Carlos Clerc, José Campaña, Nikola Vukcevic, Nemanja Radoja, Enis Bardhi, José Luis Morales, Roger Martí;Rui Silva, Domingos Duarte, Germán Sánchez, Jesús Vallejo, Víctor Díaz, Carlos Neva, Yan Eteki, Maxime Gonalons, Carlos Fernández, Roberto Soldado, Fede Vico;Sergio León, Coke, Gonzalo Melero, Óscar Duarte, Toño, Borja Mayoral, Koke Vegas;Darwin Machís, Antonio Puertas, Dimitri Foulquier, Ramón Azeez, José Antonio Martínez, Aarón Escandell, Antoñin;0;0;1;3;15.0;88;89;221;222;3;8;107;116;6.251;4.937;6.169;5.247;6.376;5.005;6.206;5.648;21.545;18.143;19.636;19.286;26;18;25;13;33.33;88.89;33.33;61.11;6.728;6.553;12.583;10.154;48.258;44.492;77.583;71.615;9.417;7.615;14.667;20.385;12.750;17.000;5.000;3.846;7.583;6.769;27.000;42.000;3.000;1.000;6.609;6.651;11.577;10.308;47.514;43.811;76.613;71.385;9.494;7.885;14.048;19.424;13.447;16.346;5.035;4.462;7.899;7.885;31.000;38.500;1.500;1.000;6.850;6.673;12.333;9.333;46.533;43.200;76.333;65.000;9.333;8.667;17.000;24.333;12.333;20.333;4.000;4.000;6.667;9.000;5.000;8.000;0.000;0.000;6.628;6.712;11.666;10.166;46.166;44.834;77.333;68.000;9.833;9.500;14.334;23.333;11.833;18.500;5.167;5.167;6.500;10.166;4.000;8.500;0.000;0.000;26;10;2;14;31;39;-8;32;13;26;11;4;11;32;31;1;37;10;2;-1;0;2;-1;0
08-Mar-20;Real Valladolid;Athletic Bilbao;Jordi Masip, Mohammed Salisu, Joaquín Fernández, Kiko Olivas, Pedro Porro, Nacho, Míchel, Rubén Alcaraz, Sandro Ramírez, Óscar Plano, Enes Ünal;Unai Simón, Íñigo Lekue, Íñigo Martínez, Yeray Álvarez, Yuri, Dani García, Unai López, Iñaki Williams, Oihan Sancet, Iñigo Córdoba, Raúl García;Toni Villa, Pablo Hervías, Hatem Ben Arfa, Raúl García, Javi Moyano, Fede San Emeterio, José Antonio Caro;Mikel Vesga, Iker Muniain, Aritz Aduriz, Mikel Balenziaga, Ibai Gómez, Iago Herrerín, Jon Sillero;2;1;1;3;13.0;90;91;223;224;4;5;108;117;6.184;5.465;6.337;4.810;6.018;5.633;6.133;4.895;23.727;18.286;22.364;15.143;24;10;21;10;33.33;33.33;44.44;27.78;6.670;6.611;9.750;8.385;46.192;46.269;74.167;72.308;9.500;8.154;15.833;26.692;14.500;15.538;4.333;4.846;9.583;8.231;27.000;31.000;0.000;1.000;6.595;6.702;9.518;11.192;45.778;49.453;74.441;75.154;8.965;8.692;16.416;25.923;14.822;14.076;4.167;5.038;8.970;8.538;30.000;33.500;0.000;0.500;6.623;6.600;11.000;10.000;45.500;47.067;74.667;69.333;12.333;12.333;15.000;28.333;16.667;14.667;3.000;5.000;11.333;8.000;5.000;7.000;0.000;1.000;6.610;6.559;10.000;11.334;45.767;53.500;73.834;73.500;9.500;10.666;17.166;29.333;17.000;13.834;3.833;4.833;10.000;7.500;4.500;10.000;0.000;0.500;26;6;11;9;22;29;-7;29;15;26;8;10;8;25;22;3;34;11;2;-1;0;2;-1;0
08-Mar-20;Osasuna;Espanyol;Rubén Martínez, Facundo Roncaglia, Aridane Hernández, David García, Pervis Estupiñán, Roberto Torres, Darko Brasanac, Oier Sanjurjo, Kike Barja, Rubén García, Enric Gallego;Diego López, Javi López, Bernardo Espinosa, Leandro Cabrera, Dídac Vilá, Adrián Embarba, Víctor Sánchez, David López, Sergi Darder, Wu Lei, Raúl de Tomás;Iñigo Pérez, Nacho Vidal, Marc Cardona, Unai García, Juan Pérez, José Arnáiz, Fran Mérida;Víctor Gómez, Óscar Melendo, Jonathan Calleri, Ander Iturraspe, Andrés Prieto, Fernando Calero, Adrià Pedrosa;1;0;0;3;11.0;92;93;225;226;3;3;109;118;5.991;5.187;6.410;5.121;5.824;5.019;6.676;4.786;19.182;16.714;19.727;18.714;21;13;20;7;33.33;44.44;33.33;50.0;6.657;6.455;15.308;10.231;50.908;46.985;72.231;71.308;8.154;8.077;21.077;17.077;16.077;17.538;5.923;4.154;9.077;9.769;40.000;44.000;3.000;4.000;6.614;6.463;13.077;11.154;48.873;47.561;70.923;72.077;8.231;7.538;21.193;20.231;15.770;17.346;5.000;4.346;8.500;9.384;40.500;38.000;3.000;2.500;6.457;6.467;14.333;11.000;54.167;40.900;73.667;65.000;9.000;10.333;18.667;25.000;16.667;20.667;5.000;4.333;11.333;7.667;8.000;12.000;0.000;2.000;6.462;6.582;13.166;10.500;46.300;41.534;69.334;65.166;8.000;9.833;20.000;25.834;15.834;20.000;3.667;3.167;8.666;8.167;8.000;12.000;0.500;1.000;26;7;10;9;33;38;-5;31;13;26;4;8;14;23;45;-22;20;19;2;-1;0;2;-1;0
07-Mar-20;Getafe;Celta Vigo;David Soria, Damián Suárez, Xabier Etxeita, Djené Dakonam, Allan-Roméo Nyom, Oghenekaro Etebo, Nemanja Maksimovic, Mauro Arambarri, Marc Cucurella, Jaime Mata, Jorge Molina;Rubén Blanco, Jeison Murillo, Joseph Aidoo, Néstor Araújo, Hugo Mallo, Lucas Olaza, Filip Bradaric, Okay Yokuslu, Rafinha, Santi Mina, Fedor Smolov;Erick Cabaco, Ángel Rodríguez, Kenedy, Leandro Chichizola, Deyverson, Amath Ndiaye, Jason;Gabriel Fernández, Brais Méndez, Pione Sisto, Pape Cheikh, David Juncà, Sergio Álvarez, Kevin Vázquez;0;0;0;3;20.0;94;95;227;228;3;4;110;119;6.415;5.167;6.368;5.192;6.406;4.633;6.670;4.381;22.364;16.714;18.545;20.571;33;23;11;10;33.33;77.78;66.67;66.67;6.664;6.555;11.231;8.308;46.562;50.162;63.538;80.615;7.923;8.692;23.000;17.154;13.154;16.385;5.538;4.000;8.000;10.308;44.000;37.000;0.000;1.000;6.656;6.609;10.384;9.885;42.846;52.712;61.076;80.308;7.654;10.154;23.307;18.384;14.270;15.000;4.962;4.500;8.038;9.885;47.000;36.500;1.000;2.500;6.593;6.580;13.000;7.333;46.533;47.833;64.667;79.000;10.000;9.667;22.000;16.333;11.667;16.667;7.667;3.667;10.000;12.667;14.000;10.000;0.000;0.000;6.658;6.750;10.666;9.333;39.767;49.550;60.500;77.166;8.166;12.334;23.666;20.833;14.334;15.834;5.500;3.667;10.000;10.834;13.500;8.500;0.000;0.500;26;13;6;7;37;25;12;45;5;26;5;10;11;22;34;-12;25;18;2;-1;0;2;-1;0
07-Mar-20;Barcelona;Real Sociedad;Marc-André ter Stegen, Nélson Semedo, Clément Lenglet, Gerard Piqué, Jordi Alba, Ivan Rakitic, Frenkie de Jong, Sergio Busquets, Antoine Griezmann, Lionel Messi, Martin Braithwaite;Álex Remiro, Andoni Gorosabel, Robin Le Normand, Diego Llorente, Nacho Monreal, Mikel Merino, Ander Guevara, Portu, Martin Ødegaard, Ander Barrenetxea, Alexander Isak;Ansu Fati, Júnior Firpo, Arturo Vidal, Neto, Samuel Umtiti, Riqui Puig, Álex Collado;Igor Zubeldia, Mikel Oyarzabal, Willian José, Adnan Januzaj, Miguel Ángel Moyá, Joseba Zaldua, Aihen Muñoz;1;0;0;3;17.5;96;83;229;216;2;5;111;120;6.699;4.934;6.077;5.865;6.627;5.190;6.145;6.200;23.727;15.571;21.364;22.429;51;34;43;27;66.67;100.0;66.67;66.67;7.163;6.649;15.077;9.000;65.546;56.350;89.077;80.917;14.846;10.333;9.615;20.583;14.615;13.333;5.308;3.333;9.923;8.833;28.000;25.000;2.000;0.000;6.934;6.758;12.731;11.769;65.904;57.379;88.231;81.035;14.000;9.898;11.615;20.984;14.538;14.474;4.654;4.897;9.423;9.186;33.000;24.000;2.500;0.500;7.103;6.447;16.000;7.333;70.567;53.867;87.667;77.667;14.000;9.000;10.333;18.333;13.000;15.000;5.000;2.000;11.000;7.333;5.000;6.000;0.000;0.000;6.820;6.740;13.500;11.333;68.567;54.450;89.167;79.000;14.000;9.166;9.666;22.333;13.834;16.500;4.167;4.000;11.500;9.500;7.500;5.000;0.500;0.000;26;17;4;5;62;31;31;55;2;25;13;4;8;43;31;12;43;6;2;-1;0;82;16;2
07-Mar-20;Atletico;Sevilla;Jan Oblak, Kieran Trippier, Felipe, Stefan Savic, Mario Hermoso, Ángel Correa, Saúl Ñíguez, Marcos Llorente, Koke, João Félix, Álvaro Morata;Tomás Vaclik, Jesús Navas, Diego Carlos, Jules Koundé, Sergio Reguilón, Nemanja Gudelj, Suso, Éver Banega, Joan Jordán, Lucas Ocampos, Luuk de Jong;Vitolo, Diego Costa, Yannick Carrasco, Sime Vrsaljko, Héctor Herrera, Antonio Adán, José Giménez;Sergi Gómez, Youssef En-Nesyri, Franco Vázquez, Yassine Bounou, Sergio Escudero, Nolito, Munir El Haddadi;0;1;1;3;15.0;97;98;230;231;3;0;112;121;6.419;5.656;6.586;5.336;6.333;5.352;6.555;5.600;22.091;15.000;22.364;19.286;27;18;37;22;77.78;88.89;66.67;72.22;6.903;6.787;13.154;10.923;47.154;53.692;78.923;80.000;10.231;11.231;21.923;19.308;15.846;17.615;5.769;4.538;8.231;8.231;28.000;40.000;1.000;1.000;6.783;6.803;11.770;13.154;48.196;58.173;78.154;81.731;9.500;11.462;23.230;20.346;17.116;15.923;5.192;6.115;9.346;9.500;35.000;37.500;1.000;0.500;6.983;6.820;12.333;9.000;48.800;51.033;77.333;75.667;9.333;11.000;27.333;20.333;16.333;18.667;5.000;3.667;11.000;7.333;7.000;7.000;0.000;0.000;6.771;6.806;9.000;11.834;46.733;59.783;75.833;79.667;10.666;11.166;24.166;20.000;17.500;16.000;4.833;5.500;10.000;8.500;8.500;7.000;0.000;0.000;26;11;11;4;29;19;10;44;5;26;13;7;6;37;27;10;46;3;2;-1;0;2;-1;0
07-Mar-20;Eibar;Mallorca;Marko Dmitrovic, Anaitz Arbilla, Paulo Oliveira, Pedro Bigas, Cote, Pedro León, Pape Diop, Sebastián Cristóforo, Fabián Orellana, Charles, Sergi Enrich;Manolo Reina, Alejandro Pozo, Aleksander Sedlar, Martin Valjent, Antonio Raíllo, Lumor Agbenyenu, Iddrisu Baba, Takefusa Kubo, Dani Rodríguez, Ante Budimir, Juan Hernández;Edu Expósito, Gonzalo Escalante, Pablo De Blasis, Rober Correa, Sergio Álvarez, Kike García, Yoel Rodríguez;Ki Sung-Yueng, Lago Junior, Pablo Chavarria, Joan Sastre, Fabri, Marc Pedraza, Aleix Febas;2;1;1;3;12.0;82;99;215;232;3;9;104;122;6.272;5.188;6.241;4.631;6.200;4.814;6.652;3.943;20.182;22.571;20.909;16.857;23;12;23;9;33.33;55.56;55.56;27.78;6.675;6.402;12.667;10.083;46.242;45.992;69.500;76.417;7.500;9.750;23.750;15.333;14.083;15.000;5.083;3.833;10.333;9.167;28.000;26.000;1.000;1.000;6.592;6.507;11.141;10.327;46.517;44.578;69.288;75.852;7.365;9.125;24.644;17.238;14.619;15.143;4.849;4.381;10.244;9.619;32.000;31.000;1.500;1.500;6.997;6.503;10.667;8.667;39.467;40.633;66.333;74.000;7.333;13.000;17.333;18.000;18.000;15.000;3.667;3.667;7.667;10.667;6.000;5.000;0.000;0.000;6.694;6.551;9.000;10.000;40.817;46.067;67.166;72.166;7.500;12.000;17.666;22.834;17.500;15.834;4.000;5.167;9.334;10.667;5.000;6.500;0.000;0.500;25;7;6;12;25;37;-12;27;16;26;6;4;16;26;43;-17;22;18;83;6;1;2;-1;0
