Date,Season,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
03-Jun-20,2019/2020,19:00,Portimonense,1,0,Gil Vicente,Paulo Sérgio,Vítor Manuel Oliveira,4-3-3,4-3-3,6.91,6.41,Estádio Municipal de Portimão,,Hugo Miguel,"Shuichi Gonda, Emmanuel Hackman, Lucas Possignolo, Willyan, Henrique, Dener, Lucas Fernandes, Júnior Tavares, Aylton Boa Morte, Jackson Martínez, Bruno Tabata, Denis","6.9, 7.9, 6.9, 8.5, 7.1, 7.1, 7.1, 6.5, 6.5, 6.7, 7.1, 5.9","Rômulo, Ricardo Vaz Tê, Jadson, Fernando Medeiros, Marlos Moreno, Koki Anzai, Ricardo Ferreira","6.0, 6.3, 6.0, -1, -1, -1, -1","Alex Pinto, Ygor Nogueira, Rúben Fernandes, Henrique Gomes, William Soares, Bozhidar Kraev, Claude Goncalves, Yves Baraye, Sandro Lima, Rubén Ribeiro","7.2, 6.5, 6.4, 6.9, 6.9, 6.4, 5.9, 6.8, 5.9, 6.6","Samuel Lino, Vitor Carvalho, Hugo Vieira, João Afonso, Edwin Banguera, Arthur Henrique, Bruno Diniz","6.2, 6.2, 6.0, -1, -1, -1, -1",6,6,51.8,48.2,79,76,8,5,27,17,7,14,5,5,9,4,Lucas Fernandes,,Henrique,,0,2,0,0
03-Jun-20,2019/2020,21:15,Famalicao,2,1,Porto,João Pedro Sousa,Sérgio Conceição,4-2-3-1,4-4-2,6.65,6.40,Estádio Municipal 22 de Junho,,Nuno Almeida,"Rafael Defendi, Ivo Pinto, Nehuén Pérez, Roderick Miranda, Álex Centelles, Pote, Uros Racic, Diogo Gonçalves, Fábio Martins, Ruben Lameiras, Toni Martínez, Agustín Marchesín","7.5, 7.0, 6.3, 6.1, 6.8, 7.3, 7.3, 6.3, 6.9, 6.3, 6.9, 4.8","Guga, Patrick Willian, Walterson, Lawrence Ofori, Riccieli, Anderson Silva, Gabriel Souza","6.2, 6.2, 6.1, -1, -1, -1, -1","Corona, Chancel Mbemba, Pepe, Wilson Manafá, Otávio, Danilo Pereira, Sérgio Oliveira, Luis Díaz, Tiquinho Soares, Moussa Marega","7.5, 6.3, 5.9, 6.6, 6.3, 6.7, 8.3, 6.3, 6.3, 6.2","Zé Luís, Vincent Aboubakar, Mateus Uribe, Diogo Costa, Diogo Leite, Vitor Ferreira, Fabio Vieira","6.2, 6.0, -1, -1, -1, -1, -1",7,16,38.4,61.6,75,85,7,10,16,14,11,6,1,7,3,7,"Fábio Martins, Pote",Corona,Uros Racic,Sérgio Oliveira,4,1,0,0
04-Jun-20,2019/2020,18:00,Maritimo,1,1,Vitoria de Setubal,José Manuel Gomes,Julio Velázquez,4-2-3-1,4-1-4-1,6.59,6.66,Estádio dos Barreiros,,Manuel Oliveira,"Charles, Bebeto, René, Zainadine Júnior, Rúben Ferreira, Diego Moreno, Franck-Yves Bambock, Jorge Correa, Rodrigo Pinho, Bruno Xadas, Daizen Maeda, Georgi Makaridze","6.1, 6.8, 6.7, 6.9, 6.2, 6.5, 7.2, 8.1, 6.5, 6.9, 6.4, 7.0","Erivaldo, Nanu, Joel, Getterson, Amir Abedzadeh, Fabio China, Dejan Kerkez","5.8, 5.9, 6.3, -1, -1, -1, -1","Silvio, Jubal, Pirri, André Sousa, Leandrinho, Zequinha, Eber Bessa, Carlinhos, Mirko Antonucci, Hélder Guedes","6.7, 6.4, 7.1, 6.5, 6.9, 6.0, 6.7, 6.7, 5.8, 7.5","Hildeberto, Leandro Vilela, Brian Mansilla, Lucas Paes, Nuno Valente, Artur Jorge, Tòfol Montiel","7.5, 6.3, 6.2, -1, -1, -1, -1",20,12,52.7,47.3,83,84,8,11,7,13,18,8,10,1,5,12,Jorge Correa,Hélder Guedes,Franck-Yves Bambock,Hildeberto,3,1,0,0
04-Jun-20,2019/2020,19:15,Benfica,0,0,Tondela,Bruno Lage,Natxo González,4-2-3-1,4-4-2,7.01,6.76,Estádio da Luz,,Manuel Mota,"Odisseas Vlachodimos, André Almeida, Jardel, Rúben Dias, Alejandro Grimaldo, Gabriel Pires, Julian Weigl, Pizzi, Adel Taarabt, Rafa, Carlos Vinicius, Cláudio Ramos","6.4, 6.9, 7.8, 8.0, 7.4, 7.4, 7.0, 7.3, 6.9, 7.0, 6.7, 7.6","Jota, Haris Seferovic, Dyego Sousa, Franco Cervi, Mile Svilar, Tomas Tavares, Ferro","6.1, 6.0, 7.3, -1, -1, -1, -1","Marko Petkovic, Philipe Sampaio, Yohan Tavares, Filipe Ferreira, Jhon Murillo, João Pedro, Pepelu, Ricardo Valente, Rúben Fonseca, Richard Rodrigues","7.8, 6.8, 7.1, 6.8, 6.3, 7.3, 7.2, 6.3, 5.8, 6.9","Pité, António Xavier, Jonathan Toro, Jaquité, Ricardo Alves, Babacar Niasse, Tiago Almeida","6.4, 6.1, 6.3, -1, -1, -1, -1",26,4,64.9,35.1,86,74,11,9,25,10,23,16,14,0,10,13,,,,,1,0,0,0
04-Jun-20,2019/2020,21:15,Vitoria de Guimaraes,2,2,Sporting,Ivo Vieira,Emanuel Ferro,4-2-3-1,3-4-3,6.32,6.88,Estádio D. Afonso Henriques,,Carlos Xistra,"Douglas, Víctor García, Frederico Venâncio, Valerii Bondarenko, Florent Hanin, Joseph Amoah, Pepe, Marcus Edwards, João Teixeira, Davidson, Léo Bonatini, Luís Maximiano","4.5, 6.5, 6.4, 6.3, 6.4, 5.9, 6.7, 7.9, 7.0, 6.1, 6.4, 5.6","Bruno Duarte, Easah Suliman, Lucas Evangelista, Denis Poha, Ola John, Rochinha, Miguel Silva","6.2, 6.0, 6.5, -1, -1, -1, -1","Jeremy Mathieu, Sebastián Coates, Eduardo Quaresma, Rafael Camacho, Marcos Acuña, Rodrigo Battaglia, Matheus, Jovane Cabral, Andraz Sporar, Luciano Vietto","6.7, 7.2, 7.5, 7.3, 6.4, 6.7, 6.4, 8.2, 8.6, 6.7","Gonzalo Plata, Idrissa Doumbia, Renan Ribeiro, Mattheus, Cristian Borja, Luís Neto, Pedro Mendes","6.2, 5.9, -1, -1, -1, -1, -1",13,17,41.7,58.3,77,86,11,15,10,21,14,18,7,3,8,8,"João Teixeira, Marcus Edwards","Andraz Sporar, Andraz Sporar",Joseph Amoah,Jovane Cabral,4,2,1,0
05-Jun-20,2019/2020,19:00,Santa Clara,3,2,Braga,João Henriques,Micael Sequeira,4-2-3-1,3-4-3,6.65,6.31,Cidade do Futebol,,Artur Manuel Soares Dias,"Marco, Pierre Sagna, Fábio Cardoso, João Afonso, Mamadu Cande, Anderson Carvalho, Chico Ramos, Carlos Junior, Lincoln, Zaidu Sanusi, Thiago Santana, Matheus","6.1, 6.2, 6.8, 6.2, 6.0, 6.3, 6.2, 7.0, 8.4, 6.9, 8.3, 6.4","Diogo Salomão, Rashid, Crysan, César Martins, André Ferreira, Costinha, Zé Manuel","6.0, 6.4, 6.3, -1, -1, -1, -1","Raúl Silva, Bruno Viana, David Carmo, Ricardo Esgaio, Nuno Sequeira, Fransergio, João Palhinha, Trincão, Paulinho, Ricardo Horta","4.6, 5.7, 6.3, 6.6, 7.1, 6.7, 6.5, 7.5, 6.5, 6.3","Wenderson Galeno, Rui Fonte, Wilson Eduardo, Rolando, Eduardo, André Horta, João Novais","6.4, 5.9, 5.9, -1, -1, -1, -1",15,11,43.8,56.2,75,79,3,8,21,15,10,11,2,4,6,3,"Thiago Santana, Thiago Santana, Carlos Junior","Fransergio, Trincão","Zaidu Sanusi, Lincoln",Nuno Sequeira,5,2,0,1
05-Jun-20,2019/2020,21:15,Aves,0,2,Belenenses SAD,Nuno Manta,Armando Teixeira,4-2-3-1,3-4-3,6.28,7.09,Estádio do Clube Desportivo das Aves,,João Pinheiro,"Fábio, Mato Milos, Jonathan Buatu, Oumar Diakhité, Ricardo Mangas, Estrela, Afonso Figueiredo, Kevin Yamga, Rubén Oliveira, Pedro Delgado, Mehrdad Mohammadi, Kouakou Koffi","5.5, 6.0, 7.2, 7.2, 7.0, 5.9, 5.8, 6.2, 6.4, 5.9, 5.9, 7.0","Zidane Banjaqui, Marius Mouandilmadji, Jose Varela, Jaílson, Falcão, Aaron Tshibola, Aflalo","6.4, 6.4, 6.3, -1, -1, -1, -1","Nuno Coelho, Gonçalo Silva, Thibang Phete, Tiago Esgaio, Nilton, André Santos, Show, Marco Matias, Mateo Cassierra, Silvestre Varela","6.7, 7.4, 8.0, 7.1, 8.4, 7.1, 6.7, 6.5, 7.3, 8.8","Edi Semedo, Licá, Dieguinho, Chahreddine Boukholda, Rúben Lima, André Moreira, Danny Henriques","6.0, 6.2, 6.2, -1, -1, -1, -1",10,11,48.6,51.4,74,76,6,16,28,15,16,18,5,4,9,11,,"Fábio, Silvestre Varela",,André Santos,5,2,0,0
06-Jun-20,2019/2020,21:15,Boavista,0,1,Moreirense,Daniel Ramos,Ricardo Soares,3-4-2-1,4-1-4-1,6.41,7.08,Estádio do Bessa XXI,,Vitor Ferreira,"Helton Leite, Fabiano, Neris, Ricardo Costa, Carraça, Heriberto Tavares, Yaw Ackah, Paulinho, Gustavo Sauer, Bueno, Cassiano, Mateus Pasinato","6.2, 5.3, 6.5, 6.1, 7.0, 6.8, 6.2, 7.3, 7.0, 6.8, 6.4, 9.2","Fernando Cardozo, Yusupha Om Njie, Marlon, Mateus, Bracali, Gustavo Dulanto, Idris","6.2, 5.9, 6.0, -1, -1, -1, -1","João Aurélio, Iago Santos, Lazar Rosic, Anthony D'Alberto, Fábio Pacheco, Bilel Aouacheria, Alex Soares, Filipe Soares, Gabrielzinho, Fábio Abreu","7.7, 7.7, 6.8, 7.1, 7.2, 6.5, 6.6, 8.3, 6.3, 7.3","Pedro Nuno, Sori Mané, Rafik Halliche, Nenê, Pedro Trigueira, Luther Singh, Nuno Santos","5.9, 5.5, -1, -1, -1, -1, -1",26,5,57.6,42.4,83,77,12,11,10,20,14,22,7,2,14,11,,Filipe Soares,,,4,6,1,0
07-Jun-20,2019/2020,21:00,Rio Ave,2,3,Pacos de Ferreira,Carlos Carvalhal,Pedro Miguel Marques da Costa,4-4-2,4-3-3,6.55,6.72,Estádio do Rio Ave,,Tiago Martins,"Pawel Kieszek, Diogo Figueiras, Aderllan Santos, Nélson Monte, Matheus Reis, Diego Lopes, Al Musrati, Tarantini, Nuno Santos, Lucas Piazon, Mehdi Taremi, Ricardo Ribeiro","5.5, 6.3, 6.4, 6.4, 5.0, 7.5, 6.6, 7.2, 7.3, 6.1, 6.8, 6.6","Bruno Moreira, Carlos Mané, Gelson Dala, Paulo Vítor, Messias, Filipe Augusto, Junio","6.1, 7.2, 7.5, -1, -1, -1, -1","Jorge Silva, Marcelo, Marco Baixinho, Bruno Teles, Luiz Carlos, Pedrinho, Stephen Eustáquio, João Amaral, Douglas Tanque, Hélder Ferreira","6.2, 7.7, 6.9, 5.5, 6.4, 6.5, 6.1, 7.6, 7.5, 6.5","Vasco Rocha, Bruno dos Santos, Denilson, Marco Sousa, Maracás, Mohamed Diaby, Uilton","6.3, 8.2, 6.2, -1, -1, -1, -1",23,9,73.2,26.8,86,61,17,4,23,24,12,13,8,7,6,8,"Diego Lopes, Gelson Dala","João Amaral, Douglas Tanque, Bruno dos Santos",,"Marcelo, Hélder Ferreira",4,5,1,1
09-Jun-20,2019/2020,21:00,Gil Vicente,1,3,Famalicao,Vítor Manuel Oliveira,João Pedro Sousa,4-3-3,4-2-3-1,6.24,6.71,Estádio Cidade de Barcelos,,Hélder Malheiro,"Denis, Alex Pinto, Edwin Banguera, Rúben Fernandes, Henrique Gomes, William Soares, João Afonso, Bozhidar Kraev, Lourency, Sandro Lima, Arthur Henrique, Vaná Alves","5.8, 6.6, 5.6, 6.3, 7.1, 6.3, 6.0, 6.0, 6.2, 5.9, 6.5, 6.8","Vitor Carvalho, Samuel Lino, Zakaria Naidji, Yves Baraye, Hugo Vieira, Ygor Nogueira, Ahmed Isaiah, Bruno Diniz","6.2, 6.5, 5.8, 6.0, 7.0, -1, -1, -1","Ivo Pinto, Roderick Miranda, Riccieli, Patrick Willian, Pote, Uros Racic, Diogo Gonçalves, Fábio Martins, Ruben Lameiras, Toni Martínez","6.3, 6.5, 6.3, 7.1, 6.4, 6.9, 8.1, 7.1, 6.6, 7.4","Guga, Racine Coly, Walterson, Lawrence Ofori, Ruben Del Campo, Ibrahim Cisse, Gabriel Souza, João Neto, Anderson Silva","6.2, 6.0, 6.2, -1, -1, -1, -1, -1, -1",6,7,56.6,43.4,82,71,5,4,11,10,17,16,4,3,13,9,Hugo Vieira,"Fábio Martins, Diogo Gonçalves, Edwin Banguera",Henrique Gomes,Toni Martínez,2,3,0,0
