Date,Season,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
01-Mar-20,2019/2020,14:00,Nantes,0,1,Lille,Christian Gourcuff,Christophe Galtier,4-4-2,4-4-2,6.36,7.02,La Beaujoire-Louis-Fonteneau,,Willy Delajod,"Alban Lafont, Dennis Appiah, Andrei Girotto, Nicolas Pallois, Charles Traoré, Anthony Limbombe, Mehdi Abeid, Imran Louza, Abdoul Kader Bamba, Ludovic Blas, Moses Simon, Mike Maignan","7.0, 6.1, 6.3, 6.7, 7.1, 6.1, 6.3, 6.4, 7.1, 6.2, 5.9, 6.7","Cristian Benavente Bristol, Kalifa Coulibaly, Abdoulaye Touré, Alexandre Olliero, Samuel Moutoussamy, Molla Wagué, Rene Krhin","5.9, 6.0, 6.0, -1, -1, -1, -1","Mehmet Zeki Çelik, José Fonte, Gabriel, Domagoj Bradaric, Jonathan Ikoné, Benjamin André, Renato Sanches, Jonathan Bamba, Loïc Rémy, Victor Osimhen","7.0, 7.4, 7.3, 6.9, 7.9, 8.1, 8.2, 7.2, 6.3, 7.2","Xeka, Luiz Araújo, Nicolás Gaitán, Léo Jardim, Boubakary Soumaré, Reinildo, Tiago Djaló","5.9, 6.4, 6.0, -1, -1, -1, -1",6,15,51.3,48.7,71,72,7,14,18,29,10,14,3,12,6,5,,Benjamin André,,Renato Sanches,4,3,0,0
01-Mar-20,2019/2020,16:05,Bordeaux,1,1,Nice,Paulo Sousa,Patrick Vieira,4-2-3-1,3-4-3,6.64,6.82,Matmut Atlantique,,Benoît Millot,"Benoit Costil, Enock Kwateng, Pablo, Laurent Koscielny, Youssouf Sabaly, Otávio, Toma Basic, Hwang Ui-Jo, Rubén Pardo, Samuel Kalu, Nicolas de Preville, Walter Benítez","6.4, 6.9, 6.3, 6.2, 6.6, 6.9, 7.4, 6.2, 6.2, 7.6, 7.7, 6.8","Vukasin Jovanovic, Josh Maja, Remi Oudin, Gaetan Poussin, Yacine Adli, François Kamano, Youssef Aït Bennasser","6.8, 5.8, 6.1, -1, -1, -1, -1","Dante, Danilo, Malang Sarr, Moussa Wague, Riza Durmisi, Pierre Lees-Melou, Kephren Thuram, Adam Ounas, Kasper Dolberg, Alexis Claude Maurice","6.8, 7.3, 6.7, 7.5, 6.2, 7.1, 6.5, 8.4, 6.1, 7.7","Arnaud Lusamba, Stanley N'Soki, Ignatius Ganago, Patrick Burner, Myziane Maolida, Yannis Clementia, Alexis Trouillet","6.4, 6.0, 6.1, -1, -1, -1, -1",12,9,41.2,58.8,83,87,12,18,6,12,16,22,10,3,14,8,Nicolas de Preville,Adam Ounas,Toma Basic,Moussa Wague,4,3,0,0
01-Mar-20,2019/2020,20:00,Lyon,2,0,Saint-Etienne,Rudi Garcia,Claude Puel,4-3-3,4-4-2,7.22,6.38,Groupama Stadium,,Frank Schneider,"Anthony Lopes, Léo Dubois, Jason Denayer, Marcelo, Marçal, Bruno Guimarães, Lucas Tousart, Houssem Aouar, Bertrand Traoré, Moussa Dembele, Martin Terrier, Jessy Moulin","7.9, 6.9, 7.6, 7.5, 7.8, 7.2, 7.1, 6.5, 7.2, 7.9, 7.7, 7.7","Karl Toko Ekambi, Rafael, Jean Lucas, Joachim Andersen, Maxence Caqueret, Ciprian Tatarusanu, Rayan Cherki","6.4, 6.2, -1, -1, -1, -1, -1","Mathieu Debuchy, William Saliba, Wesley Fofana, Timothée Kolodziejczak, Franck Honorat, Yohan Cabaye, Yann M'Vila, Miguel Trauco, Lois Diony, Denis Bouanga","6.7, 6.6, 7.0, 5.5, 6.1, 6.4, 6.5, 6.0, 6.1, 6.8","Charles Abi, Ryad Boudebouz, Gabriel Silva, Stefan Bajic, Assane Dioussé, Yvann Maçon, Lucas Gourna Douath","5.8, 6.0, -1, -1, -1, -1, -1",16,8,66.1,33.9,85,70,8,4,28,23,15,16,5,4,10,9,"Moussa Dembele, Moussa Dembele",,Martin Terrier,,4,4,0,0
06-Mar-20,2019/2020,21:00,Marseille,2,2,Amiens,André Villas-Boas,Luka Elsner,4-2-3-1,4-2-3-1,6.90,6.60,Stade Vélodrome,,François Letexier,"Steve Mandanda, Bouna Sarr, Boubacar Kamara, Álvaro González, Jordan Amavi, Valentin Rongier, Kevin Strootman, Valère Germain, Morgan Sanson, Dimitri Payet, Darío Benedetto, Régis Gurtner","5.8, 7.6, 6.6, 6.2, 6.3, 7.2, 7.8, 7.3, 8.3, 8.6, 6.6, 5.1","Hiroki Sakai, Florian Thauvin, Maxime Lopez, Lucas Perrin, Marley Aké, Yohann Pelé, Saif-Eddine Khaoui","5.9, 6.1, 6.2, -1, -1, -1, -1","Arturo Calabresi, Aurélien Chedjou, Nicholas Opoku, Haitam Aleesami, Thomas Monconduit, Bongani Zungu, Fousseni Diabaté, Gaël Kakuta, Isaac Mbenza, Serhou Guirassy","6.8, 7.1, 6.2, 7.1, 6.0, 6.8, 6.4, 6.7, 6.0, 7.9","Saman Ghoddos, Alexis Blin, Chadrac Akolo, Juan Ferney Otero, Christophe Jallet, Matthieu Dreyer, Moussa Konaté","7.5, 6.4, 6.3, -1, -1, -1, -1",13,12,55.5,44.5,82,78,17,13,17,22,23,10,4,4,5,14,"Morgan Sanson, Dimitri Payet","Serhou Guirassy, Saman Ghoddos","Kevin Strootman, Morgan Sanson",Arturo Calabresi,4,2,1,0
07-Mar-20,2019/2020,19:00,Metz,2,1,Nimes,Vincent Hognon,Bernard Blaquart,4-3-3,4-2-2-2,7.11,6.58,Stade Saint-Symphorien,,Ruddy Buquet,"Alexandre Oukidja, Fabien Centonze, John Boye, Dylan Bronn, Matthieu Udol, Vincent Pajot, Kevin N'Doram, Habib Maïga, Farid Boulaya, Ibrahima Niane, Opa Nguette, Paul Bernardoni","7.2, 8.1, 7.7, 7.1, 7.3, 6.9, 7.3, 8.0, 7.1, 6.9, 7.4, 6.5","Victorien Angban, Adama Traoré, Thierry Ambrose, Thomas Delaine, Paul Delecroix, Mamadou Fofana, Papa Ndiaga Yade","6.1, 6.1, 6.4, -1, -1, -1, -1","Gaetan Paquiez, Pablo Martinez, Loïck Landre, Renaud Ripart, Lucas Deaux, Sidy Sarr, Zinedine Ferhat, Yassine Benrahou, Nolan Roux, Moussa Koné","6.2, 6.6, 6.3, 6.3, 7.6, 7.5, 6.6, 7.1, 6.9, 6.3","Kévin Denkey, Romain Philippoteaux, Theo Valls, Florian Miguel, Sofiane Alakouch, Lamine Fomba, Lucas Lionel Dias","6.0, 5.9, 6.2, -1, -1, -1, -1",14,16,56.6,43.4,76,70,15,6,26,31,17,22,8,6,10,8,"Opa Nguette, John Boye",Lucas Deaux,"Fabien Centonze, Habib Maïga",Yassine Benrahou,0,0,0,0
07-Mar-20,2019/2020,19:00,Reims,1,0,Brest,David Guion,Olivier Dall'Oglio,4-2-3-1,4-5-1,6.88,6.43,Stade Auguste-Delaune,,Karim Abed,"Predrag Rajkovic, Thomas Foket, Dario Maresic, Yunis Abdelhamid, Ghislain Konan, Moreto Cassamã, Jacques-Alaixys Romao, Moussa Doumbia, Tristan Dingome, Hassane Kamara, El Bilal Touré, Gautier Larsonneur","8.8, 7.2, 6.9, 7.2, 5.3, 7.8, 6.4, 7.0, 6.8, 6.6, 7.9, 6.5","Marshall Munetsi, Dereck Kutesa, Timothee Nkada, Nathanael Mbuku, Sambou Sissoko, Nicolas Lemaitre, Arbër Zeneli","6.4, 6.1, 6.0, -1, -1, -1, -1","Gaëtan Belaud, Brendan Chardonnet, Jean-Kevin Duverne, Romain Perraud, Yoann Court, Haris Belkebla, Cristian Battocchio, Ibrahima Diallo, Samuel Grandsir, Alexandre Mendy","6.8, 6.9, 6.7, 6.7, 6.4, 6.6, 6.7, 5.8, 7.2, 5.8","Gaëtan Charbonnier, Irvin Cardona, Hugo Magnetti, Jean-Charles Castelletto, Ludovic Baal, Paul Lasne, Donovan Léon","6.0, 6.0, 6.2, -1, -1, -1, -1",12,12,48.3,51.7,84,86,5,10,16,15,13,15,5,5,11,9,El Bilal Touré,,Moussa Doumbia,,3,2,1,0
07-Mar-20,2019/2020,19:00,Nice,2,1,Monaco,Patrick Vieira,Robert Moreno,3-5-2,4-3-1-2,6.88,6.72,Allianz Riviera,,Amaury Delerue,"Walter Benítez, Dante, Danilo, Malang Sarr, Moussa Wague, Riza Durmisi, Pierre Lees-Melou, Arnaud Lusamba, Alexis Claude Maurice, Adam Ounas, Kasper Dolberg, Benjamin Lecomte","6.9, 7.1, 6.8, 6.8, 7.2, 6.0, 7.5, 6.2, 7.4, 7.6, 8.0, 6.6","Myziane Maolida, Christophe Herelle, Ignatius Ganago, Patrick Burner, Yannis Clementia, Stanley N'Soki, Kephren Thuram","6.2, 6.6, 6.1, -1, -1, -1, -1","Ruben Aguilar, Guillermo Maripán, Kamil Glik, Fode Ballo-Toure, Tiemoué Bakayoko, Youssouf Fofana, Aleksandr Golovin, Cesc Fàbregas, Wissam Ben Yedder, Stevan Jovetic","6.3, 6.4, 6.6, 7.2, 7.6, 6.9, 7.5, 6.4, 7.6, 5.7","Islam Slimani, Danijel Subasic, Aurelien Tchouameni, Benoit Badiashile Mukinayi, Benjamin Henrichs, Adrien Silva, Keita","6.0, -1, -1, -1, -1, -1, -1",12,14,50.8,49.2,87,85,15,14,6,11,17,20,6,3,15,10,"Kasper Dolberg, Kasper Dolberg",Wissam Ben Yedder,Adam Ounas,Tiemoué Bakayoko,1,4,0,1
07-Mar-20,2019/2020,19:00,Dijon,2,1,Toulouse,Stéphane Jobard,Denis Zanko,4-4-2,4-1-4-1,6.93,6.45,Stade Gaston-Gérard,,Jerome Brisard,"Rúnar Alex Rúnarsson, Fouad Chafik, Bruno Ecuele Manga, Nayef Aguerd, Hamza Mendyl, Mama Baldé, Wesley Lautoa, Didier Ndong, Frédéric Sammaritano, Júlio Tavares, Stephy Mavididi, Baptiste Reynet","6.1, 7.2, 7.4, 8.2, 7.2, 7.2, 7.7, 6.7, 7.3, 7.4, 6.1, 5.8","Jhonder Cádiz, Romain Amalfitano, Florent Balmont, Jordan Marié, Senou Coulibaly, Bryan Soumaré, Ewan Hatfout","6.2, 6.6, 6.0, -1, -1, -1, -1","Bafode Diakite, Ruben Gabrielsen, Agustín Rogel, Issiaga Sylla, Kouadio Kone, Wesley Said, Jean-Victor Makengo, Quentin Boisgard, Max-Alain Gradel, Efthymios Koulouris","6.8, 7.1, 6.3, 6.9, 6.9, 6.6, 6.1, 7.2, 5.6, 6.6","Amine Adli, Yaya Sanogo, Aaron Leya Iseka, Nicolas Isimat-Mirin, Mathieu Goncalves, Adil Taoui, Mauro Goicoechea","5.9, 6.1, 6.3, -1, -1, -1, -1",14,6,56.2,43.8,81,73,13,11,29,14,20,18,5,1,15,9,"Hamza Mendyl, Nayef Aguerd",Quentin Boisgard,Frédéric Sammaritano,Efthymios Koulouris,2,2,0,0
07-Mar-20,2019/2020,19:00,Angers,2,0,Nantes,Stéphane Moulin,Christian Gourcuff,4-1-4-1,4-2-3-1,7.12,6.39,Stade Raymond-Kopa,,Stéphanie Frappart,"Ludovic Butelle, Abdoulaye Bamba, Romain Thomas, Ismael Traoré, Souleyman Doumbia, Baptiste Santamaría, Sada Thioub, Zinédine Ould Khaled, Angelo Fulgini, Antonin Bobichon, Stéphane Bahoken, Alban Lafont","7.5, 7.1, 7.9, 7.0, 7.1, 8.4, 6.8, 7.2, 7.6, 8.3, 6.6, 5.8","Rachid Alioui, Thomas Mangani, Farid El Melali, Mateo Pavlovic, Théo Pellenard, Wilfried Kanga, Danijel Petkovic","5.9, 6.1, 6.2, -1, -1, -1, -1","Dennis Appiah, Andrei Girotto, Nicolas Pallois, Charles Traoré, Mehdi Abeid, Abdoulaye Touré, Ludovic Blas, Imran Louza, Abdoul Kader Bamba, Moses Simon","6.3, 6.9, 6.8, 6.8, 6.2, 6.6, 7.2, 6.2, 6.0, 6.3","Kalifa Coulibaly, Renaud Emond, Anthony Limbombe, Samuel Moutoussamy, Molla Wagué, Denis Petric, Rene Krhin","6.2, 6.1, 6.2, -1, -1, -1, -1",8,15,45.1,54.9,80,84,14,6,8,26,23,19,4,6,15,12,"Antonin Bobichon, Romain Thomas",,"Sada Thioub, Antonin Bobichon",,0,3,0,0
08-Mar-20,2019/2020,14:00,Saint-Etienne,1,1,Bordeaux,Claude Puel,Paulo Sousa,4-3-3,4-2-3-1,6.49,6.59,Stade Geoffroy-Guichard,,Thomas Leonard,"Jessy Moulin, Mathieu Debuchy, William Saliba, Wesley Fofana, Timothée Kolodziejczak, Yann M'Vila, Mahdi Camara, Jean Eudes Aholou, Ryad Boudebouz, Lois Diony, Denis Bouanga, Benoit Costil","6.2, 6.8, 6.8, 6.1, 5.8, 6.5, 5.3, 6.8, 7.8, 6.3, 7.3, 6.9","Assane Dioussé, Charles Abi, Arnaud Nordin, Franck Honorat, Stefan Bajic, Miguel Trauco, Yvann Maçon","6.3, 6.7, 6.3, -1, -1, -1, -1","Youssouf Sabaly, Laurent Koscielny, Mexer, Loris Benito, Otávio, Youssef Aït Bennasser, Remi Oudin, Yacine Adli, Samuel Kalu, Josh Maja","7.0, 6.3, 6.6, 7.0, 6.4, 6.5, 6.7, 6.6, 6.5, 7.3","Hwang Ui-Jo, Rubén Pardo, François Kamano, Enock Kwateng, Maxime Poundjé, Gaetan Poussin, Vukasin Jovanovic","6.1, 6.1, 6.2, -1, -1, -1, -1",11,8,52.1,47.9,80,77,9,10,22,17,12,20,7,4,14,7,Denis Bouanga,Josh Maja,Ryad Boudebouz,,4,3,1,0
