Date,Season,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
16-Mar-20,2019/2020,16:30,FC Tambov,3,0,Krylya Sovetov Samara,Sergey Pervushin,Miodrag Bozovic,3-4-2-1,4-2-3-1,7.30,6.27,Nizhny Novgorod Stadium,,Sergey Karasev,"Giorgi Shelia, Ade, Aleksey Gritsaenko, Aleksandr Filin, Anton Kilin, Evgeni Shlyakov, Valeriu Ciuperca, Guram Tetrashvili, George Melkadze, Mikhail Kostyukov, Vladimir Obukhov, Evgeni Frolov","7.6, 6.6, 7.1, 7.5, 8.0, 7.4, 7.3, 7.6, 8.7, 6.9, 7.7, 6.4","Artem Fedchuk, Igor Urganov, Khasan Mamtov, Miguel Cardoso, Soslan Takazov, Khetag Khosonov, Pavel Karasev, Nikita Chagrov","7.0, 6.6, 6.2, -1, -1, -1, -1, -1","Alexander Anyukov, Nikita Chernov, Maxim Karpov, Mehdi Zeffane, Paul-Viorel Anton, Artem Timofeev, Maksim Glushenkov, Denis Popovic, Dmitri Kabutov, Dejan Radonjic","5.8, 5.3, 7.2, 6.4, 6.5, 6.1, 5.8, 6.4, 6.4, 6.2","Safaa Hadi, Egor Golenkov, Dmitri Kombarov, Alexandru Gatcan, Sergei Ryzhikov, Taras Burlak, Nikita Chicherin, Anton Terekhov, Vladimir Poluyakhtov, Srdjan Mijailovic, Sergey Ivanov, Bogdan Ovsyannikov","6.2, 6.3, 6.7, -1, -1, -1, -1, -1, -1, -1, -1, -1",15,19,27.6,72.4,61,84,7,7,16,25,21,14,1,7,8,9,"George Melkadze, Vladimir Obukhov, Anton Kilin",,Giorgi Shelia,,2,4,0,0
15-Mar-20,2019/2020,16:00,FC Rostov,1,3,Lokomotiv Moscow,Valeri Karpin,Yuri Semin,4-3-3,4-2-3-1,6.50,7.16,Rostov Arena,,Mikhail Vilkov,"Sergey Pesjakov, Aleksey Kozlov, Maksim Osipenko, Dennis Hadzikadunic, Evgeni Chernov, Ivelin Popov, Roman Eremenko, Mathias Normann, Baktiyor Zainutdinov, Eldor Shomurodov, Khoren Bayramyan, Guilherme","5.0, 6.2, 7.0, 5.9, 6.1, 8.0, 6.6, 6.8, 7.2, 6.4, 7.2, 7.3","Aleksandr Dolgov, Aleksandr Saplinov, Pavel Mamaev, Danila Vedernikov, Aleksey Ionov, Arseni Logashov, Maksim Rudakov, Denis Popov, Danila Proshlyakov","6.0, 6.2, -1, -1, -1, -1, -1, -1, -1","Vladislav Ignatjev, Solomon Kvirkvelia, Benedikt Höwedes, Maciej Rybus, Grzegorz Krychowiak, Dimitri Barinov, Rifat Zhemaletdinov, Aleksey Miranchuk, João Mário, Éder","7.3, 7.1, 7.1, 7.0, 8.5, 7.1, 8.2, 7.9, 6.6, 6.6","Stanislav Magkeev, Brian Idowu, Murilo Cerqueira, Anton Kochenkov, Dmitry Zhivoglyadov, Nikita Medvedev, Aleksandr Kolomeytsev, Roman Tugarev, Daniil Kulikov, Dmitri Rybchinsky, Timur Suleymanov","6.2, 6.2, -1, -1, -1, -1, -1, -1, -1, -1, -1",21,10,54.2,45.8,70,68,8,8,33,28,18,17,11,0,10,12,Ivelin Popov,"Sergey Pesjakov, Rifat Zhemaletdinov, Grzegorz Krychowiak",,,2,1,0,0
15-Mar-20,2019/2020,13:30,CSKA Moscow,0,0,FC Ufa,Viktor Goncharenko,Vadim Evseev,3-1-4-2,5-3-2,6.93,6.80,VEB Arena,,Nikolay Voloshin,"Igor Akinfeev, Hördur Magnússon, Igor Diveev, Viktor Vasin, Kristijan Bistrovic, Mario Fernandes, Nikola Vlasic, Alan Dzagoev, Georgy Schennikov, Arnór Sigurdsson, Fedor Chalov, Aleksandr Belenov","6.7, 7.0, 7.1, 8.0, 7.3, 6.9, 7.8, 7.4, 7.0, 6.2, 6.2, 7.8","Ilia Shkurin, Jaka Bijol, Konstantin Maradishvili, Vadim Karpov, Konstantin Kuchaev, Kirill Nababkin, Ilya Pomazun, Cedric Gogoua","6.3, 6.2, -1, -1, -1, -1, -1, -1","Aleksandr Sukhov, Jimmy Tabidze, Ionut Nedelcearu, Aleksandr Putsko, Azer Aliev, Catalin Carp, Daniil Fomin, Oston Urunov, Vyacheslav Krotov, Lovro Bizjak","6.8, 7.3, 7.0, 8.2, 6.7, 6.7, 7.0, 6.6, 5.9, 6.1","Artem Golubev, Andrés Vombergar, Olivier Thill, Gamid Agalarov, Andrey Kozlov, Dmitri Sysuev, Denis Terentjev, Alexey Nikitin, Yuri Shafinsky, Kirill Folmer, Aleksey Chernov, Nikolay Giorgobiani","6.1, 6.3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1",19,5,70.5,29.5,83,58,7,4,25,13,16,18,8,2,13,15,,,,,1,3,0,0
15-Mar-20,2019/2020,11:00,PFC Sochi,2,0,FC Krasnodar,Vladimir Fedotov,Sergey Matveev,3-4-2-1,4-2-3-1,7.03,6.47,Fisht Olympic Stadium,,Sergei Ivanov,"Soslan Dzhanaev, Ivan Novoseltsev, Ivan Miladinovic, Miha Mevlja, Timofey Margasov, Kirill Zaika, Christian Noboa, Ibrahim Tsallagov, Andrey Mostovoy, Aleksandr Kokorin, Anton Zabolotny, Matvey Safonov","7.3, 7.9, 7.0, 7.1, 7.5, 6.3, 8.4, 7.2, 7.4, 7.5, 6.5, 7.3","Nikita Burmistrov, Nikita Kalugin, Aleksandre Karapetian, Akmal Bakhtiyarov, Dusan Lagator, Elmir Nabiullin, Pavel Shakuro, Nikolay Zabolotny, Dmitriy Poloz","6.2, 6.1, 6.1, -1, -1, -1, -1, -1, -1","Sergey Petrov, Aleksandr Martynovich, Kaio, Cristian Ramírez, Yuri Gazinskiy, Kristoffer Olsson, Wanderson, Marcus Berg, Manuel Fernandes, Ari","6.9, 6.7, 8.0, 6.5, 6.4, 6.3, 5.7, 6.3, 6.3, 6.5","Egor Sorokin, Daniil Utkin, Shapi Suleymanov, Jón Fjóluson, Andrey Sinitsyn, Stanislav Kritsyuk, Aleksandr Chernikov","5.9, 6.0, 6.0, -1, -1, -1, -1",15,7,30.5,69.5,67,86,3,7,17,27,14,10,11,3,4,11,"Christian Noboa, Andrey Mostovoy",,Timofey Margasov,,2,1,0,0
14-Mar-20,2019/2020,16:00,Arsenal Tula,0,1,Rubin Kazan,Igor Cherevchenko,Leonid Slutskiy,3-4-2-1,4-2-3-1,6.48,6.90,Arsenal Stadium,,Sergei Lapochkin,"Mihail Levashov, Gia Grigalava, Maksim Belyaev, Aleksandr Denisov, Evans Kangwa, Víctor Álvarez, Georgi Kostadinov, Goran Causic, Sergey Tkachev, Daniil Lesovoy, Evgeni Lutsenko, Yuri Dyupin","6.1, 5.4, 6.5, 6.3, 6.8, 6.4, 7.2, 7.1, 7.0, 6.8, 5.8, 7.9","Lameck Banda, Kirill Kombarov, Yuri Kovalev, Maksim Volodko, Anri Khagush, Yuri Lodygin, Artur Nigmatullin, Vladislav Panteleev, Guram Adzhoev, Kings Kangwa, Roman Minaev","6.1, 7.2, 6.1, -1, -1, -1, -1, -1, -1, -1, -1","Oleg Danchenko, Filip Uremovic, Carl Starfelt, Aleksandr Zuev, Oliver Abildgaard, Igor Konovalov, Denis Makarov, Vyacheslav Podberezkin, Zuriko Davitashvili, Ivan Ignatyev","7.4, 7.7, 7.0, 7.0, 7.2, 7.2, 5.6, 7.1, 7.2, 6.9","Darko Jevtic, Soltmurad Bakaev, Pavel Mogilevets, Pablo Santos, Danil Stepanov, Vladimir Granat, Ivan Konovalov, Aleksey Gorodovoy, Ilya Samoshnikov","6.3, 6.2, 6.0, -1, -1, -1, -1, -1, -1",15,6,55.8,44.2,76,70,7,9,26,22,23,22,5,3,14,10,,Zuriko Davitashvili,,Ivan Ignatyev,3,5,0,1
14-Mar-20,2019/2020,13:30,Zenit,7,1,Ural,Sergei Semak,Dmitri Parfenov,4-4-2,4-4-1-1,7.86,6.06,Saint Petersburg Stadium,,Vladimir Moskalev,"Andrey Lunev, Vyacheslav Karavaev, Branislav Ivanovic, Yaroslav Rakitskiy, Yuri Zhirkov, Malcom, Douglas Santos, Magomed Ozdoev, Sebastián Driussi, Sardar Azmoun, Artem Dzyuba, Yaroslav Godzyur","7.7, 6.7, 6.6, 7.2, 7.1, 9.3, 8.1, 8.3, 9.2, 10, 10, 6.7","Daniil Shamkin, Leon Musaev, Daler Kuzyaev, Emiliano Rigoni, Mikhail Kerzhakov, Igor Smolnikov, Aleksandr Erokhin, Aleksander Vasyutin, Aleksey Sutormin, Danila Prokhin, Yordan Osorio","6.3, 7.0, 6.6, -1, -1, -1, -1, -1, -1, -1, -1","Denys Kulakov, Maciej Wilusz, Artem Mamin, Igor Kalinin, Nikolay Dimitrov, Rafal Augustyniak, Andrey Egorychev, Dmitri Efremov, Eric Bicfalvi, Andrei Panyukov","6.0, 5.9, 5.3, 4.9, 6.1, 5.9, 5.9, 6.3, 6.8, 6.4","Artem Shabolin, Artem Yusupov, Denis Polyakov, Nikolai Zolotov, Michal Kucharczyk, Yuri Bavin, Chingiz Magomadov, Oleg Baklov, Artem Fiedler, Pavel Pogrebnyak","6.5, 6.1, 6.1, -1, -1, -1, -1, -1, -1, -1",31,14,48,52,84,83,16,12,11,14,19,14,8,5,7,8,"Sardar Azmoun, Artem Dzyuba, Sardar Azmoun, Malcom, Sardar Azmoun, Sebastián Driussi, Artem Dzyuba",Andrei Panyukov,"Douglas Santos, Malcom, Sardar Azmoun",,1,1,0,0
14-Mar-20,2019/2020,11:00,FC Orenburg,1,3,Spartak Moscow,Konstantin Yemelyanov,Domenico Tedesco,3-4-2-1,3-1-4-2,6.51,7.24,Gazovik Stadium,,Vasily Kazartsev,"Andrey Klimovich, Timur Ayupov, Uros Radakovic, Sergey Terekhov, Andrey Malykh, Georgi Zotov, Danijel Miskic, Islambek Kuat, Joel Fameyeh, Ricardo Alves, Djorde Despotovic, Aleksandr Maksimenko","6.3, 5.9, 7.2, 6.2, 6.4, 6.4, 6.8, 6.6, 7.1, 6.9, 6.8, 7.5","Mamadou Sylla Diallo, Fedor Chernykh, Mikhail Sivakov, Edi Gutliv, Artem Kulishev, Aleksandr Rudenko, Ivan Lapshov, Aleksandr Dovbnya, Andrea Chukanov, Saveli Kozlov, Ziga Skoflek, Filip Rogic","5.7, 6.4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1","Samuel Gigot, Georgi Dzhikiya, Pavel Maslov, Alex Kral, Nikolai Rasskazov, Zelimkhan Bakaev, Jordan Larsson, Ayrton Lucas, Ezequiel Ponce, Alexander Sobolev","7.8, 7.0, 6.2, 6.9, 6.8, 6.9, 8.5, 8.7, 7.5, 7.7","Andrey Eshchenko, Reziuan Mirzov, Lorenzo Melgarejo, Artyom Rebrov, Ilya Gaponov, Dmitri Markitesov","6.6, 7.1, 6.1, -1, -1, -1",18,13,51.6,48.4,76,71,6,21,26,21,14,29,8,7,16,7,Joel Fameyeh,"Ezequiel Ponce, Jordan Larsson, Reziuan Mirzov",Uros Radakovic,"Samuel Gigot, Jordan Larsson",2,3,0,0
13-Mar-20,2019/2020,16:30,FK Akhmat,2,3,Dinamo Moscow,Igor Shalimov,Kirill Novikov,4-2-3-1,4-2-3-1,6.42,6.81,Akhmat-Arena,,Vitaliy Meshkov,"Evgeni Gorodov, Rizvan Utsiev, Andrey Semenov, Wilker Ángel, Roland Gigolaev, Denis Glushakov, Evgeny Kharin, Odise Roshi, Ravanelli, Vladimir Iljin, Felipe Vizeu, Anton Shunin","5.7, 6.4, 6.6, 5.8, 6.3, 7.2, 6.1, 8.3, 7.2, 6.3, 6.0, 6.4","Bernard Berisha, Andrés Ponce, Ablaye Mbengue, Zoran Nizic, Aleksandr Melikhov, Abubakar Kadyrov, Magomed Mitrishev, Khalid Kadyrov, Vitaly Gudiev","6.0, 6.1, 6.1, -1, -1, -1, -1, -1, -1","Sergey Parshivlyuk, Toni Sunjic, Ivan Ordets, Dmitri Skopintsev, Roman Neustädter, Oscar Hiljemark, Sebastian Szymanski, Maximilian Philipp, Konstantin Rausch, Nikolay Komlichenko","6.6, 6.8, 6.8, 7.7, 6.3, 6.5, 7.1, 8.6, 7.2, 6.4","Zaurbek Pliev, Kirill Panchenko, Sly, Joãozinho, Charles Kaboré, Clinton N'Jie, Roman Evgeniev, Artur Yusupov, Grigory Morozov, Vladimir Rykov, Anton Sosnin, David Sangare","6.2, 6.4, 6.4, -1, -1, -1, -1, -1, -1, -1, -1, -1",15,12,55.3,44.7,79,78,10,11,21,25,8,11,5,3,8,2,"Odise Roshi, Denis Glushakov","Konstantin Rausch, Maximilian Philipp, Dmitri Skopintsev",Ravanelli,"Maximilian Philipp, Sly",6,2,0,0
11-Mar-20,2019/2020,16:30,PFC Sochi,5,1,FC Orenburg,Vladimir Fedotov,Konstantin Yemelyanov,3-4-2-1,5-4-1,7.30,6.06,Fisht Olympic Stadium,,Evgeny Turbin,"Soslan Dzhanaev, Ivan Novoseltsev, Ivan Miladinovic, Miha Mevlja, Timofey Margasov, Kirill Zaika, Christian Noboa, Ibrahim Tsallagov, Andrey Mostovoy, Aleksandr Kokorin, Anton Zabolotny, Andrey Klimovich","7.4, 7.7, 6.7, 6.7, 7.0, 6.9, 8.2, 7.4, 8.5, 9.0, 8.3, 5.6","Elmir Nabiullin, Dusan Lagator, Aleksandre Karapetian, Akmal Bakhtiyarov, Nikita Kalugin, Pavel Shakuro, Nikolay Zabolotny, Dmitriy Poloz, Andrey Bokovoy","6.1, 6.3, 6.0, -1, -1, -1, -1, -1, -1","Andrey Malykh, Mikhail Sivakov, Timur Ayupov, Uros Radakovic, Sergey Terekhov, Ricardo Alves, Danijel Miskic, Filip Rogic, Joel Fameyeh, Djorde Despotovic","5.7, 5.8, 5.3, 6.1, 5.6, 5.8, 6.2, 5.8, 7.4, 6.8","Mamadou Sylla Diallo, Georgi Zotov, Andrea Chukanov, Edi Gutliv, Islambek Kuat, Fedor Chernykh, Aleksandr Rudenko, Ivan Lapshov, Aleksandr Dovbnya, Saveli Kozlov, Artem Kulishev","6.3, 6.2, 6.1, -1, -1, -1, -1, -1, -1, -1, -1",14,12,50.1,49.9,75,75,9,9,28,23,13,12,7,3,7,12,"Timur Ayupov, Aleksandr Kokorin, Aleksandr Kokorin, Andrey Mostovoy, Christian Noboa",Joel Fameyeh,"Christian Noboa, Christian Noboa",,0,1,0,0
09-Mar-20,2019/2020,16:00,Zenit,0,0,FC Ufa,Sergei Semak,Vadim Evseev,4-2-3-1,5-4-1,6.74,6.70,Saint Petersburg Stadium,,Aleksei Suhoy,"Andrey Lunev, Vyacheslav Karavaev, Yaroslav Rakitskiy, Yordan Osorio, Douglas Santos, Wilmar Barrios, Magomed Ozdoev, Emiliano Rigoni, Malcom, Yuri Zhirkov, Artem Dzyuba, Aleksandr Belenov","7.0, 6.7, 6.9, 7.4, 7.1, 6.9, 6.6, 6.5, 7.5, 6.6, 6.4, 8.0","Aleksandr Erokhin, Sardar Azmoun, Sebastián Driussi, Daler Kuzyaev, Mikhail Kerzhakov, Igor Smolnikov, Aleksander Vasyutin, Aleksey Sutormin, Leon Musaev, Danila Prokhin, Daniil Shamkin","6.2, 5.9, 6.4, -1, -1, -1, -1, -1, -1, -1, -1","Azer Aliev, Jimmy Tabidze, Ionut Nedelcearu, Aleksandr Putsko, Bojan Jokic, Artem Golubev, Catalin Carp, Daniil Fomin, Oston Urunov, Lovro Bizjak","6.9, 7.6, 7.5, 7.0, 6.7, 6.2, 6.4, 6.6, 6.4, 6.0","Vyacheslav Krotov, Olivier Thill, Andrés Vombergar, Kirill Folmer, Gamid Agalarov, Andrey Kozlov, Dmitri Sysuev, Alexey Nikitin, Yuri Shafinsky, Aleksey Chernov, Nikolay Giorgobiani","6.2, 6.1, 6.0, -1, -1, -1, -1, -1, -1, -1, -1",19,7,79.8,20.2,89,51,9,2,26,18,5,16,7,1,10,1,,,,,2,4,0,0
