Date,Season,Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,RatingTeamHome,RatingTeamAway,Stadium,Weather,Referee,StartTeamHome,RatingStartTeamHome,SubstitutionHome,RatingSubstitutionHome,StartTeamAway,RatingStartTeamAway,SubstitutionAway,RatingSubstitutionAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,GoalsHome,GoalsAway,AssistsHome,AssistsAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway
17-Mar-20,2019/2020,17:00,Goztepe,2,0,Rizespor,Ilhan Palut,Unal Karaman,4-2-3-1,4-2-3-1,7.15,6.32,Göztepe Gürsel Aksel Stadi,,Mustafa Ogretmenoglu,"Beto, Murat Paluli, Titi, Celso Borges, Berkan Emir, André Castro, Soner Aydogdu, Halil Akbunar, Deniz Kadah, Stefano Napoleoni, Cameron Jerome","6.7, 7.1, 6.9, 7.6, 8.9, 7.9, 7.1, 7.8, 6.8, 7.8, 7.3","Yalcin Kayan, Kamil Wilczek, Márcio Mossoró, Wallace Reis, Andre Biyogo Poko, Zlatko Tripic, Lamine Gassama, Hüseyin Bulut, Metin Yildirim, Mehmet Goktug Bakirbas","6.1, 6.0, 6.0, -1, -1, -1, -1, -1, -1, -1","Gökhan Akkan, Orhan Ovacikli, Montassar Talbi, Burak Albayrak, Dario Melnjak, Amedej Vetrih, Oguz Guctekin, Fernando Boldrin, Denys Harmash, Braian Samudio, Milan Skoda","5.7, 6.6, 7.2, 6.3, 7.9, 5.8, 6.0, 6.4, 6.1, 7.0, 5.9","Andriy Boryachuk, Ogulcan Caglayan, Yan Sasse, Atakan Akkaynak, Ivanildo Fernandes, Tarik Cetin, Zafer Görgen, Tunay Torun, Abdullah Durak, Alberk Koç","5.9, 6.0, 6.0, -1, -1, -1, -1, -1, -1, -1",14,4,54.6,45.4,84,83,21,11,13,19,14,14,5,1,9,8,"Berkan Emir, Stefano Napoleoni",,"Soner Aydogdu, André Castro",,1,2,0,0
16-Mar-20,2019/2020,17:00,Antalyaspor,1,0,Sivasspor,Tamer Tuna,Riza Çalimbay,4-2-3-1,4-2-3-1,7.19,6.38,Antalya Stadium,,Özgür Yankaya,"Ruud Boffin, Nazim Sangaré, Ondrej Celustka, Veysel Sari, Fedor Kudryashov, Hakan Özmert, Fredy Ribeiro, Sinan Gümüs, Lukas Podolski, Amilton, Adis Jahovic","7.4, 7.1, 6.8, 7.7, 8.2, 8.8, 7.3, 7.0, 6.6, 7.8, 6.6","Dogukan Sinik, Delvin N'Dinga, Gustavo Blanco, Chico, Ufuk Akyol, Ferhat Kaplan, Eren Albayrak, Yekta Kurtulus, Ersan Gülüm, Bunyamin Balci","6.2, 6.0, -1, -1, -1, -1, -1, -1, -1, -1","Mamadou Samassa, Marcelo Goiano, Aaron Appindangoyé, Caner Osmanpasa, Ugur Ciftçi, Hakan Arslan, Fatih Aksoy, Emre Kilinc, Mert Hakan Yandas, Yasin Öztekin, Mustapha Yatabaré","7.1, 5.0, 6.8, 6.5, 6.4, 6.4, 6.8, 5.9, 6.8, 6.6, 6.3","Arouna Koné, Erdogan Yesilyurt, Claudemir, Isaac Cofie, Paul Papp, Armin Djerlek, Baris Yardimci, Muammer Yildirim, Muhammet Jan Tuncer","5.9, 6.9, 5.9, -1, -1, -1, -1, -1, -1",17,8,57.6,42.4,84,71,14,10,12,25,12,12,3,7,6,9,Veysel Sari,,Fedor Kudryashov,,1,4,0,1
15-Mar-20,2019/2020,16:00,Galatasaray,0,0,Besiktas,Fatih Terim,Sergen Yalçin,4-2-3-1,4-2-3-1,6.74,6.74,Türk Telekom Stadi,,Abdulkadir Bitigen,"Fernando Muslera, Mariano, Marcão, Ryan Donk, Marcelo Saracchi, Mario Lemina, Jean Michael Seri, Sofiane Feghouli, Younès Belhanda, Henry Onyekuru, Radamel Falcao","7.2, 6.8, 7.7, 7.0, 6.7, 6.9, 7.2, 6.7, 6.4, 6.2, 6.5","Emre Akbaba, Omer Bayram, Florin Andone, Jimmy Durmaz, Selcuk Inan, Okan Kocuk, Ahmet Yilmaz Calik, Sener Ozbayrakli, Yunus Akgun, Taylan Antalyali","6.0, 7.0, 6.0, -1, -1, -1, -1, -1, -1, -1","Loris Karius, Gökhan Gönül, Domagoj Vida, Víctor Ruiz, Caner Erkin, Atiba Hutchinson, Mohamed Elneny, Tyler Boyd, Kevin-Prince Boateng, Georges-Kévin Nkoudou, Burak Yilmaz","7.5, 6.6, 7.1, 7.2, 6.5, 6.8, 6.7, 7.5, 6.1, 7.3, 6.6","Adem Ljajic, Jeremain Lens, Abdoulaye Diaby, Enzo Roco, Necip Uysal, Mehmet Umut Nayir, Utku Yuvakuran, Guven Yalcin, Ridvan Yilmaz, Kartal Kayra Yilmaz","6.0, 6.4, 6.0, -1, -1, -1, -1, -1, -1, -1",16,3,60.9,39.1,85,78,8,13,10,7,14,13,5,4,7,7,,,,,1,2,0,0
15-Mar-20,2019/2020,13:00,Trabzonspor,1,1,Istanbul Basaksehir,Huseyin Cimsir,Okan Buruk,4-2-3-1,4-2-3-1,6.59,6.70,Senol Günes Spor Kompleksi,,Firat Aydinus,"Ugurcan Çakir, João Pereira, Gastón Campi, Manuel da Costa, Filip Novák, José Sosa, Abdulkadir Parmak, Abdülkadir Ömür, Anthony Nwakaeme, Caleb Ekuban, Alexander Sørloth","6.6, 6.6, 6.5, 6.6, 6.8, 6.7, 7.1, 6.6, 6.5, 6.9, 6.4","Badou Ndiaye, Bilal Basacikoglu, Manoel, Seyed Majid Hosseini, John Obi Mikel, Abdurrahim Dursun, Hüseyin Türkmen, Erce Kardesler, Dogan Erdogan, Serkan Asan","6.2, 6.1, -1, -1, -1, -1, -1, -1, -1, -1","Fehmi Mert Günok, Júnior Caiçara, Carlos Ponck, Martin Skrtel, Gaël Clichy, Irfan Can Kahveci, Mahmut Tekdemir, Edin Visca, Danijel Aleksic, Fredrik Gulbrandsen, Demba Ba","6.4, 7.2, 7.4, 7.0, 6.6, 6.6, 6.1, 7.3, 6.7, 6.5, 7.3","Berkay Özcan, Mehmet Topal, Azubuike Okechukwu, Aziz Behich, Robinho, Eljero Elia, Gökhan Inler, Volkan Babacan, Muhammet Arslantas, Ugur Uçar","6.6, 6.0, 6.1, -1, -1, -1, -1, -1, -1, -1",17,12,51.8,48.2,81,79,13,14,9,16,17,18,7,3,8,9,Martin Skrtel,Demba Ba,,Edin Visca,1,2,0,0
15-Mar-20,2019/2020,10:30,Kayserispor,2,1,Yeni Malatyaspor,Robert Prosinecki,Hikmet Karaman,4-1-4-1,4-2-3-1,6.98,6.58,Kadir Has Stadium,,Ali Sansalan,"Silviu Lung Jr., Zoran Kvrzic, Diego Angelo, Cristian Sapunaru, Emre Tasdemir, Gustavo Campanharo, Hasan Huseyin Acar, Bernard Mensah, Brice Dja Djédjé, Pedro Henrique, Muris Mesanovic","8.1, 7.1, 6.5, 7.6, 6.8, 6.3, 7.1, 7.7, 6.8, 8.1, 7.2","Yasir Subasi, Ben Rienstra, Mario Situm, Aksel Aktas, Emre Demir, Cenk Sahin, Oguzhan Capar, Ismail Cipe, Mert Kula, Artem Kravets","6.0, 6.1, 6.6, -1, -1, -1, -1, -1, -1, -1","Fabien Farnolle, Issam Chebake, Arturo Mina, Mustafa Akbas, Sakib Aytac, Robin Yalcin, Afriyie Acquah, Murat Yildirim, Gökhan Töre, Moryke Fofana, Umut Bulut","6.7, 7.0, 5.9, 6.3, 5.8, 6.7, 5.8, 6.5, 7.2, 7.1, 5.7","Vidar Kjartansson, Remi Walter, Karim Hafez, Ghilane Chaalali, Yigithan Guveli, Ufuk Ceylan, Erkan Kas, Youssouf Ndayishimiye","7.7, 6.2, 7.5, -1, -1, -1, -1, -1",15,15,47.8,52.2,82,83,7,18,11,15,10,6,3,5,4,8,"Muris Mesanovic, Pedro Henrique",Vidar Kjartansson,"Bernard Mensah, Bernard Mensah",Karim Hafez,3,1,0,0
14-Mar-20,2019/2020,17:00,Konyaspor,1,0,Fenerbahce,Bülent Korkmaz,Zeki Murat Göle,4-1-4-1,4-1-4-1,6.52,6.28,Konya Buyuksehir Stadi,,Hüseyin Göçek,"Ertugrul Taskiran, Omer Sahiner, Selim Ay, Ugur Demirok, Guilherme, Jens Jonsson, Levan Shengelia, Deni Milosevic, Amir Hadziahmetovic, Nejc Skubic, Riad Bajic","6.4, 5.6, 6.7, 6.6, 7.8, 6.9, 7.0, 6.3, 7.0, 5.7, 7.1","Ali Turan, Alper Uludag, Marko Jevtovic, Thuram, Erdon Daci, Paolo Hurtado, Robert Mak, Mucahit Atalay, Volkan Findikli, Ferhat Öztorun","6.1, 6.0, 6.3, -1, -1, -1, -1, -1, -1, -1","Harun Tekin, Mauricio Isla, Luiz Gustavo, Jailson, Hasan Ali Kaldirim, Emre, Mehmet Ekici, Miha Zajc, Tolga Cigerci, Garry Rodrigues, Vedat Muriqi","6.2, 6.3, 6.1, 6.6, 6.2, 6.5, 6.1, 6.2, 6.7, 6.6, 6.4","Deniz Türüç, Mevlüt Erdinç, Ferdi Kadioglu, Murat Saglam, Simon Falette, Erten Ersu, Omer Faruk Beyaz, Osman Cetin, Cenk Alptekin","6.1, 6.0, 6.0, -1, -1, -1, -1, -1, -1",8,10,28.5,71.5,72,89,4,5,11,12,11,8,0,5,7,8,Riad Bajic,,,,8,2,2,0
14-Mar-20,2019/2020,14:00,Alanyaspor,1,0,Gaziantep FK,Erol Bulut,Marius Sumudica,4-2-3-1,5-3-2,6.87,6.37,Alanya Oba Stadium,,Atilla Karaoglan,"Marafona, Onur Bulut, Georgios Tzavellas, Steven Caulker, Fabrice N'Sakala, Salih Ucan, Ceyhun Gülselam, Efecan Karaca, Anastasios Bakasetas, Junior Fernandes, Papiss Demba Cissé","6.5, 7.0, 6.9, 7.7, 7.9, 7.2, 6.6, 7.5, 7.0, 6.8, 6.6","Emircan Altintas, Yacine Bammou, Djalma, Welinton, Juanfran, Musa Cagiran, Mustafa Pektemek, Cenk Gönen, Umut Günes, Kaan Kanak","6.0, 6.1, 6.3, -1, -1, -1, -1, -1, -1, -1","Günay Güvenc, Oguz Ceylan, Jean-Armel Kana-Biyik, Alin Tosca, Papy Djilobodji, Júnior Morais, Jefferson, Alexandru Maxim, Guray Vural, Olarenwaju Kayode, Kenan Özer","6.4, 6.8, 6.2, 6.5, 6.3, 7.1, 6.5, 6.6, 6.4, 5.7, 5.9","Muhammet Demir, Souleymane Diarra, Patrick Twumasi, Raman Chibsah, Pawel Olkowski, Haydar Yilmaz, Furkan Soyalp, Kubilay Aktas, Ulas Zengin, Mehmet Erdem Ugurlu","6.2, 6.4, 6.2, -1, -1, -1, -1, -1, -1, -1",8,14,47.8,52.2,77,81,15,9,13,13,12,12,1,6,10,5,Steven Caulker,,,,0,4,0,0
14-Mar-20,2019/2020,11:00,Denizlispor,1,0,Genclerbirligi,Bülent Uygun,Hamza Hamzaoglu,4-2-3-1,4-2-3-1,7.00,6.46,Denizli Atatürk Stadi,,Cüneyt Çakir,"Adam Stachowiak, Zeki Yavru, Oguz Yilmaz, Mustafa Yumlu, Olcay Sahan, Ismail Aissati, Ogenyi Onazi, Hugo Rodallega, Recep Niyaz, Modou Barrow, Óscar Estupiñán","7.4, 7.5, 7.5, 7.3, 7.6, 7.2, 7.0, 7.8, 6.7, 7.0, 6.6","Özgür Cek, Muhammet Özkal, Tiago Lopes, Tolgahan Acar, Hüseyin Altintas, Sedat Sahinturk, Alihan Kalkan","6.2, 6.0, 6.2, -1, -1, -1, -1","Kristoffer Nordfeldt, Ahmet Oguz, Zargo Toure, Flávio Ramos, Halil Pehlivan, Fabrício Baiano, Berat Özdemir, Giovanni Sio, Stéphane Sessegnon, Daniel Candeias, Mats Seuntjens","7.7, 6.7, 6.6, 6.8, 6.8, 6.2, 6.0, 6.4, 6.0, 6.3, 6.1","Sami Gokhan Altiparmak, Ilker Karakas, Rahmetullah Berisbek, Sadio Diallo, Mattias Bjärsmyr, Erdem Özgenc, Ertac Özbir, Omer Tatlisu, Soner Dikmen, Burak Capkinoglu","6.1, 6.3, 6.3, -1, -1, -1, -1, -1, -1, -1",19,13,47.8,52.2,80,79,5,8,17,13,20,9,5,10,6,9,Hugo Rodallega,,Ogenyi Onazi,,1,2,0,0
13-Mar-20,2019/2020,17:00,Kasimpasa,2,0,Goztepe,Fuat Çapa,Ilhan Palut,4-2-3-1,4-2-3-1,7.11,6.40,Recep Tayyip Erdogan Stadi,,Yasar Kemal Ugurlu,"Ramazan Kose, Mickael Tirpan, Zvonimir Sarlija, Yassine Meriah, Oussama Haddadi, Tarkan Serbest, Aytac Kara, Dieumerci Ndongala, Haris Hajradinovic, Mame Thiam, Bangaly-Fodé Koita","7.3, 7.3, 6.5, 7.8, 8.1, 7.5, 6.9, 7.3, 7.1, 6.8, 8.4","Yusuf Erdogan, Ricardo Quaresma, Jorge Fernandes, Dogucan Haspolat, Berk Cetin, Murat Can Yildiz, Cagtay Kurukalip, Ilhan Depe, Anil Koç, Gerard Gohou","6.1, 6.4, 6.1, -1, -1, -1, -1, -1, -1, -1","Beto, Lamine Gassama, Titi, Celso Borges, Berkan Emir, Andre Biyogo Poko, André Castro, Halil Akbunar, Márcio Mossoró, Zlatko Tripic, Kamil Wilczek","6.7, 6.0, 6.9, 6.8, 5.9, 6.8, 6.9, 6.2, 6.2, 5.9, 6.5","Cameron Jerome, Yalcin Kayan, Stefano Napoleoni, Wallace Reis, Deniz Kadah, Eren Bilen, Murat Paluli, Hüseyin Bulut, Metin Yildirim, Mehmet Goktug Bakirbas","6.2, 6.3, 6.1, -1, -1, -1, -1, -1, -1, -1",11,7,45.3,54.7,82,85,9,12,24,20,11,13,4,7,9,6,"Bangaly-Fodé Koita, Bangaly-Fodé Koita",,Oussama Haddadi,,3,2,0,0
13-Mar-20,2019/2020,17:00,Ankaragucu,2,1,Rizespor,Mustafa Resit Akçay,Unal Karaman,4-2-3-1,4-2-3-1,6.65,6.63,Eryaman Stadium,,Halil Umut Meler,"Ricardo Friedrich, Stelios Kitsiou, Ante Kulusic, Michal Pazdan, Atila Turan, Daniel Lukasik, Ricardo Faty, Konrad Michalak, Sedat Agcay, Gerson Rodrigues, Dever Orgill","6.4, 7.2, 6.3, 6.6, 7.4, 7.0, 6.6, 6.3, 6.4, 7.6, 7.0","Ilhan Parlak, Saba Lobzhanidze, Oscar Scarione, Aydin Karabulut, Orkan Cinar, Mahmut Akan, Cebrail Karayel, Alihan Kubalas, Korcan Celikay, Gelmin Rivas","6.1, 6.0, 6.4, -1, -1, -1, -1, -1, -1, -1","Gökhan Akkan, Mykola Morozyuk, Montassar Talbi, Burak Albayrak, Dario Melnjak, Abdullah Durak, Ismaël Diomandé, Fernando Boldrin, Denys Harmash, Braian Samudio, Milan Skoda","5.9, 5.3, 7.8, 6.4, 7.2, 6.4, 6.5, 7.1, 7.8, 7.4, 6.7","Tunay Torun, Tarik Cetin, Yan Sasse, Ivanildo Fernandes, Amedej Vetrih, Orhan Ovacikli, Ogulcan Caglayan, Oguz Guctekin, Andriy Boryachuk, Alberk Koç","6.0, 6.3, 6.0, -1, -1, -1, -1, -1, -1, -1",13,15,28.2,71.8,58,84,9,9,20,41,15,16,8,7,10,12,"Burak Albayrak, Gerson Rodrigues",Denys Harmash,,Braian Samudio,2,3,0,1
