TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Leicester,Aston Villa,4,0,1.53,4.54,6.15
Manchester Utd,Manchester City,2,0,4.60,3.96,1.78
Chelsea,Everton,4,0,1.87,3.89,4.13
Burnley,Tottenham,1,1,2.74,3.36,2.69
Arsenal,West Ham,1,0,1.63,4.34,5.27
Crystal Palace,Watford,1,0,2.70,3.13,2.89
Sheffield Utd,Norwich,1,0,1.69,3.88,5.38
Southampton,Newcastle,0,1,1.76,3.80,4.91
Wolves,Brighton,0,0,1.73,3.76,5.22
Liverpool,Bournemouth,2,1,1.22,7.30,12.64
Everton,Manchester Utd,1,1,2.88,3.39,2.56
Tottenham,Wolves,2,3,2.76,3.11,2.86
Watford,Liverpool,3,0,6.80,4.73,1.48
Bournemouth,Chelsea,2,2,4.16,3.74,1.91
Newcastle,Burnley,0,0,2.73,3.22,2.78
West Ham,Southampton,3,1,2.60,3.54,2.71
Brighton,Crystal Palace,0,1,2.20,3.19,3.73
Norwich,Leicester,1,0,4.23,3.86,1.85
Liverpool,West Ham,3,2,1.15,9.03,17.59
Arsenal,Everton,3,2,1.99,3.69,3.83
Manchester Utd,Watford,3,0,1.59,4.01,6.47
Wolves,Norwich,3,0,1.51,4.26,7.20
Leicester,Manchester City,0,1,5.34,4.66,1.58
Burnley,Bournemouth,3,0,2.26,3.33,3.42
Crystal Palace,Newcastle,1,0,2.17,3.28,3.72
Sheffield Utd,Brighton,1,1,1.92,3.43,4.46
Southampton,Aston Villa,2,0,1.73,4.11,4.70
Chelsea,Tottenham,2,1,1.87,3.59,4.58
Manchester City,West Ham,2,0,1.12,10.45,20.11
Chelsea,Manchester Utd,0,2,2.02,3.49,4.01
Arsenal,Newcastle,4,0,1.45,4.69,7.67
Aston Villa,Tottenham,2,3,3.93,3.79,1.94
Norwich,Liverpool,0,1,9.50,5.74,1.33
Southampton,Burnley,1,2,1.71,3.97,5.05
Wolves,Leicester,0,0,2.71,3.25,2.80
Sheffield Utd,Bournemouth,2,1,1.77,3.49,5.45
Brighton,Watford,1,1,2.30,3.42,3.23
Everton,Crystal Palace,3,1,1.65,3.79,6.02
Tottenham,Manchester City,2,0,5.98,4.68,1.54
Burnley,Arsenal,0,0,3.98,3.76,1.93
Manchester Utd,Wolves,0,0,2.15,3.38,3.67
Bournemouth,Aston Villa,2,1,2.20,3.38,3.51
Crystal Palace,Sheffield Utd,0,1,3.12,3.06,2.58
Liverpool,Southampton,4,0,1.31,5.73,10.46
Newcastle,Norwich,0,0,2.25,3.38,3.38
Watford,Everton,2,3,3.01,3.38,2.45
West Ham,Brighton,3,3,2.53,3.42,2.87
Leicester,Chelsea,2,2,2.56,3.60,2.74
West Ham,Liverpool,0,2,8.67,5.58,1.35
Wolves,Liverpool,1,2,5.37,4.01,1.67
Manchester Utd,Burnley,0,2,1.45,4.57,7.83
Leicester,West Ham,4,1,1.48,4.77,6.73
Tottenham,Norwich,2,1,1.38,5.20,8.41
Chelsea,Arsenal,2,2,1.75,3.96,4.83
Aston Villa,Watford,2,1,3.13,3.43,2.36
Bournemouth,Brighton,3,1,2.91,3.32,2.56
Crystal Palace,Southampton,0,2,2.74,3.20,2.80
Everton,Newcastle,2,2,1.50,4.37,7.17
Sheffield Utd,Manchester City,0,1,8.37,4.95,1.40
Liverpool,Manchester Utd,2,0,1.45,4.81,7.55
Burnley,Leicester,2,1,4.42,3.71,1.85
Newcastle,Chelsea,1,0,5.80,4.43,1.57
Arsenal,Sheffield Utd,1,1,2.00,3.41,4.17
Brighton,Aston Villa,1,1,1.68,4.23,4.89
Manchester City,Crystal Palace,2,2,1.08,12.21,30.54
Norwich,Bournemouth,1,0,2.25,3.53,3.24
Southampton,Wolves,2,3,2.60,3.20,2.96
West Ham,Everton,1,1,2.94,3.44,2.47
Watford,Tottenham,0,0,3.18,3.67,2.24
Aston Villa,Manchester City,1,6,16.75,10.09,1.15
Bournemouth,Watford,0,3,2.60,3.46,2.79
Tottenham,Liverpool,0,1,5.03,4.14,1.71
Chelsea,Burnley,3,0,1.33,5.48,10.14
Everton,Brighton,1,0,1.94,3.77,3.98
Leicester,Southampton,1,2,1.72,3.93,5.13
Manchester Utd,Norwich,4,0,1.34,5.57,9.55
