TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Tambov,FK Krylya Sovetov Samara,3,0,2.79,3.01,2.92
FK Rostov,Lokomotiv Moscow,1,3,2.50,3.32,3.02
CSKA Moscow,Ufa,0,0,1.60,3.84,6.90
Sochi,Krasnodar,2,0,3.35,3.35,2.29
Arsenal Tula,Rubin Kazan,0,1,2.29,3.10,3.65
Zenit,Ural,7,1,1.20,7.26,17.03
Orenburg,Spartak Moscow,1,3,2.90,3.25,2.60
Akhmat Grozny,Dynamo Moscow,2,3,3.22,3.02,2.52
Sochi,Orenburg,5,1,2.24,3.36,3.40
Zenit,Ufa,0,0,1.34,4.90,11.52
Spartak Moscow,Krasnodar,0,1,2.28,3.35,3.35
FK Rostov,CSKA Moscow,3,2,2.87,3.10,2.74
Lokomotiv Moscow,Akhmat Grozny,1,0,1.67,3.63,6.20
Sochi,Ural,2,0,2.13,3.32,3.70
Rubin Kazan,FK Krylya Sovetov Samara,0,1,2.10,3.16,4.08
Dynamo Moscow,Tambov,1,0,1.72,3.68,5.48
Orenburg,Arsenal Tula,2,0,2.34,3.22,3.32
Sochi,Arsenal Tula,1,2,2.41,3.15,3.26
Krasnodar,Ufa,2,0,1.76,3.41,5.65
Tambov,Rubin Kazan,0,0,3.55,3.00,2.36
Akhmat Grozny,FK Rostov,1,1,3.01,3.17,2.56
Zenit,Lokomotiv Moscow,0,0,1.58,3.95,6.71
Dynamo Moscow,Spartak Moscow,0,2,2.71,2.99,3.00
CSKA Moscow,Ural,1,1,1.35,4.90,10.93
FK Krylya Sovetov Samara,Orenburg,1,1,2.83,3.11,2.75
Spartak Moscow,FK Rostov,1,4,2.16,3.34,3.63
Sochi,Rubin Kazan,1,1,2.40,3.11,3.30
FK Krylya Sovetov Samara,Ural,2,3,2.11,3.32,3.75
Akhmat Grozny,Ufa,0,1,2.33,2.96,3.67
Krasnodar,CSKA Moscow,1,1,2.32,3.33,3.28
Tambov,Orenburg,3,0,2.89,3.18,2.62
Arsenal Tula,Lokomotiv Moscow,4,0,3.48,3.22,2.27
Zenit,Dynamo Moscow,3,0,1.54,4.17,6.64
CSKA Moscow,Arsenal Tula,0,1,1.50,4.15,7.62
Krasnodar,Tambov,0,0,1.36,4.99,9.27
Zenit,Spartak Moscow,1,0,1.50,4.43,7.12
Lokomotiv Moscow,Dynamo Moscow,1,2,2.52,3.09,3.13
Akhmat Grozny,Rubin Kazan,1,1,2.02,3.15,4.35
FK Rostov,Ural,0,0,1.58,4.06,6.15
FK Krylya Sovetov Samara,Ufa,0,1,2.64,2.86,3.19
CSKA Moscow,FK Krylya Sovetov Samara,1,0,1.42,4.45,9.09
Arsenal Tula,Krasnodar,1,2,3.35,3.37,2.24
Ural,Spartak Moscow,0,0,3.60,3.46,2.11
Ufa,Sochi,1,1,2.16,2.99,4.10
Dynamo Moscow,FK Rostov,2,1,2.28,3.13,3.53
Rubin Kazan,Zenit,1,2,8.57,4.34,1.44
Orenburg,Akhmat Grozny,1,2,2.12,3.25,3.80
Tambov,Lokomotiv Moscow,2,3,4.41,3.31,1.97
Lokomotiv Moscow,Krasnodar,1,1,2.45,3.36,3.02
Sochi,CSKA Moscow,2,3,4.50,3.49,1.88
Arsenal Tula,Zenit,0,1,6.52,4.12,1.55
Orenburg,Ufa,0,0,2.13,3.18,3.84
Spartak Moscow,FK Krylya Sovetov Samara,2,0,1.67,3.76,5.70
FK Rostov,Tambov,1,2,1.67,3.81,5.53
Rubin Kazan,Dynamo Moscow,0,1,3.24,2.93,2.54
Akhmat Grozny,Ural,0,0,1.88,3.49,4.43
Spartak Moscow,Arsenal Tula,0,1,1.75,3.64,5.20
FK Krylya Sovetov Samara,Rubin Kazan,0,0,2.29,3.20,3.41
Ural,Orenburg,1,2,2.59,3.36,2.79
Krasnodar,FK Rostov,2,2,1.87,3.73,4.23
Zenit,CSKA Moscow,1,1,1.60,4.08,5.94
Sochi,Tambov,1,2,2.03,3.37,3.95
Dynamo Moscow,Akhmat Grozny,1,1,1.73,3.55,5.53
